"","x"
"1","Sec23ip"
"2","Itgb5"
"3","Ptprz1"
"4","Erlin2"
"5","Clgn"
"6","Sema3b"
"7","Slc39a7"
"8","Emc3"
"9","Wfikkn2"
"10","Serpina3k"
"11","Lyst"
"12","Ace"
"13","Enpp2"
"14","Mia2"
"15","Sulf1"
"16","Thbs4"
"17","Scg2"
"18","Pofut2"
"19","Insr"
"20","Poglut1"
"21","Glce"
"22","Selenot"
"23","Ttr"
"24","Cyb5d2"
"25","Pigk"
"26","Ryr2"
"27","Pzp"
"28","Cacna2d2"
"29","Spock2"
"30","Itih3"
"31","Creld1"
"32","Fkbp7"
"33","Cntnap4"
"34","Lgi2"
"35","Fstl1"
"36","Pbxip1"
"37","Sil1"
"38","Rcn2"
"39","Selenom"
"40","Lrp1"
"41","Ncan"
"42","Slit2"
"43","Serpinh1"
"44","Nucb2"
"45","Gpcpd1"
"46","Lman2l"
"47","Dnajc10"
"48","Pdia6"
"49","L1cam"
"50","Uggt2"
"51","Thsd7a"
"52","Notch2"
"53","Erlec1"
"54","Gpaa1"
"55","Ccpg1"
"56","Lrp1b"
"57","Stim1"
"58","Plxnb1"
"59","Tnc"
"60","Pigs"
"61","Clptm1"
"62","Ccdc47"
"63","Bcan"
"64","Mlec"
"65","Sparc"
"66","Itpr3"
"67","Glg1"
"68","Adam23"
"69","Stt3b"
"70","Atp6ap2"
"71","Steap3"
"72","Cnpy4"
"73","Sparcl1"
"74","P4ha1"
"75","Pigu"
"76","Stim2"
"77","Slc12a2"
"78","Asphd1"
"79","Tmem131"
"80","Slc39a12"
"81","Asph"
"82","Tmtc3"
"83","Itgav"
"84","Nup210"
"85","Apoa4"
"86","B4gat1"
"87","Tmx4"
"88","Reln"
"89","Aplp2"
"90","Cntnap5a"
"91","Prdx4"
"92","Galnt13"
"93","Tmpo"
"94","Apoe"
"95","B4galnt1"
"96","Fkbp9"
"97","Sel1l"
"98","Mgrn1"
"99","Igf1r"
"100","Vcan"
"101","Ptprn"
"102","Vstm2l"
"103","Lgi4"
"104","Astn2"
"105","Sorcs2"
"106","Slc38a10"
"107","Magt1"
"108","Emc4"
"109","Cntnap2"
"110","Clu"
"111","Vcam1"
"112","Cacna2d1"
"113","Rpn1"
"114","Sun1"
"115","Gramd1a"
"116","Ppib"
"117","Brinp2"
"118","Nrxn3"
"119","Adam11"
"120","Lemd3"
"121","Prelp"
"122","Pigt"
"123","Gria1"
"124","Tfrc"
"125","Clstn3"
"126","Por"
"127","Ahnak"
"128","Hist1h1b"
"129","Nptx1"
"130","Alyref"
"131","Erap1"
"132","Ddost"
"133","Hist1h1e"
"134","Colec12"
"135","Astn1"
"136","P4htm"
"137","Plxna1"
"138","Tpp1"
"139","Asphd2"
"140","Sema4d"
"141","Brinp1"
"142","Ttc17"
"143","Nrcam"
"144","Nptxr"
"145","Tnr"
