"","x"
"1","Q6NZC7"
"2","G5E8F8"
"3","B9EKR1"
"4","Q8BFZ9"
"5","P52194"
"6","Q62177"
"7","Q31125"
"8","Q99KI3"
"9","Q7TQN3"
"10","A0A0R4J0I1"
"11","G5E8Q0"
"12","P09470"
"13","Q9R1E6-3"
"14","E9PY90"
"15","Q8K007"
"16","Q9Z1T2"
"17","Q03517"
"18","Q8VHI3"
"19","P15208"
"20","Q8BYB9"
"21","Q9EPS3"
"22","P62342"
"23","P07309"
"24","Q5SSH8"
"25","Q9CXY9"
"26","E9Q401"
"27","Q61838"
"28","Q6PHS9"
"29","Q9ER58"
"30","Q61704"
"31","Q91XD7"
"32","O54998"
"33","Q99P47"
"34","Q8K4Z0-2"
"35","Q62356"
"36","Q3TVI8"
"37","Q9EPK6"
"38","Q8BP92"
"39","Q8VHC3"
"40","Q91ZX7"
"41","P55066"
"42","G3UYX7"
"43","P19324"
"44","P81117"
"45","Q8C0L9"
"46","D3Z4P2"
"47","Q9DC23"
"48","Q3TML0"
"49","Q6PGJ3"
"50","E9Q4X2"
"51","Q69ZU6"
"52","G5E8J0"
"53","Q8VEH8"
"54","Q9WTK3"
"55","Q640L3-2"
"56","Q9JI18"
"57","P70302"
"58","Q8CJH3"
"59","Q80Y"
"60","Q6PD26"
"61","Q8VBZ3"
"62","Q9D024"
"63","Q61361"
"64","Q6ZQI3"
"65","P07214"
"66","P70227"
"67","Q61543"
"68","Q9R1V7-2"
"69","Q3TDQ1"
"70","Q9CYN9"
"71","Q8CI59-2"
"72","Q8BQ47"
"73","P70663"
"74","Q60715"
"75","Q3TAA8"
"76","P83093"
"77","E9QM38"
"78","Q2TA57"
"79","O70472"
"80","Q5FWH7"
"81","Q6P8S1"
"82","Q8BRH0"
"83","P43406"
"84","Q9QY81"
"85","P06728"
"86","Q8BWP8"
"87","Q8C0L0"
"88","Q60841"
"89","Q06335"
"90","Q0V8T9"
"91","O08807"
"92","Q8CF93-2"
"93","Q61029"
"94","P08226"
"95","Q09200"
"96","Q9Z247"
"97","Q9Z2G6"
"98","Q9D074-5"
"99","Q60751"
"100","E9PYH0"
"101","Q60673"
"102","A2ACD2"
"103","Q8K1S1"
"104","Q80Z10"
"105","Q9EPR5"
"106","Q5I012"
"107","A2ADH1"
"108","Q9CZX9"
"109","E9QNF7"
"110","Q06890"
"111","P29533"
"112","O08532"
"113","Q91YQ5"
"114","Q9D666"
"115","Q8VEF1"
"116","P24369"
"117","Q6DFY8"
"118","Q6P9K9"
"119","Q9R1V4"
"120","Q9WU40-2"
"121","Q9JK53"
"122","Q8BXQ2"
"123","P23818"
"124","Q62351"
"125","Q99JH7"
"126","P37040"
"127","E9Q616"
"128","P43276"
"129","Q62443"
"130","O08583"
"131","Q9EQH2"
"132","O54734"
"133","P43274"
"134","Q8K4Q8"
"135","Q61137"
"136","Q8BG58"
"137","P70206"
"138","O89023"
"139","Q80VP9"
"140","O09126"
"141","Q920P3"
"142","E9PVB5"
"143","Q810U4-3"
"144","E9PZM8"
"145","Q8BYI9"
