"","x"
"1","Tm9sf4"
"2","Srgap1"
"3","Lgr6"
"4","B4galt3"
"5","Cr1l"
"6","Hyal2"
"7","Sulf2"
"8","Spag1"
"9","Sgsm2"
"10","Camlg"
"11","Sema4b"
"12","Ugt1a7c"
"13","Ca4"
"14","Btd"
"15","Fkbp11"
"16","Tmed2"
"17","Nos3"
"18","Set"
"19","Adgra3"
"20","Lrrc19"
"21","Tapbpl"
"22","Wfdc2"
"23","Ddx20"
"24","Cpn1"
"25","Retn"
"26","Alpl"
"27","Tmed7"
"28","Mmgt1"
"29","Col18a1"
"30","Tnfrsf21"
"31","Paxip1"
"32","Dag1"
"33","Habp2"
"34","P3h2"
"35","Spint1"
"36","Ecm1"
"37","Gm2a"
"38","Tmem161b"
"39","C1galt1c1"
"40","Gpx6"
"41","Manba"
"42","Gcnt1"
"43","Apmap"
"44","Ctsa"
"45","Ugt2b34"
"46","Mgat2"
"47","Casr"
"48","Plau"
"49","Lipa"
"50","Itga6"
"51","Timp3"
"52","P3h1"
"53","Cgref1"
"54","Galnt3"
"55","Dnah8"
"56","Napsa"
"57","P4ha1"
"58","Sema3c"
"59","F13b"
"60","St14"
"61","Cfi"
