"","x"
"1","Q8BH24"
"2","D3YZW1|Q91Z69|F8VPQ4|Q812A2|E9QN14"
"3","Q3UVD5"
"4","Q91YY2|A0A0A6YXE7"
"5","Q64735|Q64735-2|A0A0A6YY75|A0A0A6YXN9"
"6","O35632|Q8C309|A0A0A6YX37"
"7","Q8CFG0"
"8","Q80ZX8|Q80ZX8-3"
"9","Q80U12-2|Q80U12"
"10","P49070"
"11","Q62179"
"12","Q6ZQM8|D3Z748|D3YZE6|D6RH94"
"13","Q64444"
"14","A0A0R4J131|Q8CIF4"
"15","Q9D1M7"
"16","Q9R0Q3"
"17","P70313|E9Q9X4"
"18","Q9EQU5|Q9EQU5-2|Q9EQU5-3"
"19","Q7TT36"
"20","Q8BZT5"
"21","Q8VD31"
"22","Q9DAU7|A2A5G5|A2A5G4"
"23","Q9JJY4|A0A0G2JE88"
"24","Q9JJN5"
"25","Q99P87"
"26","P09242"
"27","D3YZZ5|E9Q7G1"
"28","Q8K273"
"29","E9QP|P39061|P39061-1|P39061-2"
"30","Q9EPU5"
"31","Q6NZQ4"
"32","Q62165"
"33","Q8K0D2|E9QM92|E9Q092|Q8K0D2-2|Q3V1J8|E9Q0C5"
"34","Q8CG71"
"35","Q9R097"
"36","Q61508-2"
"37","Q60648"
"38","Q8C2L6|A0A286YE14|A0A286YDI6"
"39","Q9JMG2"
"40","Q91WR8"
"41","A0A0R4J092|Q8K2I4|D6RGR1"
"42","Q09324"
"43","Q9D7N9"
"44","G3X8T3|P16675"
"45","Q8K154|E9PZ30|A0A0J9YU36|Q8BWQ1|Q80X89|Q6PDD0|D3YUX6"
"46","Q921V5"
"47","Q9QY96|Q9QY96-2"
"48","P06869"
"49","Q9Z0M5"
"50","Q61739|Q61739-2"
"51","P39876"
"52","A6PW84|A2A7Q5|Q3V1T4|Q3V1T4-3|Q3V1T4-2|F2Z499"
"53","E9QPK1|Q8R1U2"
"54","P70419|Q8C7U7"
"55","Q91XQ0|Q91XQ0-2"
"56","O09043"
"57","Q60715-2|Q60715|E9Q7B0"
"58","Q62181"
"59","Q07968"
"60","P56677|D6RIN3|A0A1L1SU89"
"61","Q61129"
