,Brain,brain annotated,y.n.brain,Liver,Kidney,Serum,Brain_Liver,Brain_Kidney,Brain_Serum,Liver_Kidney,Liver_Serum,Kidney_Serum,Brain_Liver_Kidney,Brain_Liver_Serum,Brain_Kidney_Serum,Liver_Kidney_Serum,All
1,Ank2,T,y,Myh11,Myh9,Qsox1,NA,Itpr1,Ryr2,Ces1d,Ces1c,Myo18a,Uggt1,Mia3,Enpp2,C3,Lrp1
2,Lrp1b,F,n,Flnc,Myh10,Igkv4-63,NA,Itpr2,Ganab,Ces1e,Mug2,Ptprk,Ckap4,Reln,Fat1,Apob,Hsp90b1
3,Dctn1,F,n,Cyp2a4,Myh14,Ttn,NA,Itpr3,Ahnak,Gm20425,Mug1,Thbs1,Slc12a2,Alb,Poglut1,Ces1,Hspa5
4,Shank2,T,y,Cyp2a22,Lrp2,Dsg2,NA,Map4,Sparcl1,Asph,Tf,Ces2c,Stim2,A2m,L1cam,Plg,Hyou1
5,Shank1,T,y,Fmo3,Sptan1,Igkv4-58,NA,Serpinh1,Calu,Ces2g,Ces2a,Ces2b,Stim1,B4galnt1,Lamb1,Ces1f,Pdia3
6,Camk2b,T,y,Acly,Myo6,Igkv8-28,NA,Thsd7a,Clu,Hspa4l,Ces3a,Pkhd1,Canx,Ttr,Psap,C4b,P4hb
7,Camk2a,T,y,Acaa1b,Cubn,Acsbg2,NA,Pdia6,Itih3,Glul,Ces3b,Galnt7,Emc1,NA,Fgg,Ces2e,Pdia4
8,Fat2,T,y,Ugt2b5,Sptbn1,Mup2,NA,Pbxip1,Vcam1,Tgm2,Serpina1b,Serpina3n,Erlin2,NA,Sema4a,Kng1,Plxnb1
9,Baiap2,T,y,Ugt2a3,Pdzk1,P01728,NA,Abhd12,Oxt,Aadac,Bche,Met,Erlin1,NA,Erap1,Cp,Dnajc3
10,Gria2,T,y,Ugt2b1,Lmna,Ncor2,NA,Rpn1,Olfm1,Ctnnb1,Esd,Spint1,Ero1a,NA,Tfrc,Hrg,Nucb1
11,Gria1,T,y,Ugt2b36,P3h2,Slk,NA,Sun1,Fstl1,Hspg2,Gc,Gm20547,Mia2,NA,B4gat1,Serpinc1,Calr
12,Gria4,T,y,Ugt1a5,Itga6,Serpina3i,NA,Plxna1,Thbs4,Comt,Gm4788,Gas6,Cct8,NA,Slc38a10,Itih2,Prkcsh
13,Gria3,T,y,Rnh1,Ugt1a7c,Ccser2,NA,Pnpla6,NA,Ero1b,Hbb-b1,Igfbp7,Nomo1,NA,Tpp1,Cfh,Pzp
