"","x"
"1","E9Q401"
"2","Q91ZX7"
"3","Q9JI18"
"4","P08113"
"5","Q8BI84"
"6","P70227"
"7","P20029"
"8","Q9JKR6"
"9","Q6P5E4"
"10","Q8BMK4"
"11","P27773"
"12","P09103"
"13","P08003"
"14","Q8CJH3"
"15","Q8BHN3-2"
"16","Q9R1E6-3"
"17","Q91YW3"
"18","E9QM38"
"19","P23818"
"20","E9Q616"
"21","P83093"
"22","P70302"
"23","P35564"
"24","Q8C7X2"
"25","Q02819"
"26","Q8BFZ9"
"27","Q8R180"
"28","B9EKR1"
"29","E9PY90"
"30","Q6GQT9"
"31","P14211"
"32","Q8BP92"
"33","Q8BSY0"
"34","Q6P8S1"
"35","O08795-2"
"36","P19324"
"37","Q8C341-2"
"38","P70663"
"39","Q61838"
"40","P55302"
"41","Q69ZU6"
"42","Q9ER58"
"43","Q3TML0"
"44","Q61361"
"45","Q9DC23"
"46","O35887"
"47","P81117"
"48","Q3TVI8"
"49","Q07113"
"50","Q91YQ5"
"51","Q9D666"
"52","O08807"
"53","Q8K4Z0-2"
"54","P24369"
"55","Q03517"
"56","Q8K1S1"
"57","P43276"
"58","Q00623"
"59","Q3TMX5"
"60","Q922Q9"
"61","Q06890"
"62","Q9CXY9"
"63","Q9CQ45"
"64","P09055"
"65","Q80UU9"
"66","P43406"
"67","Q9D1Q6"
"68","O08532"
"69","Q9ERE7"
"70","Q99KV1"
"71","Q06335"
"72","Q8BYB9"
"73","Q05186"
"74","Q8BM72"
"75","Q8BRH0"
"76","P55066"
"77","Q8VBZ3"
"78","Q9D024"
"79","Q6P9K9"
"80","Q6PGJ3"
"81","Q8VEH8"
"82","P24668"
"83","P57759"
"84","Q60841"
"85","Q9D0F3"
"86","E9QNF7"
"87","P18242"
"88","E9PYH0"
"89","Q640L3-2"
"90","O08601-2"
"91","Q0VBD0"
"92","P08226"
"93","Q9EPR5"
"94","Q99LI2"
"95","Q91W90"
"96","Q61029"
"97","Q9DAU1"
"98","Q8K2C7"
"99","Q8BQ47"
"100","E9QN70"
"101","Q9QY81"
"102","Q80W54"
"103","Q9EPK6"
"104","A0A0R4J0I1"
"105","Q60715"
"106","Q8VHI3"
"107","Q6PHS9"
"108","P97467"
"109","P09470"
"110","Q9Z2G6"
"111","Q8VEF1"
"112","Q3TQC7"
"113","Q62177"
"114","Q3TDQ1"
"115","P37040"
"116","Q61704"
"117","Q6ZQI3"
"118","Q9DBH5"
"119","Q9D1D4"
"120","Q9ERR7"
"121","Q61207"
"122","Q8BPB5"
"123","E9Q4X2"
"124","Q9CQU0"
"125","Q8BXQ2"
"126","Q99P47"
"127","Q8C0L0"
"128","Q61334"
"129","Q61543"
"130","G3UYX7"
"131","Q60751"
"132","P15208"
"133","P29533"
"134","Q9QXT0"
"135","Q91XD7"
"136","Q80Z10"
"137","Q99KF1"
"138","Q8R1V4"
"139","Q9CYN9"
"140","Q5FWH7"
"141","P07214"
"142","O54998"
"143","Q8R0X7"
"144","A2ADH1"
"145","P06728"
"146","Q9WU40-2"
"147","G5E8J0"
"148","Q6DFY8"
"149","D3Z4P2"
"150","Q9JK53"
"151","Q3TAA8"
"152","Q8BXZ1"
"153","Q80Y"
"154","Q9R1V7-2"
"155","Q9CQF9"
"156","P45878"
"157","Q9WTK3"
"158","Q31125"
"159","Q5SSH8"
"160","Q61335"
"161","Q8CF93-2"
"162","Q60673"
"163","A2ACD2"
"164","P07724"
"165","Q8K007"
"166","Q99KI3"
"167","P52194"
"168","Q6ZWQ7"
"169","Q7TQN3"
"170","Q9CZX9"
"171","Q2TA57"
"172","Q9CYA0"
"173","Q8CI59-2"
"174","Q62356"
"175","O70472"
"176","Q6PD26"
"177","Q62351"
"178","Q8VHC3"
"179","Q8BWP8"
"180","P98156"
"181","Q9CPT4"
"182","Q8R0F3"
"183","Q99JH7"
"184","Q6P2L7"
"185","Q09200"
"186","Q6NZC7"
"187","Q0V8T9"
"188","Q9WUU7"
"189","Q9D074-5"
"190","Q9EPS3"
"191","P62342"
"192","P07309"
"193","Q5I012"
"194","Q8C0L9"
"195","G5E8Q0"
"196","Q9Z247"
"197","G5E8F8"
"198","Q9R1V4"
"199","A2A7A7"
"200","Q9Z1T2"
