"","x"
"1","Q8VDD5"
"2","Q3UH59"
"3","A2ARV4"
"4","P08113"
"5","V9GX76"
"6","Q9JLB4"
"7","Q9JKR6"
"8","P70227"
"9","P20029"
"10","P08003"
"11","P09103"
"12","Q6GQT9"
"13","Q6P5E4"
"14","Q07113"
"15","P27773"
"16","Q8BI84"
"17","J3KMH5"
"18","Q8BHN3-2"
"19","Q8BHN3"
"20","Q8VCT4"
"21","Q8VCC2"
"22","Q02819"
"23","Q91YW3"
"24","Q8BSY0"
"25","Q91YQ5"
"26","P37040"
"27","P55302"
"28","Q8C7X2"
"29","B2RXS4"
"30","P35564"
"31","Q91WU0"
"32","Q64176"
"33","Q8BMK4"
"34","Q91ZV0"
"35","Q8CG71"
"36","P14211"
"37","E9QN70"
"38","O08601-2"
"39","Q61739"
"40","Q6ZQM8"
"41","P70691"
"42","Q91WH2"
"43","P42932"
"44","Q8R180"
"45","Q8R2E9"
"46","Q9D0F3"
"47","Q8CJH3"
"48","Q91ZX7"
"49","P98156"
"50","A2A7A7"
"51","Q3TML0"
"52","P01132"
"53","P19324"
"54","Q8BFZ9"
"55","Q91X78"
"56","Q8R366"
"57","O08795-2"
"58","Q9D1Q6"
"59","Q8K2C7"
"60","P43406"
"61","P28825"
"62","Q8BRH0"
"63","P35822"
"64","Q921L8"
"65","Q61543"
"66","Q9D024"
"67","P55012"
"68","O88307"
"69","P48722"
"70","P56677"
"71","Q9QY81"
"72","Q3UKN6"
"73","Q9DC23"
"74","Q9D666"
"75","Q09324"
"76","O09126"
"77","Q3TQC7"
"78","Q8R0X7"
"79","Q60715-2"
"80","Q99PG0"
"81","P09055"
"82","Q9Z0T9"
"83","P18242"
"84","Q8JZZ0"
"85","Q3UP75"
"86","P57759"
"87","P09242"
"88","Q60751"
"89","P15208"
"90","Q8VEH8"
"91","O08807"
"92","P24369"
"93","Q9DBG6"
"94","Q3TMX5"
"95","Q9D1D4"
"96","Q6ZQI3"
"97","P27046"
"98","Q921X9"
"99","Q3TDQ1"
"100","Q9CQF9"
"101","A0A0R4J092"
"102","G5E8G5"
"103","O54782"
"104","Q9EQH2"
"105","O08912"
