"","x"
"1","Q8R357"
"2","P07309"
"3","Q8BND5"
"4","A0A075B5M1"
"5","A2ASS6"
"6","Q9Z1T2"
"7","O55111"
"8","E9QAX2"
"9","A0A075B5M3"
"10","A0A075B5N3"
"11","Q2XU92"
"12","P11589"
"13","Q03311"
"14","Q9D0F3"
"15","F8VQL9"
"16","O54988"
"17","Q80VA0-2"
"18","D3Z450"
"19","Q3UHI0-2"
"20","P42703"
"21","P41317"
"22","Q6DFZ1"
"23","P11152"
"24","A0A1Y7VLS3"
"25","E9Q401"
"26","A0A0B4J1H6"
"27","Q9D1Q6"
"28","A0A087WQT6"
"29","Q9D154"
"30","A0A0B4J1I8"
"31","Q60994"
"32","A0A075B5L7"
"33","P46412"
"34","P08113"
"35","Q8CG14"
"36","Q3SXB8-2"
"37","F6ZDS4"
"38","D3YYQ8"
"39","E9PX59"
"40","P16301"
"41","O89001"
"42","P68500"
"43","A0A0B4J1H7"
"44","Q06770"
"45","Q61207"
"46","A0A140T8M5"
"47","P47877"
"48","A0A0B4J1I1"
"49","A2AFG3"
"50","O54819"
"51","A6H584"
"52","P33587"
"53","Q80T79"
"54","Q91Y47"
"55","Q60805"
"56","Q9CSN1"
"57","E9Q616"
"58","A0A075B5N6"
"59","P97298"
"60","A0A0A6YWU3"
"61","Q02105"
"62","Q9EQH2"
"63","Q6T5E4"
"64","Q61627"
"65","Q9Z2L6"
"66","P16294"
"67","P27773"
"68","A0A0F6QNP7"
"69","Q8CIT9"
"70","Q3U3V1"
"71","A0A140T8P9"
"72","P03953"
"73","Q9QYX7"
"74","A0A075B5W3"
"75","F8WJ05"
"76","P01592"
"77","Q69ZS0"
"78","P15116"
"79","Q8BYC6"
"80","P01751"
"81","A0A140T8P6"
"82","O89020"
"83","A0A075B5Y3"
"84","Q9DBB9"
"85","E9QNX4"
"86","A0A0B4J1J6"
"87","A0A1D5RLM8"
"88","Q9Z0Z4"
"89","D3YXF5"
"90","P01887"
"91","A0A075B5N9"
"92","A0A0B4J1J5"
"93","P09103"
"94","Q9CR42"
"95","P50544"
"96","P26928"
"97","E9PUU8"
"98","A0A0A6YXW6"
"99","Q00898"
"100","Q06194"
"101","Q91WU0"
"102","P23953"
"103","Q9CYA0"
"104","Q8VCC2"
"105","E9PUU4"
"106","Q49B93-2"
"107","Q8HWB2"
"108","A0A075B5T2"
"109","E9PZ26"
"110","P0C0S6"
"111","Q61247"
"112","Q8C115"
"113","P06728"
