"","x"
"1","Q8R357"
"2","P07309"
"3","Q8BND5"
"4","A0A075B5M1"
"5","A2ASS6"
"6","Q9Z1T2"
"7","O55111"
"8","A0A075B5M3"
"9","A0A075B5N3"
"10","P11589"
"11","Q03311"
"12","Q9D0F3"
"13","P01728"
"14","Q80VA0-2"
"15","Q3UHI0-2"
"16","P42703"
"17","P41317"
"18","E9Q401"
"19","A0A0B4J1H6"
"20","Q9D1Q6"
"21","P01725"
"22","P01657"
"23","Q9D154"
"24","A0A0B4J1I8"
"25","Q60994"
"26","P06330"
"27","P46412"
"28","P08113"
"29","Q8CG14"
"30","Q3SXB8-2"
"31","P16301"
"32","P01675"
"33","A0A0B4J1H7"
"34","Q06770"
"35","Q61207"
"36","P47877"
"37","A0A0B4J1I1"
"38","P01631"
"39","A6H584"
"40","P33587"
"41","Q91Y47"
"42","P01843"
"43","Q60805"
"44","Q9CSN1"
"45","P01724"
"46","P97298"
"47","Q02105"
"48","Q9EQH2"
"49","Q6T5E4"
"50","Q9Z2L6"
"51","P27773"
"52","A0A0F6QNP7"
"53","Q8CIT9"
"54","Q3U3V1"
"55","P03953"
"56","F8WJ05"
"57","P01592"
"58","P15116"
"59","Q8BYC6"
"60","A0A140T8P6"
"61","O89020"
"62","Q9DBB9"
"63","Q9Z0Z4"
"64","D3YXF5"
"65","P03977"
"66","P03987"
"67","P09103"
"68","P50544"
"69","P26928"
"70","E9PUU8"
"71","Q6ZPY7"
"72","A0A0A6YXW6"
"73","Q00898"
"74","Q06194"
"75","Q91WU0"
"76","P23953"
"77","P01645"
"78","Q8HWB2"
"79","A0A075B5T2"
"80","Q61247"
"81","P06728"
"82","A0A0A6YVP0"
"83","P16882-2"
"84","A0A140T8M4"
"85","Q9R100"
"86","P09813"
"87","A0A075B5Q6"
"88","P18524"
"89","Q9WUU7"
"90","P20918"
"91","P06683"
"92","A0A075B5N7"
"93","E9Q8B5"
"94","Q99P87"
"95","A0A0R4J038"
"96","P01837"
"97","Q8QZR3"
"98","P01844"
"99","P01027"
"100","P10166"
"101","O88325"
"102","P19221"
"103","P49182"
"104","Q9QUM0"
"105","P55284"
"106","P11680"
"107","Q8BH35"
"108","E9QN70"
"109","Q8K0D2"
"110","Q6S9I0"
"111","A2AS37"
"112","Q5I012"
"113","Q9ET66"
"114","O35664-3"
"115","Q9QXC1"
"116","A11111"
"117","P01634"
"118","A0A0A6YYE7"
"119","P39039"
"120","G3UX19"
"121","P06684"
