"","x"
"1","Nenf"
"2","Hsp90b1"
"3","A11111"
"4","Calr"
"5","Hspa5"
"6","Itgb5"
"7","Prkcsh"
"8","Mesd"
"9","Hspa13"
"10","Ckap4"
"11","Pdia3"
"12","Calu"
"13","Erp29"
"14","P4hb"
"15","Pdia4"
"16","Erlin2"
"17","Pgrmc2"
"18","Manf"
"19","Lrpap1"
"20","Canx"
"21","Mia3"
"22","Spcs3"
"23","Bcap31"
"24","Creld2"
"25","Hyou1"
"26","H6pd"
"27","Emc3"
"28","Rcn1"
"29","Tmed10"
"30","Tmed9"
"31","Serpina3k"
"32","M6pr"
"33","Ero1a"
"34","Tmed4"
"35","Cnpy3"
"36","Selenof"
"37","Mia2"
"38","Ctsd"
"39","Zmpste24"
"40","Dnajc3"
"41","Chid1"
"42","Suco"
"43","Uggt1"
"44","Lman1"
"45","Pofut2"
"46","Nucb1"
"47","Itgb1"
"48","Glce"
"49","Selenot"
"50","Emc1"
"51","Asph"
"52","Clcc1"
"53","Entpd5"
"54","Mttp"
"55","Erp44"
"56","Pigk"
"57","Pzp"
"58","Creld1"
"59","Fkbp7"
"60","Ganab"
"61","Nomo1"
"62","Txndc5"
"63","Sil1"
"64","Rcn2"
"65","Lrp1"
"66","Cnpy2"
"67","Nucb2"
"68","Lman2l"
"69","Dnajc10"
"70","Uggt2"
"71","Notch2"
"72","Erlec1"
"73","Stim1"
"74","Plxnb1"
"75","Ccdc47"
"76","Apoa1"
"77","Glg1"
"78","Lman2"
"79","Cnpy4"
"80","P4ha1"
"81","Tmtc3"
"82","Tmx3"
"83","Itgav"
"84","Pcyox1"
"85","Apoa4"
"86","Os9"
"87","Igf2r"
"88","Prdx4"
"89","Sel1l"
"90","Sumf1"
"91","Txndc12"
"92","Fkbp2"
"93","Sgpl1"
"94","Emc4"
"95","Por"
