"","x"
"1","Sec23ip"
"2","Sema3b"
"3","Slc39a7"
"4","Bcap29"
"5","Efemp1"
"6","Ace"
"7","Enpp2"
"8","Insr"
"9","Poglut1"
"10","Lamb1"
"11","Cyb5d2"
"12","Pbxip1"
"13","Selenom"
"14","Casc4"
"15","Slit2"
"16","Serpinh1"
"17","Dnajb11"
"18","Mydgf"
"19","Pdia6"
"20","L1cam"
"21","Thsd7a"
"22","Gpaa1"
"23","Ccpg1"
"24","Pigs"
"25","Clptm1"
"26","Mlec"
"27","Itpr3"
"28","Stt3b"
"29","Itgb8"
"30","Steap3"
"31","Ctsz"
"32","Stim2"
"33","Slc12a2"
"34","Nup210"
"35","B4gat1"
"36","Aplp2"
"37","Tmpo"
"38","Apoe"
"39","Pam"
"40","Fkbp9"
"41","Mgrn1"
"42","Igf1r"
"43","Slc38a10"
"44","Magt1"
"45","Psap"
"46","Rpn1"
"47","Sun1"
"48","Vldlr"
"49","Ppib"
"50","Lemd3"
"51","Pigt"
"52","Tfrc"
