"","x"
"1","Ptprz1"
"2","Clgn"
"3","Wfikkn2"
"4","Lyst"
"5","Sulf1"
"6","Thbs4"
"7","Scg2"
"8","Ttr"
"9","Ryr2"
"10","Cacna2d2"
"11","Spock2"
"12","Itih3"
"13","Cntnap4"
"14","Lgi2"
"15","Fstl1"
"16","Ncan"
"17","Gpcpd1"
"18","Lrp1b"
"19","Tnc"
"20","Bcan"
"21","Sparc"
"22","Adam23"
"23","Atp6ap2"
"24","Sparcl1"
"25","Pigu"
"26","Asphd1"
"27","Tmem131"
"28","Slc39a12"
"29","Tmx4"
"30","Reln"
"31","Cntnap5a"
"32","Galnt13"
"33","Vcan"
"34","Ptprn"
"35","Vstm2l"
"36","Lgi4"
"37","Astn2"
"38","Sorcs2"
"39","Cntnap2"
"40","Clu"
"41","Vcam1"
"42","Cacna2d1"
"43","Gramd1a"
"44","Brinp2"
"45","Nrxn3"
"46","Adam11"
"47","Prelp"
"48","Gria1"
"49","Clstn3"
"50","Ahnak"
"51","Hist1h1b"
