"","x"
"1","Gns"
"2","Ces1d"
"3","Tapbpl"
"4","Retn"
"5","Tmed7"
"6","Col18a1"
"7","Manba"
"8","Ces1"
"9","Apmap"
"10","Ctsa"
"11","Lipa"
"12","Rcn3"
"13","Ces1f"
"14","Ces1e"
"15","F13b"
"16","A11112"
"17","Ces2g"
"18","Ergic3"
"19","Ces2e"
"20","Cp"
"21","Emc2"
"22","C1galt1"
"23","Emc8"
"24","Tmed5"
"25","Bsg"
"26","Pofut1"
"27","Pafah1b1"
"28","Galc"
"29","Eif4b"
"30","Asah1"
"31","Eif2ak3"
"32","Man2b2"
"33","Smoc1"
"34","Ppt1"
"35","Ero1b"
"36","Kng1"
"37","Itga1"
"38","Mbl1"
"39","Erlin1"
"40","Spire1"
"41","Hrg"
"42","B2m"
"43","Serpinc1"
"44","Cfh"
"45","C1rl"
"46","Cdk5rap2"
"47","Cct8"
"48","Hmgcr"
"49","Adpgk"
