"","x"
"1","Tm9sf4"
"2","Srgap1"
"3","Lgr6"
"4","B4galt3"
"5","Cr1l"
"6","Hyal2"
"7","Sulf2"
"8","Spag1"
"9","Sgsm2"
"10","Camlg"
"11","Sema4b"
"12","Ugt1a7c"
"13","Ca4"
"14","Btd"
"15","Fkbp11"
"16","Tmed2"
"17","Nos3"
"18","Set"
"19","Adgra3"
"20","Lrrc19"
"21","Wfdc2"
"22","Ddx20"
"23","Cpn1"
"24","Alpl"
"25","Mmgt1"
"26","Tnfrsf21"
"27","Paxip1"
"28","Dag1"
"29","Habp2"
"30","P3h2"
"31","Spint1"
"32","Ecm1"
"33","Gm2a"
"34","Tmem161b"
"35","C1galt1c1"
"36","Gpx6"
"37","Gcnt1"
"38","Ugt2b34"
"39","Mgat2"
"40","Casr"
"41","Plau"
"42","Itga6"
"43","Timp3"
"44","P3h1"
"45","Cgref1"
"46","Galnt3"
"47","Dnah8"
"48","Napsa"
"49","Sema3c"
"50","St14"
"51","Cfi"
"52","Sumf2"
"53","Ces2b"
"54","Prom1"
"55","Igfbp4"
"56","Ogfod3"
"57","Lamp2"
"58","Itgb6"
"59","Ca14"
"60","Susd2"
"61","Fras1"
"62","Sema4d"
"63","Atrn"
"64","Ggt1"
"65","Spink1"
"66","P4ha2"
"67","Ctsl"
"68","Kl"
"69","Ugt1a2"
"70","Otud6b"
"71","Naga"
"72","Tpp1"
"73","Sod3"
"74","Anpep"
"75","Plbd2"
"76","Cachd1"
"77","Ccdc134"
"78","Folr1"
"79","Cdh16"
"80","Lpl"
"81","Ctsh"
"82","Ghr"
"83","Fam20b"
"84","Lrp2"
"85","Pomgnt2"
"86","Galnt1"
"87","Ugt3a2"
"88","Epcam"
"89","Cubn"
"90","Lama3"
"91","Ntn4"
"92","Lamb2"
"93","Tor1b"
"94","Colgalt1"
"95","Cdhr5"
"96","Igsf3"
"97","Gnaz"
"98","Ror2"
"99","Ikbip"
"100","Tmem27"
"101","Fut8"
"102","Bcam"
"103","Cstb"
"104","Mep1b"
"105","Ctbs"
"106","Igfbp7"
"107","Slc3a1"
"108","Uxs1"
"109","Emc7"
"110","Ndst1"
"111","Lamc1"
"112","Dpy19l4"
"113","Xylt2"
"114","Adamtsl2"
"115","Edem2"
"116","Rin3"
"117","Hexb"
"118","Kng2"
"119","Glb1"
"120","Minpp1"
"121","Mgat5"
"122","BC035947"
"123","Impad1"
"124","Prlr"
"125","Adam17"
"126","Sfrp1"
"127","Comt"
"128","Gas6"
"129","Tmco3"
"130","Tinag"
"131","Parp14"
"132","Nectin3"
"133","Sema4a"
"134","Mgat1"
"135","Slc7a6os"
"136","Crim1"
"137","Adam10"
"138","Celsr2"
"139","Galnt2"
"140","Umod"
"141","Kiaa0319l"
"142","Ceacam2"
"143","Galnt11"
"144","Fzd4"
"145","Mep1a"
"146","Nectin1"
"147","Gm20547"
"148","Lrp6"
"149","Dgcr2"
"150","Rnaset2a"
"151","B3gat3"
"152","Npnt"
"153","Reck"
"154","Sdf4"
"155","B4galt1"
"156","Bmp1"
"157","Man2a1"
"158","Plxnb2"
"159","Glb1l"
"160","St8sia6"
"161","Sipa1"
"162","Itih1"
"163","Man1a2"
"164","Lama5"
"165","Serpina1f"
"166","Fut9"
"167","Wfdc15b"
"168","Galnt10"
