"","x"
"1","Pla2g12b"
"2","Fsip2"
"3","Pla2g12a"
"4","Nrn1"
"5","Lifr"
"6","Ces3a"
"7","Ces3b"
"8","Hsd11b1"
"9","Ces2a"
"10","Bche"
"11","Asgr1"
"12","Tf"
"13","Ugt2a3"
"14","Msr1"
"15","Gm20425"
"16","Mbl2"
"17","Ugt2b5"
"18","Ces1c"
"19","D2hgdh"
"20","Ppp2r1b"
"21","Myo15b"
"22","Stxbp1"
"23","Cep350"
"24","Zscan20"
"25","Gm4788"
"26","Vil1"
"27","Mug1"
"28","Vnn3"
"29","Srcap"
"30","Igfbp2"
"31","Ppp4r1"
"32","Apoh"
"33","Klkb1"
"34","Gc"
"35","Glul"
"36","AI182371"
"37","Emc10"
"38","Mug2"
"39","Plg"
"40","Osbpl1a"
"41","Upp2"
"42","Mtss1"
"43","Mrc1"
