"","Brain","Liver","Kidney","Serum","Brain_Liver","Brain_Kidney","Brain_Serum","Liver_Kidney","Liver_Serum","Kidney_Serum","Brain_Liver_Kidney","Brain_Liver_Serum","Brain_Kidney_Serum","Liver_Kidney_Serum","All"
"1","Ptprz1","Pla2g12b","Tm9sf4","Olfm1",NA,"Sec23ip","Thbs4","Ces1d","Nrn1","Btd","Itgb5","Alb","Efemp1","Ces1f","Nenf"
"2","Clgn","Fsip2","Srgap1","Qsox1",NA,"Sema3b","Ttr","Ces1e","Lifr","Cpn1","Mesd","B4galnt1","Enpp2","Ces1","Hsp90b1"
"3","Wfikkn2","Pla2g12a","Lgr6","Igkv4-63",NA,"Slc39a7","Ryr2","Pafah1b1","Ces3a","Habp2","Ckap4",NA,"Poglut1","Ces2e","A11111"
"4","Lyst","Hsd11b1","B4galt3","Ttn",NA,"Bcap29","Itih3","Emc2","Ces3b","Spint1","Erp29",NA,"Lamb1","Col18a1","Calr"
"5","Sulf1","Asgr1","Cr1l","Dsg2",NA,"Ace","Fstl1","Tmed5","Ces2a","Ecm1","Erlin2",NA,"L1cam","A11112","Hspa5"
"6","Scg2","Ugt2a3","Hyal2","Myo18a",NA,"Insr","Sparcl1","Gns","Bche","Timp3","Pgrmc2",NA,"Ctsz","Ctsa","Prkcsh"
"7","Cacna2d2","Msr1","Sulf2","Igkv4-58",NA,"Cyb5d2","Reln","Adpgk","Tf","Cgref1","Manf",NA,"B4gat1","Manba","Hspa13"
"8","Spock2","Gm20425","Spag1","Igkv8-28",NA,"Pbxip1","Clu","Rcn3","Mbl2","Napsa","Lrpap1",NA,"Apoe","Mbl1","Pdia3"
"9","Cntnap4","Ugt2b5","Sgsm2","Acsbg2",NA,"Selenom","Vcam1","Emc8","Ces1c","Cfi","Canx",NA,"Slc38a10","F13b","Calu"
"10","Lgi2","D2hgdh","Camlg","Mup2",NA,"Casc4","Ahnak","Asah1","Gm4788","Ces2b","Spcs3",NA,"Psap","Smoc1","P4hb"
"11","Ncan","Ppp2r1b","Sema4b","P01728",NA,"Slit2",NA,"Lipa","Mug1","Igfbp4","Bcap31",NA,"Tfrc","Retn","Pdia4"
"12","Gpcpd1","Myo15b","Ugt1a7c","Ncor2",NA,"Serpinh1",NA,"Ergic3","Igfbp2","Fras1","Emc3",NA,NA,"Kng1","Mia3"
"13","Lrp1b","Stxbp1","Ca4","Slk",NA,"Dnajb11",NA,"Ppt1","Apoh","Atrn","Rcn1",NA,NA,"Cfh","Creld2"
"14","Tnc","Cep350","Fkbp11","Serpina3i",NA,"Mydgf",NA,"Eif4b","Klkb1","Tpp1","Tmed10",NA,NA,"Man2b2","Hyou1"
"15","Bcan","Zscan20","Tmed2","Ccser2",NA,"Pdia6",NA,"Ces2g","Gc","Sod3","Tmed9",NA,NA,"Galc","H6pd"
"16","Sparc","Vil1","Nos3","Gbf1",NA,"Thsd7a",NA,"Ero1b","AI182371","Lpl","M6pr",NA,NA,"Hrg","Serpina3k"
"17","Adam23","Vnn3","Set","Togaram1",NA,"Gpaa1",NA,"Tapbpl","Mug2","Ghr","Ero1a",NA,NA,"C1rl","Cnpy3"
"18","Atp6ap2","Srcap","Adgra3","Igkv2-137",NA,"Ccpg1",NA,"Tmed7","Plg","Igfbp7","Tmed4",NA,NA,"Cp","Ctsd"
"19","Pigu","Ppp4r1","Lrrc19","P01725",NA,"Pigs",NA,"Eif2ak3",NA,"Lamc1","Selenof",NA,NA,"B2m","Dnajc3"
"20","Asphd1","Glul","Wfdc2","Casp8",NA,"Clptm1",NA,"Erlin1",NA,"Xylt2","Mia2",NA,NA,"Serpinc1","Chid1"
"21","Tmem131","Emc10","Ddx20","P01657",NA,"Mlec",NA,"Itga1",NA,"Adamtsl2","Zmpste24",NA,NA,NA,"Lman1"
"22","Slc39a12","Osbpl1a","Alpl","Serpinb1a",NA,"Itpr3",NA,"Cct8",NA,"Kng2","Suco",NA,NA,NA,"Pofut2"
"23","Tmx4","Upp2","Mmgt1","Igkv4-59",NA,"Stt3b",NA,"Bsg",NA,"Minpp1","Uggt1",NA,NA,NA,"Nucb1"
"24","Cntnap5a","Mtss1","Tnfrsf21","Adipoq",NA,"Itgb8",NA,"Pofut1",NA,"Gas6","Itgb1",NA,NA,NA,"Glce"
