"ensembl_gene_id","entrezgene_id","description","mgi_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_BirA","baseMean_BirA_Sox2Cre","Kid92","Kid93","Kid94","Kid95"
"ENSMUSG00000026535",26388,"interferon activated gene 202B [Source:MGI Symbol;Acc:MGI:1347083]","Ifi202b",66.5716736788776,7.13730248284594,1.14129270755477,6.25370024324229,4.00840036395555e-10,6.45581510046213e-07,340.577051444409,344.344930337242,375.218231844594,305.935871044223,310.637905932753,378.051954741731
"ENSMUSG00000065968",74482,"interferon induced transmembrane protein 7 [Source:MGI Symbol;Acc:MGI:1921732]","Ifitm7",118.070984672479,5.34950847993253,0.648719591133739,8.24625701619928,1.63432960342665e-16,5.26440912829487e-13,144.220757494202,192.798658665517,132.640839919586,155.800675068817,195.586829661363,190.010487669672
"ENSMUSG00000044117",67254,"bMERB domain containing 1 [Source:MGI Symbol;Acc:MGI:1914504]","Bmerb1",153.624664020631,4.48244795947635,0.541244030160216,8.28175039297797,1.2137779882446e-16,4.56137767982321e-13,2684.63039174466,2574.54676347014,2544.07520890809,2825.18557458122,2564.75399257298,2584.3395343673
"ENSMUSG00000025270",11656,"aminolevulinic acid synthase 2, erythroid [Source:MGI Symbol;Acc:MGI:87990]","Alas2",465.901469706336,3.18759578932456,0.349048632794165,9.1322397220341,6.70965450989762e-20,3.02578579778343e-16,15130.5319951212,15286.2051871799,16137.9688568829,14123.0951333594,14409.7047988521,16162.7055755078
"ENSMUSG00000076514",NA,"immunoglobulin kappa variable 17-121 [Source:MGI Symbol;Acc:MGI:3647671]","Igkv17-121",64.3673532781282,3.03168453221919,0.755238057252107,4.01421049046417,5.96451022434249e-05,0.0363480477131012,1330.3013000613,1416.89853440962,1285.77967345472,1374.82292666787,1423.9783209282,1409.81874789104
"ENSMUSG00000069919",15122,"hemoglobin alpha, adult chain 1 [Source:MGI Symbol;Acc:MGI:96015]","Hba-a1",5299.95671869051,3.02762625818018,0.733591046658244,4.12713087485465,3.67317368367825e-05,0.0243596235939933,157.056011718402,131.015553476904,146.980390181163,167.131633255641,121.246134224465,140.784972729342
"ENSMUSG00000069917",110257,"hemoglobin alpha, adult chain 2 [Source:MGI Symbol;Acc:MGI:96016]","Hba-a2",2288.52452531959,2.99266514755675,0.219842382808807,13.6127761595425,3.36225170273219e-42,7.58120513932055e-38,21.546757131456,23.0704761633283,29.8740630449517,13.2194512179603,27.4352566493314,18.7056956773252
"ENSMUSG00000052305",15129,"hemoglobin, beta adult s chain [Source:MGI Symbol;Acc:MGI:5474852]","Hbb-bs",8215.89343700259,2.97543655588967,0.275458841542259,10.8017464214639,3.37718038017288e-27,2.53828877373793e-23,92.0820378552065,91.5461494039964,99.1818893092398,84.9821864011732,105.315985202272,77.7763136057206
"ENSMUSG00000052305",100503605,"hemoglobin, beta adult s chain [Source:MGI Symbol;Acc:MGI:5474852]","Hbb-bs",8215.89343700259,2.97543655588967,0.275458841542259,10.8017464214639,3.37718038017288e-27,2.53828877373793e-23,92.0820378552065,91.5461494039964,99.1818893092398,84.9821864011732,105.315985202272,77.7763136057206
"ENSMUSG00000073940",101488143,"hemoglobin, beta adult t chain [Source:MGI Symbol;Acc:MGI:5474850]","Hbb-bt",2457.91570608998,2.9693080354536,0.302428310796256,9.81822114350268,9.39873493836686e-23,5.2980668847574e-19,3459.62857100603,3287.96710494702,3950.54609706442,2968.71104494765,3236.4752763421,3339.45893355195
