"Ilia_newDatabase, 126:127, NoBirA_6:BirA/Cre_3"	"Ilia_newDatabase, 126:128, NoBirA_6:NoBirA_4"	"Ilia_newDatabase, 126:129, NoBirA_6:NoBirA_5"	"Ilia_newDatabase, 126:130, NoBirA_6:BirA/Cre_2"	"Ilia_newDatabase, 126:131, NoBirA_6:BirA/Cre_1"	"Ilia_newDatabase, 127:126, BirA/Cre_3:NoBirA_6"	"Ilia_newDatabase, 127:128, BirA/Cre_3:NoBirA_4"	"Ilia_newDatabase, 127:129, BirA/Cre_3:NoBirA_5"	"Ilia_newDatabase, 127:130, BirA/Cre_3:BirA/Cre_2"	"Ilia_newDatabase, 127:131, BirA/Cre_3:BirA/Cre_1"	"Ilia_newDatabase, 128:126, NoBirA_4:NoBirA_6"	"Ilia_newDatabase, 128:127, NoBirA_4:BirA/Cre_3"	"Ilia_newDatabase, 128:129, NoBirA_4:NoBirA_5"	"Ilia_newDatabase, 128:130, NoBirA_4:BirA/Cre_2"	"Ilia_newDatabase, 128:131, NoBirA_4:BirA/Cre_1"	"Ilia_newDatabase, 129:126, NoBirA_5:NoBirA_6"	"Ilia_newDatabase, 129:127, NoBirA_5:BirA/Cre_3"	"Ilia_newDatabase, 129:128, NoBirA_5:NoBirA_4"	"Ilia_newDatabase, 129:130, NoBirA_5:BirA/Cre_2"	"Ilia_newDatabase, 129:131, NoBirA_5:BirA/Cre_1"	"Ilia_newDatabase, 130:126, BirA/Cre_2:NoBirA_6"	"Ilia_newDatabase, 130:127, BirA/Cre_2:BirA/Cre_3"	"Ilia_newDatabase, 130:128, BirA/Cre_2:NoBirA_4"	"Ilia_newDatabase, 130:129, BirA/Cre_2:NoBirA_5"	"Ilia_newDatabase, 130:131, BirA/Cre_2:BirA/Cre_1"	"Ilia_newDatabase, 131:126, BirA/Cre_1:NoBirA_6"	"Ilia_newDatabase, 131:127, BirA/Cre_1:BirA/Cre_3"	"Ilia_newDatabase, 131:128, BirA/Cre_1:NoBirA_4"	"Ilia_newDatabase, 131:129, BirA/Cre_1:NoBirA_5"	"Ilia_newDatabase, 131:130, BirA/Cre_1:BirA/Cre_2"	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Ilia_newDatabase unique_peptides	Ilia_newDatabase numSpectra	Ilia_newDatabase totalIntensity	Ilia_newDatabase pct_cov
-5.369	0.232	1.275	-4.888	-5.164	5.369	5.219	6.07	0.518	0.214	-0.232	-5.219	0.344	-4.811	-5.021	-1.275	-6.07	-0.344	-5.604	-5.889	4.888	-0.518	4.811	5.604	-0.323	5.164	-0.214	5.021	5.889	0.323	E9Q414	E9Q414	Apob	1	1119	269	269	E9Q414	MOUSE	510791.9	54.2	1	1.1	4060.64	4060.64		4505	Apolipoprotein B-100	extracellular region|cytoplasm|endoplasmic reticulum|Golgi apparatus|plasma membrane|vesicle membrane|actin cytoskeleton|vesicle lumen|mature chylomicron|very-low-density lipoprotein particle|low-density lipoprotein particle|intermediate-density lipoprotein particle|chylomicron|neuronal cell body|extracellular exosome|	in utero embryonic development|lipid metabolic process|triglyceride mobilization|spermatogenesis|nervous system development|cholesterol metabolic process|fertilization|response to virus|response to carbohydrate|post-embryonic development|response to selenium ion|positive regulation of gene expression|positive regulation of macrophage derived foam cell differentiation|positive regulation of lipid storage|positive regulation of cholesterol storage|lipid catabolic process|triglyceride catabolic process|cholesterol transport|sperm motility|response to lipopolysaccharide|cholesterol efflux|low-density lipoprotein particle remodeling|low-density lipoprotein particle clearance|lipoprotein metabolic process|lipoprotein biosynthetic process|lipoprotein catabolic process|cholesterol homeostasis|lipoprotein transport|regulation of cholesterol biosynthetic process|artery morphogenesis|cellular response to tumor necrosis factor|cellular response to prostaglandin stimulus|	phospholipid binding|heparin binding|cholesterol transporter activity|lipase binding|low-density lipoprotein particle receptor binding|	269	1119	1.61E+12	54.20%
-5.555	0.16	0.842	-5.262	-5.658	5.555	5.176	6.048	0.295	-0.187	-0.16	-5.176	0.494	-4.866	-5.356	-0.842	-6.048	-0.494	-5.709	-6.164	5.262	-0.295	4.866	5.709	-0.48	5.658	0.187	5.356	6.164	0.48	P01027	P01027	C3	1	998	175	152	P01027|P01027-2|Q2UVX4|G3X7A5	MOUSE	188021	86.1	2	2.1	2794.84	2491.05		1663	Complement C3	extracellular space|extracellular exosome|blood microparticle|	"positive regulation of type IIa hypersensitivity|positive regulation of protein phosphorylation|positive regulation of activation of membrane attack complex|tolerance induction|fatty acid metabolic process|inflammatory response|complement activation|complement activation, alternative pathway|complement activation, classical pathway|blood coagulation|positive regulation of vascular endothelial growth factor production|positive regulation of glucose transport|regulation of triglyceride biosynthetic process|positive regulation of lipid storage|negative regulation of endopeptidase activity|response to magnesium ion|response to estradiol|response to progesterone|positive regulation of G-protein coupled receptor protein signaling pathway|positive regulation of angiogenesis|positive regulation of developmental growth|positive regulation of phagocytosis|response to glucocorticoid|positive regulation of ERK1 and ERK2 cascade|positive regulation of apoptotic cell clearance|"	endopeptidase inhibitor activity|protein binding|lipid binding|C5L2 anaphylatoxin chemotactic receptor binding|cofactor binding|	175	998	2.94E+12	86.10%
						5.157		0.394	-0.488		-5.157		-4.764	-5.646							-0.394	4.764		-0.882		0.488	5.646		0.882	A0A0F6QNP7	A0A0F6QNP7	C3	1	1	26	1	A0A0F6QNP7	BOVIN	188719.1	10	2	2.2	325.65	7.96		1661	Complement component 3				1	1	5950000	0.60%
-5.465	-0.067	0.495	-5.142	-5.125	5.465	5.252	5.92	-0.012	0.203	0.067	-5.252	0.358	-5.214	-4.991	-0.495	-5.92	-0.358	-5.701	-5.688	5.142	0.012	5.214	5.701	0.186	5.125	-0.203	4.991	5.688	-0.186	Q61838	Q61838	Pzp	1	1999	140	135	Q61838	MOUSE	167218.8	74.9	3	3.1	2582.97	2509.87		1495	Pregnancy zone protein	extracellular region|extracellular space|	embryo implantation|negative regulation of endopeptidase activity|	serine-type endopeptidase inhibitor activity|protein complex binding|	140	1999	9.92E+13	74.90%
-6.483	2.378		-3.03	-2.793	6.483	6.834		4.215	4.435	-2.378	-6.834		-1.466	-1.359						3.03	-4.215	1.466		0.22	2.793	-4.435	1.359		-0.22	F1MI18	F1MI18		1	3	7	2	F1MI18|F1MJK3	BOVIN	167182.2	4.3	3	3.2	86.39	13.29		1478	Uncharacterized protein				2	3	1.28E+08	1.30%
-5.655	0.227	1.049	-5.329	-5.321	5.655	5.299	6.51	0.357	0.36	-0.227	-5.299	0.122	-5.144	-5.111	-1.049	-6.51	-0.122	-6.22	-6.143	5.329	-0.357	5.144	6.22	0.018	5.321	-0.36	5.111	6.143	-0.018	P06684	P06684	C5	1	542	124	124	P06684|A0A0J9YUU3	MOUSE	190586.2	59.9	4	4.1	1830.66	1830.66		1680	Complement C5	membrane attack complex|extracellular space|extracellular exosome|	"in utero embryonic development|inflammatory response|complement activation, alternative pathway|complement activation, classical pathway|positive regulation of vascular endothelial growth factor production|negative regulation of macrophage chemotaxis|negative regulation of endopeptidase activity|cytolysis|positive regulation of angiogenesis|positive regulation of chemokine secretion|activation of mitophagy in response to mitochondrial depolarization|"	endopeptidase inhibitor activity|	124	542	1.08E+12	59.90%
-3.427	1.864	2.257	-4.081	-1.718	3.427	5.102	5.52	-0.643	1.643	-1.864	-5.102	0.815	-5.761	-3.636	-2.257	-5.52	-0.815	-6.189	-4.196	4.081	0.643	5.761	6.189	2.283	1.718	-1.643	3.636	4.196	-2.283	A0A087WSN6	A0A087WSN6	Fn1	1	515	112	112	A0A087WSN6|B9EHT6|A0A087WR50|Q3UHL6|B7ZNJ1|P11276|A0A087WS56|Q4KL80	MOUSE	256658.4	53.6	5	5.1	1815.33	1815.33		2296	Fibronectin	fibrinogen complex|proteinaceous extracellular matrix|basement membrane|basal lamina|extracellular space|endoplasmic reticulum-Golgi intermediate compartment|apical plasma membrane|extracellular matrix|extracellular exosome|blood microparticle|extracellular matrix|	"regulation of protein phosphorylation|cell-substrate junction assembly|cell adhesion|cell-matrix adhesion|calcium-independent cell-matrix adhesion|positive regulation of cell proliferation|positive regulation of gene expression|positive regulation of peptidase activity|peptide cross-linking|integrin activation|substrate adhesion-dependent cell spreading|endodermal cell differentiation|wound healing|positive regulation of axon extension|positive regulation of fibroblast proliferation|regulation of ERK1 and ERK2 cascade|positive regulation of substrate-dependent cell migration, cell attachment to substrate|negative regulation of transforming growth factor-beta secretion|"	protease binding|integrin binding|protein binding|peptidase activator activity|	112	515	5.78E+11	53.60%
-5.686	-0.065	0.882	-5.39	-5.216	5.686	5.407	6.15	0.215	0.422	0.065	-5.407	0.607	-5.165	-4.994	-0.882	-6.15	-0.607	-5.83	-5.645	5.39	-0.215	5.165	5.83	0.169	5.216	-0.422	4.994	5.645	-0.169	P28665	P28665	Mug1	1	649	101	48	P28665	MOUSE	166721	61.1	6	6.1	1679.22	899.67		1476	Murinoglobulin-1	extracellular space|	embryo implantation|negative regulation of endopeptidase activity|	serine-type endopeptidase inhibitor activity|	101	649	1.59E+12	61.10%
-4.933	0.216	0.77	-4.827	-5.07	4.933	3.713	5.649	-0.031	-0.3	-0.216	-3.713	-1.359	-3.707	-4.137	-0.77	-5.649	1.359	-5.635	-5.961	4.827	0.031	3.707	5.635	-0.266	5.07	0.3	4.137	5.961	0.266	P28666	P28666	Mug2	1	14	57	12	P28666	MOUSE	163805.4	35.8	6	6.2	809.55	142.03		1451	Murinoglobulin-2	extracellular space|	negative regulation of endopeptidase activity|	serine-type endopeptidase inhibitor activity|	12	14	1.11E+09	9.90%
-6.66			-6.439	-6.184	6.66	7.343		0.141	-0.003		-7.343		-7.202	-8.389						6.439	-0.141	7.202		-0.034	6.184	0.003	8.389		0.034	A0A0N4SVU1	A0A0N4SVU1	Gm7298	1	3	36	2	A0A0N4SVU1	MOUSE	166767.7	22.4	6	6.3	491.19	11.4		1476	Predicted gene 7298				2	3	2.00E+07	1.20%
