,id,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Brain_Searched..127.126.127.128.129.130.131..No_BirA_6.multimedian,Brain_Searched..128.126.127.128.129.130.131..No_BirA_5.multimedian,Brain_Searched..131.126.127.128.129.130.131..No_BirA_4.multimedian,Brain_Searched..126.126.127.128.129.130.131..XBirA_2.multimedian,Brain_Searched..129.126.127.128.129.130.131..XBirA_3.multimedian,Brain_Searched..130.126.127.128.129.130.131..XBirA_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Brain_Searched.unique_peptides,Brain_Searched.numSpectra,Brain_Searched.totalIntensity,Brain_Searched.pct_cov
3177,Q6NZC7,0.000321137,-0.009833333,48.59890769,2.944333333,1.38E-05,9.977521244,-1.718,-1.34,-1.388,1.854,0.718,1.815,Q6NZC7,NotFound,Q6NZC7_NotFound,Q6NZC7,Sec23ip,1,7,2,2,Q6NZC7|G3X928,MOUSE,111405.9,3.1,2703,2703.1,20.7,20.7,NA,998,SEC23-interacting protein,cis-Golgi network|ER to Golgi transport vesicle membrane|intracellular membrane-bounded organelle|perinuclear region of cytoplasm|endoplasmic reticulum exit site|perinuclear endoplasmic reticulum|,acrosome assembly|spermatid development|single fertilization|,poly(A) RNA binding|metal ion binding|,2,7,1.02E+09,3.10%
1038,Q9CQ45,6.49E-06,-0.637,87.21347781,2.928,1.90E-09,32.19520013,-1.994,-2.148,-2.161,0.92,0.759,0.802,Q9CQ45,Nenf,Q9CQ45_Nenf,Q9CQ45,Nenf,1,36,11,11,Q9CQ45,MOUSE,18904.1,66.6,676,676.1,186.05,186.05,NA,171,Neudesin,extracellular space|nucleus|nucleoplasm|endomembrane system|membrane|,negative regulation of appetite|positive regulation of MAPK cascade|,growth factor activity|heme binding|metal ion binding|,11,36,2.22E+10,66.60%
65,P08113,1.06E-05,-0.3075,71.55759454,2.657666667,6.99E-08,19.99556212,-1.736,-1.595,-1.578,1.121,0.738,1.205,P08113,Hsp90b1,P08113_Hsp90b1,P08113,Hsp90b1,1,551,86,84,P08113,MOUSE,92759.4,64,21,21.1,1394.27,1354.14,NA,802,Endoplasmin,extracellular region|nucleus|endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum membrane|cytosol|plasma membrane|focal adhesion|membrane|midbody|extracellular matrix|endoplasmic reticulum chaperone complex|melanosome|perinuclear region of cytoplasm|extracellular exosome|,"response to hypoxia|protein folding|ER-associated ubiquitin-dependent protein catabolic process|retrograde protein transport, ER to cytosol|actin rod assembly|negative regulation of apoptotic process|regulation of phosphoprotein phosphatase activity|cellular response to ATP|",RNA binding|protein binding|ATP binding|protein phosphatase binding|virion binding|low-density lipoprotein particle receptor binding|unfolded protein binding|,86,551,1.45E+12,64.00%
220,A11111,1.06E-05,-0.4925,72.14387661,2.615666667,6.10E-08,20.35749504,-1.997,-1.568,-1.836,0.683,0.829,0.934,A11111,NotFound,A11111_NotFound,A11111,A11111,1,241,39,39,A11111|P06709,MOUSE,39099.5,81.4,99,99.1,704.5,704.5,NA,NA,BirAG3ER,,,,39,241,8.91E+11,81.40%
520,P14211,1.78E-05,-0.2645,67.15154825,2.549,1.93E-07,17.46712003,-1.569,-1.536,-1.512,1.127,0.67,1.233,P14211,Calr,P14211_Calr,P14211,Calr,1,74,23,23,P14211,MOUSE,48164.8,54.5,304,304.1,332.61,332.61,NA,416,Calreticulin,acrosomal vesicle|extracellular region|extracellular space|nucleus|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|Golgi apparatus|cytosol|polysome|focal adhesion|external side of plasma membrane|membrane|extracellular matrix|sarcoplasmic reticulum lumen|MHC class I peptide loading complex|phagocytic vesicle|perinuclear region of cytoplasm|extracellular exosome|,"negative regulation of transcription from RNA polymerase II promoter|peptide antigen assembly with MHC class I protein complex|protein export from nucleus|cell cycle arrest|spermatogenesis|positive regulation of cell proliferation|positive regulation of gene expression|negative regulation of translation|cortical actin cytoskeleton organization|response to estradiol|negative regulation of intracellular steroid hormone receptor signaling pathway|response to testosterone|protein localization to nucleus|regulation of meiotic nuclear division|response to drug|negative regulation of neuron differentiation|positive regulation of DNA replication|positive regulation of cell cycle|negative regulation of transcription, DNA-templated|negative regulation of retinoic acid receptor signaling pathway|positive regulation of phagocytosis|protein stabilization|cardiac muscle cell differentiation|chaperone-mediated protein folding|cellular response to lithium ion|cellular response to organic substance|cellular senescence|positive regulation of substrate adhesion-dependent cell spreading|positive regulation of dendritic cell chemotaxis|",glycoprotein binding|mRNA binding|integrin binding|iron ion binding|calcium ion binding|protein binding|carbohydrate binding|ubiquitin protein ligase binding|peptide binding|hormone binding|poly(A) RNA binding|androgen receptor binding|unfolded protein binding|,23,74,3.88E+11,54.50%
96,P20029,1.31E-05,-0.243166667,69.25750542,2.539,1.19E-07,18.63468906,-1.627,-1.429,-1.482,1.091,0.747,1.241,P20029,Hspa5,P20029_Hspa5,P20029,Hspa5,1,509,70,67,P20029,MOUSE,72534.8,74.6,36,36.1,1124.65,1077.13,NA,655,78 kDa glucose-regulated protein,extracellular region|nucleus|mitochondrion|endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum membrane|smooth endoplasmic reticulum|endoplasmic reticulum-Golgi intermediate compartment|plasma membrane|focal adhesion|cell surface|membrane|integral component of endoplasmic reticulum membrane|midbody|endoplasmic reticulum chaperone complex|melanosome|myelin sheath|extracellular exosome|COP9 signalosome|,ER overload response|activation of signaling protein activity involved in unfolded protein response|cerebellum structural organization|cerebellar Purkinje cell layer development|substantia nigra development|positive regulation of cell migration|negative regulation of transforming growth factor beta receptor signaling pathway|positive regulation of protein ubiquitination|response to endoplasmic reticulum stress|maintenance of protein localization in endoplasmic reticulum|positive regulation of embryonic development|cellular response to glucose starvation|negative regulation of apoptotic process|proteolysis involved in cellular protein catabolic process|cellular response to antibiotic|cellular response to interleukin-4|toxin transport|,glycoprotein binding|protein binding|ATP binding|ATPase activity|enzyme binding|protein domain specific binding|ubiquitin protein ligase binding|ribosome binding|unfolded protein binding|misfolded protein binding|,70,509,1.73E+12,74.60%
3317,G5E8F8,0.000100198,-0.410666667,55.11849119,2.511333333,3.08E-06,12.32843109,-1.216,-2.006,-1.777,0.919,0.626,0.99,G5E8F8,Itgb5,G5E8F8_Itgb5,G5E8F8,Itgb5,1,2,2,2,G5E8F8|O70309-2|Q6PE70|O70309,MOUSE,93484.2,3.4,2865,2865.1,17.78,17.78,NA,816,Integrin beta,focal adhesion|cell surface|cell leading edge|integrin alphav-beta5 complex|receptor complex|extracellular exosome|,cell-matrix adhesion|transforming growth factor beta receptor signaling pathway|integrin-mediated signaling pathway|endodermal cell differentiation|stress fiber assembly|epithelial cell-cell adhesion|,receptor activity|integrin binding|,2,2,13900000,3.40%
559,O08795-2,1.06E-05,-0.371333333,77.58161462,2.484666667,1.75E-08,24.03182373,-1.661,-1.493,-1.687,0.976,0.718,0.919,O08795,Prkcsh,O08795-2_Prkcsh,O08795-2,Prkcsh,1,90,20,20,O08795-2|O08795,MOUSE,60528.5,36.1,329,329.1,315.58,315.58,NA,521,Isoform 2 of Glucosidase 2 subunit beta,endoplasmic reticulum|,in utero embryonic development|liver development|N-glycan processing|nitrogen compound metabolic process|negative regulation of neuron projection development|protein heterooligomerization|renal system development|,RNA binding|protein kinase C binding|calcium ion binding|protein binding|ion channel binding|phosphoprotein binding|,20,90,1.06E+11,36.10%
1126,Q9ERE7,1.06E-05,-0.342,71.64964673,2.446,6.84E-08,20.0519746,-1.728,-1.5,-1.467,1.034,0.679,0.93,Q9ERE7,Mesd,Q9ERE7_Mesd,Q9ERE7,Mesd,1,36,12,12,Q9ERE7,MOUSE,25320.3,45.5,750,750.1,169.29,169.29,NA,224,LRP chaperone MESD,endoplasmic reticulum|plasma membrane|,protein folding|mesoderm development|Wnt signaling pathway|protein localization to cell surface|,protein binding|low-density lipoprotein particle receptor binding|,12,36,1.33E+10,45.50%
1178,Q8BM72,1.06E-05,-0.378166667,71.7601399,2.445666667,6.67E-08,20.11989147,-1.672,-1.52,-1.611,1.095,0.712,0.727,Q8BM72,Hspa13,Q8BM72_Hspa13,Q8BM72,Hspa13,1,21,11,11,Q8BM72|D3Z0Y0|Q8BM72-2,MOUSE,51765.4,28.8,797,797.1,162.02,162.02,NA,471,Heat shock 70 kDa protein 13,endoplasmic reticulum|extracellular exosome|,,ATP binding|,11,21,5.17E+09,28.80%
178,Q8BMK4,1.06E-05,-0.2745,71.26521484,2.372333333,7.47E-08,19.81739783,-1.425,-1.506,-1.451,1.038,0.657,1.04,Q8BMK4,Ckap4,Q8BMK4_Ckap4,Q8BMK4,Ckap4,1,210,54,54,Q8BMK4,MOUSE,63748,74.7,76,76.1,788.6,788.6,NA,575,Cytoskeleton-associated protein 4,endoplasmic reticulum|endoplasmic reticulum membrane|lipid particle|cytoskeleton|plasma membrane|cell surface|integral component of membrane|perinuclear region of cytoplasm|extracellular exosome|,,poly(A) RNA binding|,54,210,1.40E+11,74.70%
202,P27773,3.68E-05,-0.194833333,61.57585156,2.367,6.96E-07,14.70297454,-1.439,-1.376,-1.32,1.076,0.617,1.273,P27773,Pdia3,P27773_Pdia3,P27773,Pdia3,1,204,46,46,P27773|P38657|A5D7E8,MOUSE,57133.7,68.7,89,89.1,719.19,719.19,NA,505,Protein disulfide-isomerase A3,nucleus|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|focal adhesion|cell surface|melanosome|myelin sheath|extracellular exosome|,protein folding|response to endoplasmic reticulum stress|cell redox homeostasis|positive regulation of extrinsic apoptotic signaling pathway|,protein disulfide isomerase activity|protein binding|poly(A) RNA binding|,47,204,2.00E+11,68.70%
872,O35887,1.06E-05,-0.327333333,73.79131477,2.361333333,4.18E-08,21.40879947,-1.502,-1.426,-1.596,0.881,0.666,1.013,O35887,Calu,O35887_Calu,O35887,Calu,1,38,16,16,O35887|Q6XLQ8|G3V004|G3UWV3|G3UWR0,MOUSE,37177.2,50.1,540,540.1,223.84,223.84,NA,315,Calumenin,extracellular region|endoplasmic reticulum|endoplasmic reticulum lumen|membrane|sarcoplasmic reticulum lumen|melanosome|,peripheral nervous system axon regeneration|response to organic cyclic compound|negative regulation of catalytic activity|,enzyme inhibitor activity|calcium ion binding|enzyme binding|,16,38,1.55E+10,50.10%
445,B9EKR1,1.06E-05,-0.367,81.06107184,2.352666667,7.83E-09,26.71432187,-1.525,-1.528,-1.577,0.852,0.686,0.89,B9EKR1,Ptprz1,B9EKR1_Ptprz1,B9EKR1,Ptprz1,1,95,29,29,B9EKR1|B2RXS8|A0A0J9YVD2,MOUSE,255655.7,13,250,250.1,389.07,389.07,NA,2312,Receptor-type tyrosine-protein phosphatase zeta,proteinaceous extracellular matrix|plasma membrane|integral component of membrane|perineuronal net|,hematopoietic progenitor cell differentiation|axonogenesis|learning or memory|peptidyl-tyrosine dephosphorylation|oligodendrocyte differentiation|regulation of oligodendrocyte progenitor proliferation|,protein tyrosine phosphatase activity|protein binding|,29,95,6.17E+10,13.00%
1264,P57759,1.06E-05,-0.327,70.75425526,2.35,8.41E-08,19.50971364,-1.595,-1.458,-1.453,1.07,0.648,0.826,P57759,Erp29,P57759_Erp29,P57759,Erp29,1,33,12,12,P57759|D6RG87|F8WIM7|F8WJI4,MOUSE,28879.8,48.8,860,860.1,147.08,147.08,NA,262,Endoplasmic reticulum resident protein 29,endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|cell surface|membrane|transport vesicle|melanosome|extracellular exosome|,activation of MAPK activity|positive regulation of protein phosphorylation|ER to Golgi vesicle-mediated transport|protein secretion|positive regulation of gene expression|negative regulation of gene expression|negative regulation of protein secretion|regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway|,protein homodimerization activity|chaperone binding|,12,33,8.99E+09,48.80%
207,P09103,1.06E-05,-0.3015,72.86634862,2.346333333,5.17E-08,20.81222812,-1.535,-1.46,-1.429,0.938,0.652,1.025,P09103,P4hb,P09103_P4hb,P09103,P4hb,1,138,49,49,P09103|P05307|A6H7J6|E9Q8G8,MOUSE,57456.8,73.2,93,93.1,711.91,711.91,NA,509,Protein disulfide-isomerase,endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum-Golgi intermediate compartment|focal adhesion|external side of plasma membrane|procollagen-proline 4-dioxygenase complex|endoplasmic reticulum chaperone complex|melanosome|extracellular exosome|,protein folding|peptidyl-proline hydroxylation to 4-hydroxy-L-proline|response to endoplasmic reticulum stress|cell redox homeostasis|cellular response to hypoxia|regulation of oxidative stress-induced intrinsic apoptotic signaling pathway|,protein disulfide isomerase activity|integrin binding|protein binding|enzyme binding|poly(A) RNA binding|protein heterodimerization activity|procollagen-proline 4-dioxygenase activity|peptidyl-proline 4-dioxygenase activity|,49,138,5.54E+10,73.20%
237,P08003,2.15E-05,-0.181666667,65.11820175,2.344,3.08E-07,16.40641108,-1.394,-1.264,-1.403,1.109,0.669,1.193,P08003,Pdia4,P08003_Pdia4,P08003,Pdia4,1,155,45,44,A0A0R4J0Z1|P08003|F1MEN8|Q29RV1,MOUSE,72323.4,58.4,110,110.1,667.25,650.3,NA,638,Protein disulfide-isomerase A4,endoplasmic reticulum|endoplasmic reticulum lumen|cell surface|endoplasmic reticulum chaperone complex|melanosome|,protein folding|response to endoplasmic reticulum stress|cell redox homeostasis|chaperone-mediated protein folding|,protein disulfide isomerase activity|poly(A) RNA binding|,44,155,8.77E+10,56.80%
421,Q8BFZ9,0.018063217,0.454666667,27.9280416,2.314,0.001611372,4.811639624,-0.75,-0.753,-0.604,2.521,0.357,1.957,Q8BFZ9,Erlin2,Q8BFZ9_Erlin2,Q8BFZ9,Erlin2,1,148,27,23,Q8BFZ9,MOUSE,38100.1,60.2,234,234.1,412.76,356.23,NA,340,Erlin-2,cytoplasm|endoplasmic reticulum|endoplasmic reticulum membrane|plasma membrane|integral component of membrane|protein complex|membrane raft|extracellular exosome|,cholesterol metabolic process|ER-associated ubiquitin-dependent protein catabolic process|SREBP signaling pathway|negative regulation of cholesterol biosynthetic process|negative regulation of fatty acid biosynthetic process|,protein binding|ubiquitin protein ligase binding|,27,148,1.25E+11,60.20%
1053,Q80UU9,1.06E-05,-0.468,72.17937066,2.303333333,6.05E-08,20.37960901,-1.801,-1.639,-1.419,0.757,0.672,0.622,Q80UU9,Pgrmc2,Q80UU9_Pgrmc2,Q80UU9,Pgrmc2,1,34,14,12,Q80UU9,MOUSE,23447.8,47,689,689.1,182.62,158.97,NA,217,Membrane-associated progesterone receptor component 2,endomembrane system|membrane|integral component of membrane|,,steroid binding|heme binding|,14,34,2.69E+10,47.00%
1016,Q3TMX5,1.85E-05,-0.2155,66.50346419,2.299666667,2.24E-07,17.12213822,-1.423,-1.284,-1.389,1.074,0.637,1.092,Q3TMX5,Manf,Q3TMX5_Manf,Q3TMX5,Manf,1,54,15,15,Q3TMX5|Q80ZP8|Q9CXI5,MOUSE,20843.8,53,656,656.1,191.27,191.27,NA,179,"Arginine-rich, mutated in early stage tumors, isoform CRA_b",extracellular space|nucleus|endoplasmic reticulum|perinuclear region of cytoplasm|,vasoconstriction of artery involved in ischemic response to lowering of systemic arterial blood pressure|,poly(A) RNA binding|,15,54,3.24E+10,53.00%
739,P55302,1.84E-05,-0.371833333,66.771325,2.281,2.10E-07,17.26392665,-1.758,-1.492,-1.287,0.863,0.645,0.798,P55302,Lrpap1,P55302_Lrpap1,P55302,Lrpap1,1,62,20,20,P55302,MOUSE,42214.3,46.3,437,437.1,262.25,262.25,NA,360,Alpha-2-macroglobulin receptor-associated protein,extracellular region|endoplasmic reticulum|plasma membrane|cell surface|vesicle|rough endoplasmic reticulum lumen|,negative regulation of very-low-density lipoprotein particle clearance|negative regulation of protein binding|extracellular negative regulation of signal transduction|negative regulation of beta-amyloid clearance|,heparin binding|lipase binding|receptor antagonist activity|low-density lipoprotein particle receptor binding|very-low-density lipoprotein particle receptor binding|,20,62,3.10E+10,46.30%
402,P35564,1.06E-05,-0.294333333,75.02941021,2.267333333,3.14E-08,22.23336673,-1.4,-1.403,-1.481,0.898,0.658,0.962,P35564,Canx,P35564_Canx,P35564,Canx,1,83,30,30,P35564,MOUSE,67676.1,56.1,222,222.1,427.85,427.85,NA,591,Calnexin,endoplasmic reticulum|endoplasmic reticulum membrane|smooth endoplasmic reticulum|rough endoplasmic reticulum|ribosome|membrane|integral component of membrane|axon|dendrite cytoplasm|melanosome|neuronal cell body|dendritic spine|myelin sheath|protein complex|ER-mitochondrion membrane contact site|extracellular exosome|integral component of lumenal side of endoplasmic reticulum membrane|,aging|synaptic vesicle endocytosis|chaperone-mediated protein folding|clathrin-mediated endocytosis|,glycoprotein binding|calcium ion binding|protein binding|carbohydrate binding|apolipoprotein binding|ionotropic glutamate receptor binding|poly(A) RNA binding|unfolded protein binding|,30,83,5.05E+10,56.10%
2667,P52194,0.000104533,-0.3435,54.73253977,2.255666667,3.36E-06,12.1764409,-1.05,-1.602,-1.762,0.696,0.699,0.958,P52194,Clgn,P52194_Clgn,P52194,Clgn,1,5,4,4,P52194,MOUSE,69886.2,7.3,2182,2182.1,35.3,35.3,NA,611,Calmegin,nuclear envelope|endoplasmic reticulum|endoplasmic reticulum membrane|integral component of membrane|,protein folding|protein complex assembly|multicellular organismal development|spermatogenesis|single fertilization|binding of sperm to zona pellucida|cell differentiation|meiotic cell cycle|,calcium ion binding|protein binding|protein binding involved in protein folding|unfolded protein binding|,4,5,2.66E+08,7.30%
73,Q8BI84,1.06E-05,-0.267166667,71.05691654,2.243,7.84E-08,19.69140562,-1.438,-1.348,-1.38,0.996,0.624,0.943,Q8BI84,Mia3,Q8BI84_Mia3,Q8BI84,Mia3,1,295,94,54,Q8BI84|Q8BI84-2|Q8BI84-3,MOUSE,214298.7,46.7,24,24.1,1340.15,812.65,NA,1930,Transport and Golgi organization protein 1 homolog,endoplasmic reticulum membrane|membrane|integral component of membrane|intracellular membrane-bounded organelle|,chondrocyte development|positive regulation of leukocyte migration|exocytosis|negative regulation of cell adhesion|protein transport|collagen fibril organization|negative regulation of cell migration|positive regulation of bone mineralization|wound healing|,,94,295,1.25E+11,46.70%
2672,Q6ZWQ7,2.28E-05,-0.2935,64.43377346,2.242333333,3.60E-07,16.06337937,-1.391,-1.606,-1.247,1.005,0.585,0.893,Q6ZWQ7,Spcs3,Q6ZWQ7_Spcs3,Q6ZWQ7,Spcs3,1,4,2,2,Q6ZWQ7,MOUSE,20370.1,11.6,2187,2187.1,34.95,34.95,NA,180,Signal peptidase complex subunit 3,endoplasmic reticulum|signal peptidase complex|integral component of membrane|,signal peptide processing|,peptidase activity|,2,4,1.92E+09,11.60%
2555,Q61335,0.000480539,-0.201,46.42655787,2.236666667,2.28E-05,9.287611384,-0.893,-1.504,-1.561,1.104,0.461,1.187,Q61335,Bcap31,Q61335_Bcap31,Q61335,Bcap31,1,7,4,4,Q61335,MOUSE,28013.1,17.9,2071,2071.1,39.42,39.42,NA,245,B-cell receptor-associated protein 31,Golgi membrane|mitochondrion|endoplasmic reticulum|lipid particle|cytosol|integral component of plasma membrane|membrane|clathrin-coated vesicle|Golgi cisterna membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|Sec61 translocon complex|,"intracellular protein transport|ER to Golgi vesicle-mediated transport|positive regulation of cytosolic calcium ion concentration|spermatogenesis|negative regulation of endoplasmic reticulum calcium ion concentration|calcium-mediated signaling using intracellular calcium source|positive regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of mitochondrial calcium ion concentration|protein localization to endoplasmic reticulum exit site|positive regulation of ER-associated ubiquitin-dependent protein catabolic process|positive regulation of retrograde protein transport, ER to cytosol|positive regulation of intrinsic apoptotic signaling pathway|",protein binding|protein complex binding|MHC class I protein binding|,4,7,1.84E+09,17.90%
2806,Q9CYA0,0.012038662,-0.275166667,30.01534433,2.202333333,0.000996473,5.217369477,-1.225,-2.413,-0.491,0.9,0.632,0.946,Q9CYA0,Creld2,Q9CYA0_Creld2,Q9CYA0,Creld2,1,4,4,4,Q9CYA0,MOUSE,40386.9,18.5,2319,2319.1,30.78,30.78,NA,350,Cysteine-rich with EGF-like domain protein 2,extracellular space|endoplasmic reticulum|Golgi apparatus|,,calcium ion binding|,4,4,4.06E+08,18.50%
1832,Q62177,3.63E-05,-0.235,61.81620981,2.150666667,6.58E-07,14.8130658,-1.202,-1.499,-1.23,0.884,0.572,1.065,Q62177,NotFound,Q62177_NotFound,Q62177,Sema3b,1,13,8,8,M9MMK0|Q62177|M0QWQ7|O08665,MOUSE,83839.7,10.6,1372,1372.1,81.09,81.09,NA,748,Semaphorin-3B,membrane|extracellular exosome|,nervous system development|cell differentiation|,,9,13,9.30E+08,10.60%
113,Q9JKR6,1.31E-05,-0.248833333,69.10773655,2.147,1.23E-07,18.54924054,-1.434,-1.275,-1.258,0.983,0.616,0.875,Q9JKR6,Hyou1,Q9JKR6_Hyou1,Q9JKR6,Hyou1,1,309,70,70,Q9JKR6|E0CYZ2,MOUSE,111407.3,63.9,43,43.1,1075.73,1075.73,NA,999,Hypoxia up-regulated protein 1,extracellular region|endoplasmic reticulum lumen|focal adhesion|membrane|endoplasmic reticulum chaperone complex|extracellular exosome|,response to ischemia|response to endoplasmic reticulum stress|negative regulation of apoptotic process|cellular response to hypoxia|negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway|negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway|,ATP binding|,70,309,2.98E+11,63.90%
2520,Q31125,0.002832067,0.2335,37.07047213,2.124333333,0.000196315,6.752581656,-0.911,-0.693,-0.882,1.649,0.473,1.765,Q31125,Slc39a7,Q31125_Slc39a7,Q31125,Slc39a7,1,5,3,3,Q31125,MOUSE,50826.8,11.3,2037,2037.1,40.87,40.87,NA,476,Zinc transporter SLC39A7,nucleoplasm|endoplasmic reticulum|endoplasmic reticulum membrane|Golgi apparatus|integral component of membrane|,zinc II ion transport|transmembrane transport|,protein binding|metal ion transmembrane transporter activity|,3,5,1.85E+08,11.30%
