id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,Ilia_newDatabase..126.126.127.128.129.130.131..NoBirA_6.multimedian,Ilia_newDatabase..128.126.127.128.129.130.131..NoBirA_4.multimedian,Ilia_newDatabase..129.126.127.128.129.130.131..NoBirA_5.multimedian,Ilia_newDatabase..127.126.127.128.129.130.131..BirA.Cre_3.multimedian,Ilia_newDatabase..130.126.127.128.129.130.131..BirA.Cre_2.multimedian,Ilia_newDatabase..131.126.127.128.129.130.131..BirA.Cre_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Ilia_newDatabase.unique_peptides,Ilia_newDatabase.numSpectra,Ilia_newDatabase.totalIntensity,Ilia_newDatabase.pct_cov
E9Q414,7.14977E-05,-1.064333333,52.91020357,4.378,5.11658E-06,10.56995039,-3.745,-2.816,-3.199,1.318,0.919,1.137,E9Q414,Apob,E9Q414_Apob,E9Q414,Apob,1,1119,269,269,E9Q414,MOUSE,510791.9,54.2,1,1.1,4060.64,4060.64,,4505,Apolipoprotein B-100,extracellular region|cytoplasm|endoplasmic reticulum|Golgi apparatus|plasma membrane|vesicle membrane|actin cytoskeleton|vesicle lumen|mature chylomicron|very-low-density lipoprotein particle|low-density lipoprotein particle|intermediate-density lipoprotein particle|chylomicron|neuronal cell body|extracellular exosome|,in utero embryonic development|lipid metabolic process|triglyceride mobilization|spermatogenesis|nervous system development|cholesterol metabolic process|fertilization|response to virus|response to carbohydrate|post-embryonic development|response to selenium ion|positive regulation of gene expression|positive regulation of macrophage derived foam cell differentiation|positive regulation of lipid storage|positive regulation of cholesterol storage|lipid catabolic process|triglyceride catabolic process|cholesterol transport|sperm motility|response to lipopolysaccharide|cholesterol efflux|low-density lipoprotein particle remodeling|low-density lipoprotein particle clearance|lipoprotein metabolic process|lipoprotein biosynthetic process|lipoprotein catabolic process|cholesterol homeostasis|lipoprotein transport|regulation of cholesterol biosynthetic process|artery morphogenesis|cellular response to tumor necrosis factor|cellular response to prostaglandin stimulus|,phospholipid binding|heparin binding|cholesterol transporter activity|lipase binding|low-density lipoprotein particle receptor binding|,269,1119,1.61E+12,54.2%
P01027,7.14977E-05,-1.119666667,50.02683066,4.500666667,9.93841E-06,9.681374786,-4.165,-2.883,-3.062,1.083,0.943,1.366,P01027,C3,P01027_C3,P01027,C3,1,998,175,152,P01027|P01027-2|Q2UVX4|G3X7A5,MOUSE,188021,86.1,2,2.1,2794.84,2491.05,,1663,Complement C3,extracellular space|extracellular exosome|blood microparticle|,"positive regulation of type IIa hypersensitivity|positive regulation of protein phosphorylation|positive regulation of activation of membrane attack complex|tolerance induction|fatty acid metabolic process|inflammatory response|complement activation|complement activation, alternative pathway|complement activation, classical pathway|blood coagulation|positive regulation of vascular endothelial growth factor production|positive regulation of glucose transport|regulation of triglyceride biosynthetic process|positive regulation of lipid storage|negative regulation of endopeptidase activity|response to magnesium ion|response to estradiol|response to progesterone|positive regulation of G-protein coupled receptor protein signaling pathway|positive regulation of angiogenesis|positive regulation of developmental growth|positive regulation of phagocytosis|response to glucocorticoid|positive regulation of ERK1 and ERK2 cascade|positive regulation of apoptotic cell clearance|",endopeptidase inhibitor activity|protein binding|lipid binding|C5L2 anaphylatoxin chemotactic receptor binding|cofactor binding|,175,998,2.94E+12,86.1%
A0A0F6QNP7,0.001950943,0.33175,27.98759575,3.483666667,0.001589426,5.394256346,,-2.281,,1.113,0.843,1.652,A0A0F6QNP7,NotFound,A0A0F6QNP7_NotFound,A0A0F6QNP7,C3,1,1,26,1,A0A0F6QNP7,BOVIN,188719.1,10,2,2.2,325.65,7.96,,1661,Complement component 3,,,,1,1,5950000,0.6%
Q61838,7.5892E-05,-1.019,46.61250292,4.266666667,2.18147E-05,8.712535256,-4.083,-2.651,-2.723,1.104,1.266,0.973,Q61838,NotFound,Q61838_NotFound,Q61838,Pzp,1,1999,140,135,Q61838,MOUSE,167218.8,74.9,3,3.1,2582.97,2509.87,,1495,Pregnancy zone protein,extracellular region|extracellular space|,embryo implantation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|protein complex binding|,140,1999,9.92E+13,74.9%
F1MI18,0.173167292,0.489,7.720672566,2.2725,0.169017916,1.554406234,-2.077,0.328,,4.21,0.169,-0.185,F1MI18,NotFound,F1MI18_NotFound,F1MI18,,1,3,7,2,F1MI18|F1MJK3,BOVIN,167182.2,4.3,3,3.2,86.39,13.29,,1478,Uncharacterized protein,,,,2,3,128000000,1.3%
P06684,7.14977E-05,-1.189166667,51.33767386,4.551666667,7.34907E-06,10.0769518,-4.028,-2.752,-3.615,1.284,1.032,0.944,P06684,Hc,P06684_Hc,P06684,C5,1,542,124,124,P06684|A0A0J9YUU3,MOUSE,190586.2,59.9,4,4.1,1830.66,1830.66,,1680,Complement C5,membrane attack complex|extracellular space|extracellular exosome|,"in utero embryonic development|inflammatory response|complement activation, alternative pathway|complement activation, classical pathway|positive regulation of vascular endothelial growth factor production|negative regulation of macrophage chemotaxis|negative regulation of endopeptidase activity|cytolysis|positive regulation of angiogenesis|positive regulation of chemokine secretion|activation of mitophagy in response to mitochondrial depolarization|",endopeptidase inhibitor activity|,124,542,1.08E+12,59.9%
A0A087WSN6,0.001017781,0.001,31.1405869,3.64,0.000769027,5.223383679,-0.941,-1.794,-2.722,2.077,2.843,0.543,A0A087WSN6,Fn1,A0A087WSN6_Fn1,A0A087WSN6,Fn1,1,515,112,112,A0A087WSN6|B9EHT6|A0A087WR50|Q3UHL6|B7ZNJ1|P11276|A0A087WS56|Q4KL80,MOUSE,256658.4,53.6,5,5.1,1815.33,1815.33,,2296,Fibronectin,fibrinogen complex|proteinaceous extracellular matrix|basement membrane|basal lamina|extracellular space|endoplasmic reticulum-Golgi intermediate compartment|apical plasma membrane|extracellular matrix|extracellular exosome|blood microparticle|extracellular matrix|,"regulation of protein phosphorylation|cell-substrate junction assembly|cell adhesion|cell-matrix adhesion|calcium-independent cell-matrix adhesion|positive regulation of cell proliferation|positive regulation of gene expression|positive regulation of peptidase activity|peptide cross-linking|integrin activation|substrate adhesion-dependent cell spreading|endodermal cell differentiation|wound healing|positive regulation of axon extension|positive regulation of fibroblast proliferation|regulation of ERK1 and ERK2 cascade|positive regulation of substrate-dependent cell migration, cell attachment to substrate|negative regulation of transforming growth factor-beta secretion|",protease binding|integrin binding|protein binding|peptidase activator activity|,112,515,5.78E+11,53.6%
P28665,7.14977E-05,-1.1175,48.88456073,4.463666667,1.29284E-05,9.347605534,-4.111,-2.609,-3.328,1.283,1.153,0.907,P28665,Mug1,P28665_Mug1,P28665,Mug1,1,649,101,48,P28665,MOUSE,166721,61.1,6,6.1,1679.22,899.67,,1476,Murinoglobulin-1,extracellular space|,embryo implantation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|,101,649,1.59E+12,61.1%
P28666,7.14977E-05,-1.110166667,54.92828162,4.408333333,3.21493E-06,11.23364362,-3.729,-3.052,-3.162,0.972,1.065,1.245,P28666,Mug2,P28666_Mug2,P28666,Mug2,1,14,57,12,P28666,MOUSE,163805.4,35.8,6,6.2,809.55,142.03,,1451,Murinoglobulin-2,extracellular space|,negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|,12,14,1110000000,9.9%
A0A0N4SVU1,0.000199258,-0.8658,39.50616707,4.772833333,0.000112043,7.65910784,-4.661,-2.798,,1,1.088,1.042,A0A0N4SVU1,NotFound,A0A0N4SVU1_NotFound,A0A0N4SVU1,Gm7298,1,3,36,2,A0A0N4SVU1,MOUSE,166767.7,22.4,6,6.3,491.19,11.4,,1476,Predicted gene 7298,,,,2,3,20000000,1.2%
