id,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Liver_Searched..126.126.127.128.129.130.131..No_BirA_4.multimedian,Liver_Searched..127.126.127.128.129.130.131..No_BirA_5.multimedian,Liver_Searched..129.126.127.128.129.130.131..No_BirA_6.multimedian,Liver_Searched..128.126.127.128.129.130.131..XBirA_2.multimedian,Liver_Searched..130.126.127.128.129.130.131..XBirA_3.multimedian,Liver_Searched..131.126.127.128.129.130.131..XBirA_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Liver_Searched.unique_peptides,Liver_Searched.numSpectra,Liver_Searched.totalIntensity,Liver_Searched.pct_cov
Q8VDD5,0.584741827,-0.139,6.626357834,0.39,0.217452406,1.362917937,0.024,0.01,-1.036,-0.02,0.158,0.03,Q8VDD5,Myh9,Q8VDD5_Myh9,Q8VDD5,Myh9,1,2802,342,273,Q8VDD5|F2Z494|A2AQP0|B1AR69|E9Q264,MOUSE,227566.2,85,1,1.1,5253.84,4294.33,,1960,Myosin-9,stress fiber|ruffle|uropod|nucleus|cytoplasm|actomyosin contractile ring|cytosol|plasma membrane|brush border|cell-cell adherens junction|cell cortex|actin cytoskeleton|membrane|myosin complex|myosin II complex|cortical cytoskeleton|cell leading edge|cleavage furrow|actomyosin|protein complex|extracellular exosome|myosin II filament|immunological synapse|spindle|plasma membrane|focal adhesion|COP9 signalosome|integrin complex|neuromuscular junction|,"meiotic spindle organization|cell morphogenesis involved in differentiation|cytokinesis|angiogenesis|in utero embryonic development|establishment of T cell polarity|membrane protein ectodomain proteolysis|phagocytosis, engulfment|cell adhesion|myoblast fusion|regulation of cell shape|protein transport|single organismal cell-cell adhesion|actin filament-based movement|platelet formation|monocyte differentiation|actomyosin structure organization|actin cytoskeleton reorganization|uropod organization|blood vessel endothelial cell migration|establishment of meiotic spindle localization|platelet aggregation|negative regulation of actin filament severing|positive regulation of protein processing in phagocytic vesicle|actin filament polymerization|actin filament capping|",microfilament motor activity|actin binding|protein binding|calmodulin binding|ATP binding|ATPase activity|protein domain specific binding|actin-dependent ATPase activity|protein homodimerization activity|protein anchor|ADP binding|poly(A) RNA binding|actin filament binding|,343,2802,1.12E+13,85.0%
E9QPE7,0.430366134,-0.219833333,9.789405344,0.866333333,0.104968615,1.87742327,-0.751,0.306,-1.514,0.486,-0.294,0.448,E9QPE7,Myh11,E9QPE7_Myh11,E9QPE7,Myh11,1,50,234,13,E9QPE7,MOUSE,224209.2,76.9,1,1.2,3358.94,219.28,,1938,Myosin-11,myosin complex|extracellular exosome|,metabolic process|elastic fiber assembly|cardiac muscle fiber development|regulation of mitochondrion degradation|,motor activity|actin binding|ATP binding|structural constituent of muscle|,13,50,35400000000,5.6%
O08638,0.502661212,-0.110333333,8.165395902,0.458666667,0.152566931,1.616076711,-0.357,0.225,-0.887,0.131,-0.136,0.362,O08638,NotFound,O08638_NotFound,O08638,Myh11,1,20,222,7,O08638,MOUSE,227879.9,73.1,1,1.3,3111.83,91.01,,1972,Myosin-11,stress fiber|muscle myosin complex|brush border|myosin complex|myofibril|smooth muscle contractile fiber|myosin filament|melanosome|extracellular exosome|,smooth muscle contraction|metabolic process|skeletal muscle myosin thick filament assembly|elastic fiber assembly|cardiac muscle fiber development|activation of mitophagy in response to mitochondrial depolarization|,motor activity|actin binding|calmodulin binding|ATP binding|structural constituent of muscle|,7,20,8620000000,2.4%
Q3UH59,0.689434001,-0.148666667,4.714099369,0.35,0.337745882,1.033263941,-0.064,0.226,-1.133,-0.151,0.188,0.042,Q3UH59,Myh10,Q3UH59_Myh10,Q3UH59,Myh10,1,311,182,113,Q3UH59|Q61879|Q5SV64|Q8BXF2,MOUSE,234472.2,65.7,1,1.4,2489.89,1586.46,,2013,Myosin-10,stress fiber|nucleus|cytoplasm|mitochondrion|cell cortex|actin cytoskeleton|myosin complex|myosin II complex|axon|growth cone|midbody|cleavage furrow|actomyosin|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|myosin II filament|spindle|plasma membrane|neuromuscular junction|,"mitotic cytokinesis|in utero embryonic development|neuron migration|plasma membrane repair|exocytosis|substrate-dependent cell migration, cell extension|nuclear migration|axonogenesis|axon guidance|brain development|adult heart development|metabolic process|cell proliferation|regulation of cell shape|fourth ventricle development|lateral ventricle development|third ventricle development|cerebellar Purkinje cell layer development|actin cytoskeleton organization|actin filament-based movement|myofibril assembly|actomyosin structure organization|neuron projection development|neuromuscular process controlling balance|cardiac myofibril assembly|ventricular cardiac muscle cell development|retina development in camera-type eye|",microfilament motor activity|protein binding|ATP binding|actin-dependent ATPase activity|ADP binding|actin filament binding|,113,311,1.15E+11,48.6%
Q6URW6,0.309308638,-0.031166667,12.55243799,0.372333333,0.055559228,2.318908872,-0.023,-0.071,-0.558,0.039,0.17,0.256,Q6URW6,Myh14,Q6URW6_Myh14,Q6URW6,Myh14,1,9,140,3,Q6URW6|K3W4R2,MOUSE,229494.5,56.5,1,1.5,1974.38,42.03,,2000,Myosin-14,stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|,skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|,microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|,3,9,695000000,1.0%
Q6URW6-2,0.200960775,-0.113666667,15.90693128,0.557333333,0.025662967,2.865260882,-0.142,-0.191,-0.844,0.086,0.171,0.238,Q6URW6,Myh14,Q6URW6-2_Myh14,Q6URW6-2,Myh14,1,6,139,2,Q6URW6-2|Q6URW6-3,MOUSE,228667.6,56.3,1,1.6,1954.93,22.58,,2000,Isoform 2 of Myosin-14,stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|,skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|,microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|,2,6,541000000,0.6%
Q8C196,0.895316777,-0.043666667,1.655896475,-0.097333333,0.682983721,-0.426911368,0.266,0.27,-0.521,-0.002,-0.011,-0.264,Q8C196,Cps1,Q8C196_Cps1,Q8C196,Cps1,1,3698,193,193,Q8C196,MOUSE,165813.2,88,2,2.1,3323.4,3323.4,,1500,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",nucleolus|cytoplasm|mitochondrion|mitochondrial inner membrane|mitochondrial nucleoid|protein complex|,urea cycle|glycogen catabolic process|'de novo' pyrimidine nucleobase biosynthetic process|proteolysis|arginine biosynthetic process|glutamine metabolic process|midgut development|response to toxic substance|response to zinc ion|response to amine|triglyceride catabolic process|response to food|response to lipopolysaccharide|response to drug|response to starvation|response to amino acid|cellular response to fibroblast growth factor stimulus|positive regulation of vasodilation|nitric oxide metabolic process|homocysteine metabolic process|anion homeostasis|response to growth hormone|hepatocyte differentiation|carbamoyl phosphate biosynthetic process|cellular response to cAMP|cellular response to glucagon stimulus|cellular response to oleic acid|response to dexamethasone|,carbamoyl-phosphate synthase (ammonia) activity|carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity|endopeptidase activity|calcium ion binding|protein binding|ATP binding|phospholipid binding|glutamate binding|protein complex binding|modified amino acid binding|,193,3698,1.12E+14,88.0%
Q9JHU4,0.520760306,-0.007,7.809480389,-0.145333333,0.165596808,-1.555947626,0.153,0.057,-0.013,0.021,-0.13,-0.13,Q9JHU4,Dync1h1,Q9JHU4_Dync1h1,Q9JHU4,Dync1h1,1,666,218,218,Q9JHU4,MOUSE,534774.4,51.4,3,3.1,3031.9,3031.9,,4644,Cytoplasmic dynein 1 heavy chain 1,cytoplasm|centrosome|cytoplasmic dynein complex|microtubule|membrane|filopodium|extracellular exosome|,cilium movement|transport|metabolic process|cytoplasmic mRNA processing body assembly|stress granule assembly|establishment of spindle localization|,microtubule motor activity|protein binding|ATP binding|ATPase activity|poly(A) RNA binding|dynein light intermediate chain binding|,218,666,5.37E+11,51.4%
Q9QXS1,0.218345207,-0.013666667,15.21590667,0.421333333,0.030089109,2.751007572,-0.276,0.02,-0.417,-0.028,0.327,0.292,Q9QXS1,Plec,Q9QXS1_Plec,Q9QXS1,Plec,1,575,232,227,Q9QXS1|Q9QXS1-2|Q9QXS1-8|Q9QXS1-7|Q9QXS1-6|Q9QXS1-14|Q9QXS1-4|Q9QXS1-16|Q9QXS1-5|Q9QXS1-3|Q9QXS1-13|Q9QXS1-11|Q9QXS1-12|Q9QXS1-9|Q9QXS1-10|Q9QXS1-15|E9Q3W4,MOUSE,536118,52.8,4,4.1,2963.28,2894.71,,4691,Plectin,cytoplasm|brush border|focal adhesion|hemidesmosome|sarcolemma|contractile fiber|intermediate filament cytoskeleton|extracellular exosome|,hemidesmosome assembly|,actin binding|protein binding|structural constituent of muscle|ankyrin binding|poly(A) RNA binding|,232,575,1.92E+11,53.0%
Q8R0W0,0.247122038,0.003333333,14.2856325,0.270666667,0.037276639,2.592620327,-0.241,-0.115,-0.04,-0.001,0.185,0.232,Q8R0W0,Eppk1,Q8R0W0_Eppk1,Q8R0W0,Eppk1,1,136,68,65,Q8R0W0|E9QPN6|Q3ULM0,MOUSE,727450.5,12.4,4,4.2,817.32,764.05,,6548,Epiplakin,cytoplasm|cytoskeleton|,,poly(A) RNA binding|,65,136,22900000000,12.1%
