"Amanda_newDatabase, 126:127, NoBirA_6:BirA/Cre_3","Amanda_newDatabase, 126:128, NoBirA_6:NoBirA_4","Amanda_newDatabase, 126:129, NoBirA_6:NoBirA_5","Amanda_newDatabase, 126:130, NoBirA_6:BirA/Cre_2","Amanda_newDatabase, 126:131, NoBirA_6:BirA/Cre_1","Amanda_newDatabase, 127:126, BirA/Cre_3:NoBirA_6","Amanda_newDatabase, 127:128, BirA/Cre_3:NoBirA_4","Amanda_newDatabase, 127:129, BirA/Cre_3:NoBirA_5","Amanda_newDatabase, 127:130, BirA/Cre_3:BirA/Cre_2","Amanda_newDatabase, 127:131, BirA/Cre_3:BirA/Cre_1","Amanda_newDatabase, 128:126, NoBirA_4:NoBirA_6","Amanda_newDatabase, 128:127, NoBirA_4:BirA/Cre_3","Amanda_newDatabase, 128:129, NoBirA_4:NoBirA_5","Amanda_newDatabase, 128:130, NoBirA_4:BirA/Cre_2","Amanda_newDatabase, 128:131, NoBirA_4:BirA/Cre_1","Amanda_newDatabase, 129:126, NoBirA_5:NoBirA_6","Amanda_newDatabase, 129:127, NoBirA_5:BirA/Cre_3","Amanda_newDatabase, 129:128, NoBirA_5:NoBirA_4","Amanda_newDatabase, 129:130, NoBirA_5:BirA/Cre_2","Amanda_newDatabase, 129:131, NoBirA_5:BirA/Cre_1","Amanda_newDatabase, 130:126, BirA/Cre_2:NoBirA_6","Amanda_newDatabase, 130:127, BirA/Cre_2:BirA/Cre_3","Amanda_newDatabase, 130:128, BirA/Cre_2:NoBirA_4","Amanda_newDatabase, 130:129, BirA/Cre_2:NoBirA_5","Amanda_newDatabase, 130:131, BirA/Cre_2:BirA/Cre_1","Amanda_newDatabase, 131:126, BirA/Cre_1:NoBirA_6","Amanda_newDatabase, 131:127, BirA/Cre_1:BirA/Cre_3","Amanda_newDatabase, 131:128, BirA/Cre_1:NoBirA_4","Amanda_newDatabase, 131:129, BirA/Cre_1:NoBirA_5","Amanda_newDatabase, 131:130, BirA/Cre_1:BirA/Cre_2",id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Amanda_newDatabase unique_peptides,Amanda_newDatabase numSpectra,Amanda_newDatabase totalIntensity,Amanda_newDatabase pct_cov
-5.382,0.307,1.18,-4.79,-5.074,5.382,5.432,6.135,0.615,0.315,-0.307,-5.432,-0.202,-4.749,-5.102,-1.18,-6.135,0.202,-5.437,-5.741,4.79,-0.615,4.749,5.437,-0.297,5.074,-0.315,5.102,5.741,0.297,E9Q414,E9Q414,Apob,1,1087,250,250,E9Q414,MOUSE,510791.9,51.4,1,1.1,3841.73,3841.73,,4505,Apolipoprotein B-100,extracellular region|cytoplasm|endoplasmic reticulum|Golgi apparatus|plasma membrane|vesicle membrane|actin cytoskeleton|vesicle lumen|mature chylomicron|very-low-density lipoprotein particle|low-density lipoprotein particle|intermediate-density lipoprotein particle|chylomicron|neuronal cell body|extracellular exosome|,in utero embryonic development|lipid metabolic process|triglyceride mobilization|spermatogenesis|nervous system development|cholesterol metabolic process|fertilization|response to virus|response to carbohydrate|post-embryonic development|response to selenium ion|positive regulation of gene expression|positive regulation of macrophage derived foam cell differentiation|positive regulation of lipid storage|positive regulation of cholesterol storage|lipid catabolic process|triglyceride catabolic process|cholesterol transport|sperm motility|response to lipopolysaccharide|cholesterol efflux|low-density lipoprotein particle remodeling|low-density lipoprotein particle clearance|lipoprotein metabolic process|lipoprotein biosynthetic process|lipoprotein catabolic process|cholesterol homeostasis|lipoprotein transport|regulation of cholesterol biosynthetic process|artery morphogenesis|cellular response to tumor necrosis factor|cellular response to prostaglandin stimulus|,phospholipid binding|heparin binding|cholesterol transporter activity|lipase binding|low-density lipoprotein particle receptor binding|,250,1087,1.13E+12,51.40%
-5.566,0.618,0.96,-4.958,-5.564,5.566,5.296,6.184,0.593,0,-0.618,-5.296,-0.122,-4.817,-5.332,-0.96,-6.184,0.122,-5.382,-6.022,4.958,-0.593,4.817,5.382,-0.583,5.564,0,5.332,6.022,0.583,P01027,P01027,C3,1,1123,179,156,P01027|P01027-2|Q2UVX4|G3X7A5,MOUSE,188021,88.2,2,2.1,2935.15,2624.27,,1663,Complement C3,extracellular space|extracellular exosome|blood microparticle|,"positive regulation of type IIa hypersensitivity|positive regulation of protein phosphorylation|positive regulation of activation of membrane attack complex|tolerance induction|fatty acid metabolic process|inflammatory response|complement activation|complement activation, alternative pathway|complement activation, classical pathway|blood coagulation|positive regulation of vascular endothelial growth factor production|positive regulation of glucose transport|regulation of triglyceride biosynthetic process|positive regulation of lipid storage|negative regulation of endopeptidase activity|response to magnesium ion|response to estradiol|response to progesterone|positive regulation of G-protein coupled receptor protein signaling pathway|positive regulation of angiogenesis|positive regulation of developmental growth|positive regulation of phagocytosis|response to glucocorticoid|positive regulation of ERK1 and ERK2 cascade|positive regulation of apoptotic cell clearance|",endopeptidase inhibitor activity|protein binding|lipid binding|C5L2 anaphylatoxin chemotactic receptor binding|cofactor binding|,180,1123,3.95E+12,88.20%
,,,,,,,,0.336,-0.03,,,,,,,,,,,,-0.336,,,-0.366,,0.03,,,0.366,A0A0F6QNP7,A0A0F6QNP7,C3,1,1,25,1,A0A0F6QNP7,BOVIN,188719.1,9.4,2,2.2,329.19,6.23,,1661,Complement component 3,,,,1,1,11900000,0.60%
-5.337,0.104,0.628,-4.879,-5.162,5.337,5.384,5.85,0.2,0.196,-0.104,-5.384,-0.114,-5.034,-5.175,-0.628,-5.85,0.114,-5.375,-5.616,4.879,-0.2,5.034,5.375,0.02,5.162,-0.196,5.175,5.616,-0.02,Q61838,Q61838,Pzp,1,2114,146,141,Q61838,MOUSE,167218.8,73.9,3,3.1,2637.49,2559.86,,1495,Pregnancy zone protein,extracellular region|extracellular space|,embryo implantation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|protein complex binding|,146,2114,9.17E+13,73.90%
-6.428,-2.386,-1.419,-2.933,-2.86,6.428,3.177,4.055,2.803,2.831,2.386,-3.177,2.313,0.045,-0.251,1.419,-4.055,-2.313,-1.66,-1.772,2.933,-2.803,-0.045,1.66,-0.179,2.86,-2.831,0.251,1.772,0.179,F1MI18,F1MI18,,1,5,9,4,F1MI18|F1MJK3,BOVIN,167182.2,6.9,3,3.2,102.8,25.17,,1478,Uncharacterized protein,,,,4,5,1.20E+08,3.90%
-2.815,2.351,2.972,-3.227,-1.225,2.815,5.189,5.053,-0.322,1.607,-2.351,-5.189,-0.356,-5.439,-3.66,-2.972,-5.053,0.356,-5.419,-3.592,3.227,0.322,5.439,5.419,1.916,1.225,-1.607,3.66,3.592,-1.916,A0A087WSN6,A0A087WSN6,Fn1,1,488,113,113,A0A087WSN6|B9EHT6|A0A087WR50|Q3UHL6|P11276|B7ZNJ1|A0A087WS56|Q4KL80,MOUSE,256658.4,59.1,4,4.1,1819.32,1819.32,,2296,Fibronectin,fibrinogen complex|proteinaceous extracellular matrix|basement membrane|basal lamina|extracellular space|endoplasmic reticulum-Golgi intermediate compartment|apical plasma membrane|extracellular matrix|extracellular exosome|blood microparticle|extracellular matrix|,"regulation of protein phosphorylation|cell-substrate junction assembly|cell adhesion|cell-matrix adhesion|calcium-independent cell-matrix adhesion|positive regulation of cell proliferation|positive regulation of gene expression|positive regulation of peptidase activity|peptide cross-linking|integrin activation|substrate adhesion-dependent cell spreading|endodermal cell differentiation|wound healing|positive regulation of axon extension|positive regulation of fibroblast proliferation|regulation of ERK1 and ERK2 cascade|positive regulation of substrate-dependent cell migration, cell attachment to substrate|negative regulation of transforming growth factor-beta secretion|",protease binding|integrin binding|protein binding|peptidase activator activity|,113,488,3.79E+11,59.10%
-5.707,0.169,1.092,-5.128,-5.136,5.707,5.633,6.557,0.608,0.545,-0.169,-5.633,-0.238,-5.059,-5.191,-1.092,-6.557,0.238,-5.85,-5.952,5.128,-0.608,5.059,5.85,-0.044,5.136,-0.545,5.191,5.952,0.044,P06684,P06684,C5,1,530,117,117,P06684|A0A0J9YUU3,MOUSE,190586.2,56.2,5,5.1,1757.91,1757.91,,1680,Complement C5,membrane attack complex|extracellular space|extracellular exosome|,"in utero embryonic development|inflammatory response|complement activation, alternative pathway|complement activation, classical pathway|positive regulation of vascular endothelial growth factor production|negative regulation of macrophage chemotaxis|negative regulation of endopeptidase activity|cytolysis|positive regulation of angiogenesis|positive regulation of chemokine secretion|activation of mitophagy in response to mitochondrial depolarization|",endopeptidase inhibitor activity|,117,530,7.19E+11,56.20%
-5.826,-0.053,0.648,-4.999,-5.27,5.826,5.572,6.08,0.678,0.486,0.053,-5.572,-0.124,-4.948,-5.169,-0.648,-6.08,0.124,-5.335,-5.531,4.999,-0.678,4.948,5.335,-0.194,5.27,-0.486,5.169,5.531,0.194,P28665,P28665,Mug1,1,702,103,50,P28665,MOUSE,166721,61.1,6,6.1,1699.07,904.45,,1476,Murinoglobulin-1,extracellular space|,embryo implantation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|,103,702,1.54E+12,61.10%
-4.357,-1.297,1.089,-4.62,-4.916,4.357,4.306,5.915,0.147,-0.14,1.297,-4.306,1.172,-3.562,-3.791,-1.089,-5.915,-1.172,-5.447,-5.675,4.62,-0.147,3.562,5.447,-0.229,4.916,0.14,3.791,5.675,0.229,P28666,P28666,Mug2,1,16,54,9,P28666,MOUSE,163805.4,34.1,6,6.2,783.79,109.44,,1451,Murinoglobulin-2,extracellular space|,negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|,9,16,3.64E+08,7.00%
-5.449,,1.362,-4.904,-4.829,5.449,,5.177,0.702,0.686,,,,,,-1.362,-5.177,,-4.553,-4.524,4.904,-0.702,,4.553,-0.016,4.829,-0.686,,4.524,0.016,A0A0N4SVU1,A0A0N4SVU1,Gm7298,1,3,36,1,A0A0N4SVU1,MOUSE,166767.7,23.6,6,6.3,505.96,8.37,,1476,Predicted gene 7298,,,,1,3,79800000,1.20%
-5.903,0.407,0.787,-5.314,-5.326,5.903,5.864,6.262,0.242,0.538,-0.407,-5.864,-0.184,-5.461,-5.396,-0.787,-6.262,0.184,-5.888,-5.675,5.314,-0.242,5.461,5.888,0.289,5.326,-0.538,5.396,5.675,-0.289,Q921I1,Q921I1,Tf,1,890,84,81,Q921I1|E9Q035|E9Q939|Q29443,MOUSE,78890.5,80.3,7,7.1,1538.39,1487.32,,697,Serotransferrin,extracellular space|endosome|early endosome|late endosome|coated pit|basal plasma membrane|cell surface|membrane|cytoplasmic membrane-bounded vesicle|apical plasma membrane|vesicle coat|endocytic vesicle|vesicle|basal part of cell|perinuclear region of cytoplasm|recycling endosome|extracellular exosome|blood microparticle|dense body|,"iron ion transport|cellular iron ion homeostasis|actin filament organization|activation of JUN kinase activity|ferric iron transport|osteoclast differentiation|positive regulation of phosphorylation|positive regulation of bone resorption|positive regulation of transcription, DNA-templated|SMAD protein signal transduction|ERK1 and ERK2 cascade|positive regulation of cell motility|",protein binding|ferric iron binding|ferric iron transmembrane transporter activity|,84,890,1.40E+13,80.30%
-4.68,-0.415,1.566,-3.897,-3.218,4.68,8.039,6.343,0.746,1.123,0.415,-8.039,-0.113,-7.194,-7.061,-1.566,-6.343,0.113,-5.803,-5.35,3.897,-0.746,7.194,5.803,0.453,3.218,-1.123,7.061,5.35,-0.453,Q2HJF0,Q2HJF0,LOC525947,1,10,8,5,Q2HJF0,BOVIN,70893.5,4.8,7,7.2,83.43,32.36,,622,Serotransferrin-like,,,,5,10,5.51E+09,1.40%
-5.331,0.764,0.986,-4.619,-5.092,5.331,5.096,5.313,0.617,0.22,-0.764,-5.096,-0.035,-4.474,-4.842,-0.986,-5.313,0.035,-4.622,-5.025,4.619,-0.617,4.474,4.622,-0.497,5.092,-0.22,4.842,5.025,0.497,P01029,P01029,C4b,1,519,105,105,P01029|E1BH06|P01030|F1MVK1,MOUSE,194566.4,57.5,8,8.1,1513.92,1513.92,,1738,Complement C4-B,extracellular space|,"inflammatory response|complement activation, classical pathway|negative regulation of endopeptidase activity|innate immune response|",endopeptidase inhibitor activity|,105,519,6.89E+11,57.50%
-5.218,0.469,1.117,-4.907,-5.503,5.218,5.545,6.118,0.245,-0.395,-0.469,-5.545,0.104,-5.379,-5.936,-1.117,-6.118,-0.104,-5.696,-6.367,4.907,-0.245,5.379,5.696,-0.627,5.503,0.395,5.936,6.367,0.627,E9Q8I0,E9Q8I0,Cfh,1,456,89,72,E9Q8I0|P06909|D6RGQ0|E9Q8H9|A0A0A6YVP8,MOUSE,145947.1,72.1,9,9.1,1469.82,1205.88,,1252,Complement factor H,extracellular exosome|blood microparticle|,regulation of complement activation|,complement component C3b binding|heparin binding|heparan sulfate proteoglycan binding|,89,456,1.34E+12,72.10%
-4.627,1.145,0.334,-4.14,-5.027,4.627,5.851,4.702,0.64,0,-1.145,-5.851,-1.941,-5.214,-5.741,-0.334,-4.702,1.941,-3.959,-4.534,4.14,-0.64,5.214,3.959,-0.628,5.027,0,5.741,4.534,0.628,E9Q8B5,E9Q8B5,Gm4788,1,11,49,4,E9Q8B5|E9Q8B6,MOUSE,102688.5,63.2,9,9.2,786.52,70.24,,879,Predicted gene 4788,,,,4,11,7.54E+09,6.80%
