id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,Ilia_newDatabase..126.126.127.128.129.130.131..NoBirA_6.multimedian,Ilia_newDatabase..128.126.127.128.129.130.131..NoBirA_4.multimedian,Ilia_newDatabase..129.126.127.128.129.130.131..NoBirA_5.multimedian,Ilia_newDatabase..127.126.127.128.129.130.131..BirA.Cre_3.multimedian,Ilia_newDatabase..130.126.127.128.129.130.131..BirA.Cre_2.multimedian,Ilia_newDatabase..131.126.127.128.129.130.131..BirA.Cre_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Ilia_newDatabase.unique_peptides,Ilia_newDatabase.numSpectra,Ilia_newDatabase.totalIntensity,Ilia_newDatabase.pct_cov
E9Q414,0.498295882,-0.09225,6.039408093,0.320833333,0.248919655,1.272334388,-0.402,-0.3345,-0.0215,0.198,-0.219,0.2255,E9Q414,Apob,E9Q414_Apob,E9Q414,Apob,1,1119,269,269,E9Q414,MOUSE,510791.9,54.2,1,1.1,4060.64,4060.64,,4505,Apolipoprotein B-100,extracellular region|cytoplasm|endoplasmic reticulum|Golgi apparatus|plasma membrane|vesicle membrane|actin cytoskeleton|vesicle lumen|mature chylomicron|very-low-density lipoprotein particle|low-density lipoprotein particle|intermediate-density lipoprotein particle|chylomicron|neuronal cell body|extracellular exosome|,in utero embryonic development|lipid metabolic process|triglyceride mobilization|spermatogenesis|nervous system development|cholesterol metabolic process|fertilization|response to virus|response to carbohydrate|post-embryonic development|response to selenium ion|positive regulation of gene expression|positive regulation of macrophage derived foam cell differentiation|positive regulation of lipid storage|positive regulation of cholesterol storage|lipid catabolic process|triglyceride catabolic process|cholesterol transport|sperm motility|response to lipopolysaccharide|cholesterol efflux|low-density lipoprotein particle remodeling|low-density lipoprotein particle clearance|lipoprotein metabolic process|lipoprotein biosynthetic process|lipoprotein catabolic process|cholesterol homeostasis|lipoprotein transport|regulation of cholesterol biosynthetic process|artery morphogenesis|cellular response to tumor necrosis factor|cellular response to prostaglandin stimulus|,phospholipid binding|heparin binding|cholesterol transporter activity|lipase binding|low-density lipoprotein particle receptor binding|,269,1119,1.61E+12,54.2%
P01027,0.482514848,-0.147583333,6.295757192,0.4435,0.234652011,1.316369666,-0.822,-0.4015,0.1155,-0.037,-0.195,0.4545,P01027,C3,P01027_C3,P01027,C3,1,998,175,152,P01027|P01027-2|Q2UVX4|G3X7A5,MOUSE,188021,86.1,2,2.1,2794.84,2491.05,,1663,Complement C3,extracellular space|extracellular exosome|blood microparticle|,"positive regulation of type IIa hypersensitivity|positive regulation of protein phosphorylation|positive regulation of activation of membrane attack complex|tolerance induction|fatty acid metabolic process|inflammatory response|complement activation|complement activation, alternative pathway|complement activation, classical pathway|blood coagulation|positive regulation of vascular endothelial growth factor production|positive regulation of glucose transport|regulation of triglyceride biosynthetic process|positive regulation of lipid storage|negative regulation of endopeptidase activity|response to magnesium ion|response to estradiol|response to progesterone|positive regulation of G-protein coupled receptor protein signaling pathway|positive regulation of angiogenesis|positive regulation of developmental growth|positive regulation of phagocytosis|response to glucocorticoid|positive regulation of ERK1 and ERK2 cascade|positive regulation of apoptotic cell clearance|",endopeptidase inhibitor activity|protein binding|lipid binding|C5L2 anaphylatoxin chemotactic receptor binding|cofactor binding|,175,998,2.94E+12,86.1%
A0A0F6QNP7,0.958652624,0.15975,0.333257836,-0.054333333,0.926134828,-0.098466055,,0.2005,,-0.007,-0.295,0.7405,A0A0F6QNP7,NotFound,A0A0F6QNP7_NotFound,A0A0F6QNP7,C3,1,1,26,1,A0A0F6QNP7,BOVIN,188719.1,10,2,2.2,325.65,7.96,,1661,Complement component 3,,,,1,1,5950000,0.6%
Q61838,0.751865777,-0.046916667,2.474131088,0.2095,0.565700928,0.606546436,-0.74,-0.1695,0.4545,-0.016,0.128,0.0615,Q61838,NotFound,Q61838_NotFound,Q61838,Pzp,1,1999,140,135,Q61838,MOUSE,167218.8,74.9,3,3.1,2582.97,2509.87,,1495,Pregnancy zone protein,extracellular region|extracellular space|,embryo implantation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|protein complex binding|,140,1999,9.92E+13,74.9%
F1MI18,0.542413314,1.02,5.269498721,-1.69625,0.297200905,-1.162192476,1.266,2.8095,,3.09,-0.969,-1.0965,F1MI18,NotFound,F1MI18_NotFound,F1MI18,,1,3,7,2,F1MI18|F1MJK3,BOVIN,167182.2,4.3,3,3.2,86.39,13.29,,1478,Uncharacterized protein,,,,2,3,128000000,1.3%
P06684,0.291629535,-0.217083333,11.1163474,0.4945,0.077333072,2.115357491,-0.685,-0.2705,-0.4375,0.164,-0.106,0.0325,P06684,Hc,P06684_Hc,P06684,C5,1,542,124,124,P06684|A0A0J9YUU3,MOUSE,190586.2,59.9,4,4.1,1830.66,1830.66,,1680,Complement C5,membrane attack complex|extracellular space|extracellular exosome|,"in utero embryonic development|inflammatory response|complement activation, alternative pathway|complement activation, classical pathway|positive regulation of vascular endothelial growth factor production|negative regulation of macrophage chemotaxis|negative regulation of endopeptidase activity|cytolysis|positive regulation of angiogenesis|positive regulation of chemokine secretion|activation of mitophagy in response to mitochondrial depolarization|",endopeptidase inhibitor activity|,124,542,1.08E+12,59.9%
A0A087WSN6,0.766944778,0.973083333,2.305690008,-0.417166667,0.588072674,-0.571817422,2.402,0.6875,0.4555,0.957,1.705,-0.3685,A0A087WSN6,Fn1,A0A087WSN6_Fn1,A0A087WSN6,Fn1,1,515,112,112,A0A087WSN6|B9EHT6|A0A087WR50|Q3UHL6|B7ZNJ1|P11276|A0A087WS56|Q4KL80,MOUSE,256658.4,53.6,5,5.1,1815.33,1815.33,,2296,Fibronectin,fibrinogen complex|proteinaceous extracellular matrix|basement membrane|basal lamina|extracellular space|endoplasmic reticulum-Golgi intermediate compartment|apical plasma membrane|extracellular matrix|extracellular exosome|blood microparticle|extracellular matrix|,"regulation of protein phosphorylation|cell-substrate junction assembly|cell adhesion|cell-matrix adhesion|calcium-independent cell-matrix adhesion|positive regulation of cell proliferation|positive regulation of gene expression|positive regulation of peptidase activity|peptide cross-linking|integrin activation|substrate adhesion-dependent cell spreading|endodermal cell differentiation|wound healing|positive regulation of axon extension|positive regulation of fibroblast proliferation|regulation of ERK1 and ERK2 cascade|positive regulation of substrate-dependent cell migration, cell attachment to substrate|negative regulation of transforming growth factor-beta secretion|",protease binding|integrin binding|protein binding|peptidase activator activity|,112,515,5.78E+11,53.6%
P28665,0.441723111,-0.145416667,7.497403512,0.4065,0.17793429,1.519376526,-0.768,-0.1275,-0.1505,0.163,0.015,-0.0045,P28665,Mug1,P28665_Mug1,P28665,Mug1,1,649,101,48,P28665,MOUSE,166721,61.1,6,6.1,1679.22,899.67,,1476,Murinoglobulin-1,extracellular space|,embryo implantation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|,101,649,1.59E+12,61.1%
P28666,0.495148757,-0.138083333,6.090782508,0.351166667,0.245992434,1.281184081,-0.386,-0.5705,0.0155,-0.148,-0.073,0.3335,P28666,Mug2,P28666_Mug2,P28666,Mug2,1,14,57,12,P28666,MOUSE,163805.4,35.8,6,6.2,809.55,142.03,,1451,Murinoglobulin-2,extracellular space|,negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|,12,14,1110000000,9.9%
A0A0N4SVU1,0.305538902,-0.3348,10.53829245,0.804083333,0.088342718,2.093983829,-1.318,-0.3165,,-0.12,-0.05,0.1305,A0A0N4SVU1,NotFound,A0A0N4SVU1_NotFound,A0A0N4SVU1,Gm7298,1,3,36,2,A0A0N4SVU1,MOUSE,166767.7,22.4,6,6.3,491.19,11.4,,1476,Predicted gene 7298,,,,2,3,20000000,1.2%
