Brain_Searched, 126:127, XBirA_2:No_BirA_6	Brain_Searched, 126:128, XBirA_2:No_BirA_5	Brain_Searched, 126:129, XBirA_2:XBirA_3	Brain_Searched, 126:130, XBirA_2:XBirA_1	Brain_Searched, 126:131, XBirA_2:No_BirA_4	Brain_Searched, 127:126, No_BirA_6:XBirA_2	Brain_Searched, 127:128, No_BirA_6:No_BirA_5	Brain_Searched, 127:129, No_BirA_6:XBirA_3	Brain_Searched, 127:130, No_BirA_6:XBirA_1	Brain_Searched, 127:131, No_BirA_6:No_BirA_4	Brain_Searched, 128:126, No_BirA_5:XBirA_2	Brain_Searched, 128:127, No_BirA_5:No_BirA_6	Brain_Searched, 128:129, No_BirA_5:XBirA_3	Brain_Searched, 128:130, No_BirA_5:XBirA_1	Brain_Searched, 128:131, No_BirA_5:No_BirA_4	Brain_Searched, 129:126, XBirA_3:XBirA_2	Brain_Searched, 129:127, XBirA_3:No_BirA_6	Brain_Searched, 129:128, XBirA_3:No_BirA_5	Brain_Searched, 129:130, XBirA_3:XBirA_1	Brain_Searched, 129:131, XBirA_3:No_BirA_4	Brain_Searched, 130:126, XBirA_1:XBirA_2	Brain_Searched, 130:127, XBirA_1:No_BirA_6	Brain_Searched, 130:128, XBirA_1:No_BirA_5	Brain_Searched, 130:129, XBirA_1:XBirA_3	Brain_Searched, 130:131, XBirA_1:No_BirA_4	Brain_Searched, 131:126, No_BirA_4:XBirA_2	Brain_Searched, 131:127, No_BirA_4:No_BirA_6	Brain_Searched, 131:128, No_BirA_4:No_BirA_5	Brain_Searched, 131:129, No_BirA_4:XBirA_3	Brain_Searched, 131:130, No_BirA_4:XBirA_1	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Brain_Searched unique_peptides	Brain_Searched numSpectra	Brain_Searched totalIntensity	Brain_Searched pct_cov
0.445	0.596	-0.022	0.191	0.119	-0.445	0.127	-0.495	-0.259	-0.332	-0.596	-0.127	-0.634	-0.405	-0.471	0.022	0.495	0.634	0.215	0.143	-0.191	0.259	0.405	-0.215	-0.076	-0.119	0.332	0.471	-0.143	0.076	Q9QXS1-8	Q9QXS1-8	Plec	1	2955	552	4	Q9QXS1-8|Q9QXS1-7|Q9QXS1-6|Q9QXS1|Q9QXS1-2|Q9QXS1-14|Q9QXS1-4|Q9QXS1-16|Q9QXS1-5|Q9QXS1-3|Q9QXS1-9|Q9QXS1-10|Q9QXS1-15|E9Q3W4	MOUSE	523729.2	83.2	1	1.1	8187.4	59.83		4691	Isoform PLEC-0,1C,2A,3A of Plectin	cytoplasm|brush border|focal adhesion|hemidesmosome|sarcolemma|contractile fiber|intermediate filament cytoskeleton|extracellular exosome|	hemidesmosome assembly|	actin binding|protein binding|structural constituent of muscle|ankyrin binding|poly(A) RNA binding|	552	2955	6.58e+12	83.5%
1.041	0.853	0.46	0.476	0.167	-1.041	-0.196	-0.589	-0.554	-0.879	-0.853	0.196	-0.378	-0.356	-0.667	-0.46	0.589	0.378	0.028	-0.265	-0.476	0.554	0.356	-0.028	-0.292	-0.167	0.879	0.667	0.265	0.292	A3KGU9	A3KGU9	Sptan1	1	3092	463	1	A3KGU9|P08032	MOUSE	288453.6	94.7	2	2.1	7347.66	7.88		2498	Spectrin alpha chain, non-erythrocytic 1	fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|		calcium ion binding|protein binding|spectrin binding|protein heterodimerization activity|	464	3092	1.28e+13	94.7%
1.224	0.885	0.396	0.489	0.107	-1.224	-0.35	-0.86	-0.766	-1.137	-0.885	0.35	-0.438	-0.376	-0.792	-0.396	0.86	0.438	0.1	-0.283	-0.489	0.766	0.376	-0.1	-0.375	-0.107	1.137	0.792	0.283	0.375	P16546	P16546	Sptan1	1	81	461	4	P16546	MOUSE	285391	94.9	2	2.2	7345.44	91.58		2472	Spectrin alpha chain, non-erythrocytic 1	fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|paranode region of axon|myelin sheath|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|	actin filament capping|	actin binding|calcium ion binding|protein binding|calmodulin binding|spectrin binding|protein heterodimerization activity|	4	81	5.01e+10	1.7%
1.18	0.928	0.48	0.545	0.238	-1.18	-0.233	-0.758	-0.627	-0.894	-0.928	0.233	-0.515	-0.374	-0.697	-0.48	0.758	0.515	0.051	-0.176	-0.545	0.627	0.374	-0.051	-0.298	-0.238	0.894	0.697	0.176	0.298	E9Q447	E9Q447	Sptan1	1	15	457	2	E9Q447	MOUSE	286196	94.6	2	2.3	7260.55	40.95		2478	Spectrin alpha chain, non-erythrocytic 1	fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|		calcium ion binding|protein binding|spectrin binding|protein heterodimerization activity|	2	15	2.75e+10	0.7%
0.844	0.567	0.185	0.09	0.313	-0.844	-0.304	-0.66	-0.762	-0.538	-0.567	0.304	-0.373	-0.461	-0.21	-0.185	0.66	0.373	-0.103	0.139	-0.09	0.762	0.461	0.103	0.197	-0.313	0.538	0.21	-0.139	-0.197	Q3UH59	Q3UH59	Myh10	1	3396	410	5	Q3UH59|Q61879|Q8BXF2|E9Q264	MOUSE	234472.2	87.3	3	3.1	6447.05	84.75		2013	Myosin-10	stress fiber|nucleus|cytoplasm|mitochondrion|cell cortex|actin cytoskeleton|myosin complex|myosin II complex|axon|growth cone|midbody|cleavage furrow|actomyosin|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|myosin II filament|spindle|plasma membrane|neuromuscular junction|	mitotic cytokinesis|in utero embryonic development|neuron migration|plasma membrane repair|exocytosis|substrate-dependent cell migration, cell extension|nuclear migration|axonogenesis|axon guidance|brain development|adult heart development|metabolic process|cell proliferation|regulation of cell shape|fourth ventricle development|lateral ventricle development|third ventricle development|cerebellar Purkinje cell layer development|actin cytoskeleton organization|actin filament-based movement|myofibril assembly|actomyosin structure organization|neuron projection development|neuromuscular process controlling balance|cardiac myofibril assembly|ventricular cardiac muscle cell development|retina development in camera-type eye|	microfilament motor activity|protein binding|ATP binding|actin-dependent ATPase activity|ADP binding|actin filament binding|	411	3396	2.66e+13	87.3%
0.82	0.716	0.242	0.111	0.355	-0.82	-0.157	-0.527	-0.699	-0.548	-0.716	0.157	-0.452	-0.624	-0.217	-0.242	0.527	0.452	-0.23	0.127	-0.111	0.699	0.624	0.23	0.193	-0.355	0.548	0.217	-0.127	-0.193	Q5SV64	Q5SV64	Myh10	1	40	409	5	Q5SV64	MOUSE	233437.7	89	3	3.2	6434.61	88.9		2007	Myosin-10	stress fiber|nucleus|cytoplasm|mitochondrion|cell cortex|actin cytoskeleton|myosin complex|myosin II complex|axon|growth cone|midbody|cleavage furrow|actomyosin|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|myosin II filament|spindle|plasma membrane|neuromuscular junction|	mitotic cytokinesis|in utero embryonic development|neuron migration|plasma membrane repair|exocytosis|substrate-dependent cell migration, cell extension|nuclear migration|axonogenesis|axon guidance|brain development|adult heart development|metabolic process|cell proliferation|regulation of cell shape|fourth ventricle development|lateral ventricle development|third ventricle development|cerebellar Purkinje cell layer development|actin cytoskeleton organization|actin filament-based movement|myofibril assembly|actomyosin structure organization|neuron projection development|neuromuscular process controlling balance|cardiac myofibril assembly|ventricular cardiac muscle cell development|retina development in camera-type eye|	microfilament motor activity|protein binding|ATP binding|actin-dependent ATPase activity|ADP binding|actin filament binding|	5	40	2.96e+11	3.6%
0.843	0.661	0.349	0.227	0.421	-0.843	-0.192	-0.474	-0.598	-0.427	-0.661	0.192	-0.302	-0.427	-0.232	-0.349	0.474	0.302	-0.122	0.059	-0.227	0.598	0.427	0.122	0.174	-0.421	0.427	0.232	-0.059	-0.174	Q8VDD5	Q8VDD5	Myh9	1	1851	338	268	Q8VDD5|F2Z494	MOUSE	227566.2	84.8	3	3.3	5250.34	4245.82		1960	Myosin-9	stress fiber|ruffle|uropod|nucleus|cytoplasm|actomyosin contractile ring|cytosol|plasma membrane|brush border|cell-cell adherens junction|cell cortex|actin cytoskeleton|membrane|myosin complex|myosin II complex|cortical cytoskeleton|cell leading edge|cleavage furrow|actomyosin|protein complex|extracellular exosome|myosin II filament|immunological synapse|spindle|plasma membrane|focal adhesion|COP9 signalosome|integrin complex|neuromuscular junction|	meiotic spindle organization|cell morphogenesis involved in differentiation|cytokinesis|angiogenesis|in utero embryonic development|establishment of T cell polarity|membrane protein ectodomain proteolysis|phagocytosis, engulfment|cell adhesion|myoblast fusion|regulation of cell shape|protein transport|single organismal cell-cell adhesion|actin filament-based movement|platelet formation|monocyte differentiation|actomyosin structure organization|actin cytoskeleton reorganization|uropod organization|blood vessel endothelial cell migration|establishment of meiotic spindle localization|platelet aggregation|negative regulation of actin filament severing|positive regulation of protein processing in phagocytic vesicle|actin filament polymerization|actin filament capping|	microfilament motor activity|actin binding|protein binding|calmodulin binding|ATP binding|ATPase activity|protein domain specific binding|actin-dependent ATPase activity|protein homodimerization activity|protein anchor|ADP binding|poly(A) RNA binding|actin filament binding|	268	1851	5.74e+12	73.2%
0.327	0.3	0.31	0.776	0.515	-0.327	-0.007	0.069	0.547	0.067	-0.3	0.007	0.018	0.547	0.143	-0.31	-0.069	-0.018	0.44	0.16	-0.776	-0.547	-0.547	-0.44	-0.278	-0.515	-0.067	-0.143	-0.16	0.278	E9QPE7	E9QPE7	Myh11	1	48	238	15	E9QPE7	MOUSE	224209.2	76.7	3	3.4	3471.77	232.68		1938	Myosin-11	myosin complex|extracellular exosome|	metabolic process|elastic fiber assembly|cardiac muscle fiber development|regulation of mitochondrion degradation|	motor activity|actin binding|ATP binding|structural constituent of muscle|	15	48	4.93e+10	5.7%
0.634	0.516	0.288	0.504	0.366	-0.634	-0.228	-0.321	-0.09	0.002	-0.516	0.228	-0.206	-0.014	-0.047	-0.288	0.321	0.206	0.043	0.096	-0.504	0.09	0.014	-0.043	-0.076	-0.366	-0.002	0.047	-0.096	0.076	O08638	O08638	Myh11	1	14	223	6	O08638	MOUSE	227879.9	73.2	3	3.5	3200.65	82.77		1972	Myosin-11	stress fiber|muscle myosin complex|brush border|myosin complex|myofibril|smooth muscle contractile fiber|myosin filament|melanosome|extracellular exosome|	smooth muscle contraction|metabolic process|skeletal muscle myosin thick filament assembly|elastic fiber assembly|cardiac muscle fiber development|activation of mitophagy in response to mitochondrial depolarization|	motor activity|actin binding|calmodulin binding|ATP binding|structural constituent of muscle|	6	14	5.78e+09	2.4%
0.431	0.564	0.432	0.235	0.222	-0.431	-0.023	-0.002	-0.138	-0.295	-0.564	0.023	-0.059	-0.254	-0.301	-0.432	0.002	0.059	-0.115	-0.161	-0.235	0.138	0.254	0.115	0.045	-0.222	0.295	0.301	0.161	-0.045	Q6URW6-3	Q6URW6-3	Myh14	1	20	193	6	Q6URW6-3	MOUSE	232587.9	72.4	3	3.6	2948.81	99.52		2000	Isoform 3 of Myosin-14	stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|	skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|	microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|	6	20	5.51e+09	4.1%
