id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,PlexesSearchedTogether_correct..126.126.127.128.129.130.131..NoBirA_6Combo.multimedian,PlexesSearchedTogether_correct..128.126.127.128.129.130.131..NoBirA_4Combo.multimedian,PlexesSearchedTogether_correct..129.126.127.128.129.130.131..NoBirA_5Combo.multimedian,PlexesSearchedTogether_correct..127.126.127.128.129.130.131..BirA.Cre_3Combo.multimedian,PlexesSearchedTogether_correct..130.126.127.128.129.130.131..BirA.Cre_2Combo.multimedian,PlexesSearchedTogether_correct..131.126.127.128.129.130.131..BirA.Cre_1Combo.multimedian,id.query,id.mapped,id.concat,id.1,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,PlexesSearchedTogether_correct.unique_peptides,PlexesSearchedTogether_correct.numSpectra,PlexesSearchedTogether_correct.totalIntensity,PlexesSearchedTogether_correct.pct_cov
E9Q414,0.531980433,-0.062,5.161324023,0.313333333,0.304696593,1.121341665,-0.526,-0.302,0.172,0.212,-0.136,0.208,E9Q414,Apob,E9Q414_Apob,E9Q414,Apob,1,2206,277,277,E9Q414,MOUSE,510791.9,55.2,1,1.1,4364.47,4364.47,,4505,Apolipoprotein B-100,extracellular region|cytoplasm|endoplasmic reticulum|Golgi apparatus|plasma membrane|vesicle membrane|actin cytoskeleton|vesicle lumen|mature chylomicron|very-low-density lipoprotein particle|low-density lipoprotein particle|intermediate-density lipoprotein particle|chylomicron|neuronal cell body|extracellular exosome|,in utero embryonic development|lipid metabolic process|triglyceride mobilization|spermatogenesis|nervous system development|cholesterol metabolic process|fertilization|response to virus|response to carbohydrate|post-embryonic development|response to selenium ion|positive regulation of gene expression|positive regulation of macrophage derived foam cell differentiation|positive regulation of lipid storage|positive regulation of cholesterol storage|lipid catabolic process|triglyceride catabolic process|cholesterol transport|sperm motility|response to lipopolysaccharide|cholesterol efflux|low-density lipoprotein particle remodeling|low-density lipoprotein particle clearance|lipoprotein metabolic process|lipoprotein biosynthetic process|lipoprotein catabolic process|cholesterol homeostasis|lipoprotein transport|regulation of cholesterol biosynthetic process|artery morphogenesis|cellular response to tumor necrosis factor|cellular response to prostaglandin stimulus|,phospholipid binding|heparin binding|cholesterol transporter activity|lipase binding|low-density lipoprotein particle receptor binding|,277,2206,2.74E+12,55.2%
P01027,0.372901545,-0.105333333,7.918560407,0.529333333,0.161489377,1.595536418,-0.858,-0.324,0.072,0.118,-0.125,0.485,P01027,C3,P01027_C3,P01027,C3,1,2121,185,162,P01027|P01027-2|Q2UVX4|G3X7A5,MOUSE,188021,90.3,2,2.1,3125.9,2801.99,,1663,Complement C3,extracellular space|extracellular exosome|blood microparticle|,"positive regulation of type IIa hypersensitivity|positive regulation of protein phosphorylation|positive regulation of activation of membrane attack complex|tolerance induction|fatty acid metabolic process|inflammatory response|complement activation|complement activation, alternative pathway|complement activation, classical pathway|blood coagulation|positive regulation of vascular endothelial growth factor production|positive regulation of glucose transport|regulation of triglyceride biosynthetic process|positive regulation of lipid storage|negative regulation of endopeptidase activity|response to magnesium ion|response to estradiol|response to progesterone|positive regulation of G-protein coupled receptor protein signaling pathway|positive regulation of angiogenesis|positive regulation of developmental growth|positive regulation of phagocytosis|response to glucocorticoid|positive regulation of ERK1 and ERK2 cascade|positive regulation of apoptotic cell clearance|",endopeptidase inhibitor activity|protein binding|lipid binding|C5L2 anaphylatoxin chemotactic receptor binding|cofactor binding|,186,2121,6.9E+12,90.3%
A0A0F6QNP7,0.432253305,-0.04525,6.758067261,0.678333333,0.210956676,1.487131797,,-0.554,,-0.004,-0.153,0.53,A0A0F6QNP7,NotFound,A0A0F6QNP7_NotFound,A0A0F6QNP7,C3,1,2,26,1,A0A0F6QNP7,BOVIN,188719.1,10,2,2.2,348.51,7.96,,1661,Complement component 3,,,,1,2,17800000,0.6%
Q61838,0.595170996,-0.0925,4.166197729,0.314333333,0.383160055,0.940454316,-0.842,-0.182,0.275,-0.008,0.118,0.084,Q61838,NotFound,Q61838_NotFound,Q61838,Pzp,1,4113,148,143,Q61838,MOUSE,167218.8,75.7,3,3.1,2782.24,2702.38,,1495,Pregnancy zone protein,extracellular region|extracellular space|,embryo implantation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|protein complex binding|,148,4113,1.91E+14,75.7%
F1MI18,0.565439223,0.902666667,4.711134244,-1.098,0.337976556,-1.041679903,1.141,2.538,0.676,2.615,-0.881,-0.673,F1MI18,NotFound,F1MI18_NotFound,F1MI18,,1,8,9,4,F1MI18|F1MJK3,BOVIN,167182.2,6.9,3,3.2,108.18,28.32,,1478,Uncharacterized protein,,,,4,8,248000000,3.9%
A0A087WSN6,0.83268412,0.827666667,1.555776165,-0.319333333,0.698911817,-0.406015995,2.428,0.509,0.025,0.85,1.549,-0.395,A0A087WSN6,Fn1,A0A087WSN6_Fn1,A0A087WSN6,Fn1,1,1003,120,120,A0A087WSN6|B9EHT6|A0A087WR50|Q3UHL6|P11276|B7ZNJ1|A0A087WS56|Q4KL80,MOUSE,256658.4,60.7,4,4.1,1990.99,1990.99,,2296,Fibronectin,fibrinogen complex|proteinaceous extracellular matrix|basement membrane|basal lamina|extracellular space|endoplasmic reticulum-Golgi intermediate compartment|apical plasma membrane|extracellular matrix|extracellular exosome|blood microparticle|extracellular matrix|,"regulation of protein phosphorylation|cell-substrate junction assembly|cell adhesion|cell-matrix adhesion|calcium-independent cell-matrix adhesion|positive regulation of cell proliferation|positive regulation of gene expression|positive regulation of peptidase activity|peptide cross-linking|integrin activation|substrate adhesion-dependent cell spreading|endodermal cell differentiation|wound healing|positive regulation of axon extension|positive regulation of fibroblast proliferation|regulation of ERK1 and ERK2 cascade|positive regulation of substrate-dependent cell migration, cell attachment to substrate|negative regulation of transforming growth factor-beta secretion|",protease binding|integrin binding|protein binding|peptidase activator activity|,120,1003,9.56E+11,60.7%
P06684,0.267456564,-0.200333333,11.10540555,0.536,0.077528154,2.123779787,-0.77,-0.203,-0.432,0.227,-0.048,0.024,P06684,Hc,P06684_Hc,P06684,C5,1,1072,131,131,P06684|A0A0J9YUU3,MOUSE,190586.2,61,5,5.1,1982.7,1982.7,,1680,Complement C5,membrane attack complex|extracellular space|extracellular exosome|,"in utero embryonic development|inflammatory response|complement activation, alternative pathway|complement activation, classical pathway|positive regulation of vascular endothelial growth factor production|negative regulation of macrophage chemotaxis|negative regulation of endopeptidase activity|cytolysis|positive regulation of angiogenesis|positive regulation of chemokine secretion|activation of mitophagy in response to mitochondrial depolarization|",endopeptidase inhibitor activity|,131,1072,1.8E+12,61.0%
P28665,0.572853107,-0.083166667,4.566186037,0.331666667,0.349447064,1.01423557,-0.842,-0.048,0.143,0.259,-0.048,0.037,P28665,Mug1,P28665_Mug1,P28665,Mug1,1,1351,108,52,P28665,MOUSE,166721,62.1,6,6.1,1825.68,971.3,,1476,Murinoglobulin-1,extracellular space|,embryo implantation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|,108,1351,3.13E+12,62.1%
P28666,0.564806326,-0.0865,4.752704163,0.289,0.334756936,1.047904916,-0.115,-0.586,0.008,-0.141,-0.015,0.33,P28666,Mug2,P28666_Mug2,P28666,Mug2,1,30,63,15,P28666,MOUSE,163805.4,39.2,6,6.2,912.37,179.67,,1451,Murinoglobulin-2,extracellular space|,negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|,15,30,1470000000,11.5%
A0A0N4SVU1,0.402360978,-0.148833333,7.305868021,0.481666667,0.185957285,1.492518344,-0.964,-0.235,0.03,0.253,-0.02,0.043,A0A0N4SVU1,NotFound,A0A0N4SVU1_NotFound,A0A0N4SVU1,Gm7298,1,6,40,2,A0A0N4SVU1,MOUSE,166767.7,24.3,6,6.3,566.2,14.9,,1476,Predicted gene 7298,,,,2,6,99800000,1.2%
