id,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Brain_Searched..127.126.127.128.129.130.131..No_BirA_6.multimedian,Brain_Searched..128.126.127.128.129.130.131..No_BirA_5.multimedian,Brain_Searched..131.126.127.128.129.130.131..No_BirA_4.multimedian,Brain_Searched..126.126.127.128.129.130.131..XBirA_2.multimedian,Brain_Searched..129.126.127.128.129.130.131..XBirA_3.multimedian,Brain_Searched..130.126.127.128.129.130.131..XBirA_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Brain_Searched.unique_peptides,Brain_Searched.numSpectra,Brain_Searched.totalIntensity,Brain_Searched.pct_cov
Q9QXS1-8,0.159425264,0.110333333,15.30624878,-0.398,0.02946966,-2.670830752,0.62,0.276,0.032,-0.09,0.003,-0.179,Q9QXS1,Plec,Q9QXS1-8_Plec,Q9QXS1-8,Plec,1,2955,552,4,Q9QXS1-8|Q9QXS1-7|Q9QXS1-6|Q9QXS1|Q9QXS1-2|Q9QXS1-14|Q9QXS1-4|Q9QXS1-16|Q9QXS1-5|Q9QXS1-3|Q9QXS1-9|Q9QXS1-10|Q9QXS1-15|E9Q3W4,MOUSE,523729.2,83.2,1,1.1,8187.4,59.83,,4691,"Isoform PLEC-0,1C,2A,3A of Plectin",cytoplasm|brush border|focal adhesion|hemidesmosome|sarcolemma|contractile fiber|intermediate filament cytoskeleton|extracellular exosome|,hemidesmosome assembly|,actin binding|protein binding|structural constituent of muscle|ankyrin binding|poly(A) RNA binding|,552,2955,6.58E+12,83.5%
A3KGU9,0.126478576,0.156166667,16.70706319,-0.338333333,0.021344878,-2.884666569,0.368,0.321,0.287,0.233,-0.132,-0.14,A3KGU9,Sptan1,A3KGU9_Sptan1,A3KGU9,Sptan1,1,3092,463,1,A3KGU9|P08032,MOUSE,288453.6,94.7,2,2.1,7347.66,7.88,,2498,"Spectrin alpha chain, non-erythrocytic 1",fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|,,calcium ion binding|protein binding|spectrin binding|protein heterodimerization activity|,464,3092,1.28E+13,94.7%
P16546,0.259752465,0.107166667,12.06240154,-0.259666667,0.062195626,-2.181927512,0.127,0.242,0.342,0.198,-0.097,-0.169,P16546,NotFound,P16546_NotFound,P16546,Sptan1,1,81,461,4,P16546,MOUSE,285391,94.9,2,2.2,7345.44,91.58,,2472,"Spectrin alpha chain, non-erythrocytic 1",fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|paranode region of axon|myelin sheath|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|,actin filament capping|,actin binding|calcium ion binding|protein binding|calmodulin binding|spectrin binding|protein heterodimerization activity|,4,81,50100000000,1.7%
E9Q447,0.319219339,0.1115,10.56682053,-0.243,0.087764311,-1.956524801,0.226,0.235,0.238,0.263,-0.12,-0.173,E9Q447,NotFound,E9Q447_NotFound,E9Q447,Sptan1,1,15,457,2,E9Q447,MOUSE,286196,94.6,2,2.3,7260.55,40.95,,2478,"Spectrin alpha chain, non-erythrocytic 1",fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|,,calcium ion binding|protein binding|spectrin binding|protein heterodimerization activity|,2,15,27500000000,0.7%
Q3UH59,0.312321791,0.131,10.69085578,-0.254666667,0.085293203,-1.975283218,0.36,0.437,-0.022,0.042,-0.06,0.029,Q3UH59,Myh10,Q3UH59_Myh10,Q3UH59,Myh10,1,3396,410,5,Q3UH59|Q61879|Q8BXF2|E9Q264,MOUSE,234472.2,87.3,3,3.1,6447.05,84.75,,2013,Myosin-10,stress fiber|nucleus|cytoplasm|mitochondrion|cell cortex|actin cytoskeleton|myosin complex|myosin II complex|axon|growth cone|midbody|cleavage furrow|actomyosin|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|myosin II filament|spindle|plasma membrane|neuromuscular junction|,"mitotic cytokinesis|in utero embryonic development|neuron migration|plasma membrane repair|exocytosis|substrate-dependent cell migration, cell extension|nuclear migration|axonogenesis|axon guidance|brain development|adult heart development|metabolic process|cell proliferation|regulation of cell shape|fourth ventricle development|lateral ventricle development|third ventricle development|cerebellar Purkinje cell layer development|actin cytoskeleton organization|actin filament-based movement|myofibril assembly|actomyosin structure organization|neuron projection development|neuromuscular process controlling balance|cardiac myofibril assembly|ventricular cardiac muscle cell development|retina development in camera-type eye|",microfilament motor activity|protein binding|ATP binding|actin-dependent ATPase activity|ADP binding|actin filament binding|,411,3396,2.66E+13,87.3%
Q5SV64,0.329565192,0.101,10.30749317,-0.257333333,0.093164548,-1.917250252,0.434,0.288,-0.033,0.05,-0.166,0.033,Q5SV64,Myh10,Q5SV64_Myh10,Q5SV64,Myh10,1,40,409,5,Q5SV64,MOUSE,233437.7,89,3,3.2,6434.61,88.9,,2007,Myosin-10,stress fiber|nucleus|cytoplasm|mitochondrion|cell cortex|actin cytoskeleton|myosin complex|myosin II complex|axon|growth cone|midbody|cleavage furrow|actomyosin|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|myosin II filament|spindle|plasma membrane|neuromuscular junction|,"mitotic cytokinesis|in utero embryonic development|neuron migration|plasma membrane repair|exocytosis|substrate-dependent cell migration, cell extension|nuclear migration|axonogenesis|axon guidance|brain development|adult heart development|metabolic process|cell proliferation|regulation of cell shape|fourth ventricle development|lateral ventricle development|third ventricle development|cerebellar Purkinje cell layer development|actin cytoskeleton organization|actin filament-based movement|myofibril assembly|actomyosin structure organization|neuron projection development|neuromuscular process controlling balance|cardiac myofibril assembly|ventricular cardiac muscle cell development|retina development in camera-type eye|",microfilament motor activity|protein binding|ATP binding|actin-dependent ATPase activity|ADP binding|actin filament binding|,5,40,2.96E+11,3.6%
Q8VDD5,0.31090649,0.1665,10.74658327,-0.297,0.084205735,-1.983706035,0.493,0.46,-0.008,0.155,-0.115,0.014,Q8VDD5,Myh9,Q8VDD5_Myh9,Q8VDD5,Myh9,1,1851,338,268,Q8VDD5|F2Z494,MOUSE,227566.2,84.8,3,3.3,5250.34,4245.82,,1960,Myosin-9,stress fiber|ruffle|uropod|nucleus|cytoplasm|actomyosin contractile ring|cytosol|plasma membrane|brush border|cell-cell adherens junction|cell cortex|actin cytoskeleton|membrane|myosin complex|myosin II complex|cortical cytoskeleton|cell leading edge|cleavage furrow|actomyosin|protein complex|extracellular exosome|myosin II filament|immunological synapse|spindle|plasma membrane|focal adhesion|COP9 signalosome|integrin complex|neuromuscular junction|,"meiotic spindle organization|cell morphogenesis involved in differentiation|cytokinesis|angiogenesis|in utero embryonic development|establishment of T cell polarity|membrane protein ectodomain proteolysis|phagocytosis, engulfment|cell adhesion|myoblast fusion|regulation of cell shape|protein transport|single organismal cell-cell adhesion|actin filament-based movement|platelet formation|monocyte differentiation|actomyosin structure organization|actin cytoskeleton reorganization|uropod organization|blood vessel endothelial cell migration|establishment of meiotic spindle localization|platelet aggregation|negative regulation of actin filament severing|positive regulation of protein processing in phagocytic vesicle|actin filament polymerization|actin filament capping|",microfilament motor activity|actin binding|protein binding|calmodulin binding|ATP binding|ATPase activity|protein domain specific binding|actin-dependent ATPase activity|protein homodimerization activity|protein anchor|ADP binding|poly(A) RNA binding|actin filament binding|,268,1851,5.74E+12,73.2%
E9QPE7,0.139895109,0.123166667,16.09222098,-0.754333333,0.024591097,-2.805479661,0.905,0.684,-0.088,0.044,-0.211,-0.595,E9QPE7,Myh11,E9QPE7_Myh11,E9QPE7,Myh11,1,48,238,15,E9QPE7,MOUSE,224209.2,76.7,3,3.4,3471.77,232.68,,1938,Myosin-11,myosin complex|extracellular exosome|,metabolic process|elastic fiber assembly|cardiac muscle fiber development|regulation of mitochondrion degradation|,motor activity|actin binding|ATP binding|structural constituent of muscle|,15,48,49300000000,5.7%
O08638,0.152549346,0.152,15.59500274,-0.524666667,0.027573997,-2.728746688,0.706,0.578,-0.041,0.039,-0.158,-0.212,O08638,NotFound,O08638_NotFound,O08638,Myh11,1,14,223,6,O08638,MOUSE,227879.9,73.2,3,3.5,3200.65,82.77,,1972,Myosin-11,stress fiber|muscle myosin complex|brush border|myosin complex|myofibril|smooth muscle contractile fiber|myosin filament|melanosome|extracellular exosome|,smooth muscle contraction|metabolic process|skeletal muscle myosin thick filament assembly|elastic fiber assembly|cardiac muscle fiber development|activation of mitophagy in response to mitochondrial depolarization|,motor activity|actin binding|calmodulin binding|ATP binding|structural constituent of muscle|,6,14,5780000000,2.4%
Q6URW6-3,0.107206418,0.143166667,17.7240365,-0.535,0.016888705,-3.056614576,0.736,0.414,0.082,0.047,-0.324,-0.096,Q6URW6,Myh14,Q6URW6-3_Myh14,Q6URW6-3,Myh14,1,20,193,6,Q6URW6-3,MOUSE,232587.9,72.4,3,3.6,2948.81,99.52,,2000,Isoform 3 of Myosin-14,stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|,skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|,microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|,6,20,5510000000,4.1%
