id,adj.P.Val.XBirA.over.No_BirA,AveExpr.XBirA.over.No_BirA,Log.P.Value.XBirA.over.No_BirA,logFC.XBirA.over.No_BirA,P.Value.XBirA.over.No_BirA,t.XBirA.over.No_BirA,Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian,Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian,Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian,Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian,Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian,Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian,id.query,id.mapped,id.concat,id.1,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Proteome.unique_peptides,Proteome.numSpectra,Proteome.totalIntensity,Proteome.pct_cov
Q8VDD5,0.001467873,-0.297333333,34.74618125,1.539666667,0.00033526,6.750718568,-1.1785,-1.489,-0.534,0.361,0.513,0.5435,Q8VDD5,Myh9,Q8VDD5_Myh9,Q8VDD5,Myh9,1,1767,290,234,Q8VDD5|F2Z494|Q02566|A2AQP0|P13541|P13542|E9Q264,MOUSE,227566.2,79.3,1,1.1,4186.95,3444.79,,1960,Myosin-9,stress fiber|ruffle|uropod|nucleus|cytoplasm|actomyosin contractile ring|cytosol|plasma membrane|brush border|cell-cell adherens junction|cell cortex|actin cytoskeleton|membrane|myosin complex|myosin II complex|cortical cytoskeleton|cell leading edge|cleavage furrow|actomyosin|protein complex|extracellular exosome|myosin II filament|immunological synapse|spindle|plasma membrane|focal adhesion|COP9 signalosome|integrin complex|neuromuscular junction|,"meiotic spindle organization|cell morphogenesis involved in differentiation|cytokinesis|angiogenesis|in utero embryonic development|establishment of T cell polarity|membrane protein ectodomain proteolysis|phagocytosis, engulfment|cell adhesion|myoblast fusion|regulation of cell shape|protein transport|single organismal cell-cell adhesion|actin filament-based movement|platelet formation|monocyte differentiation|actomyosin structure organization|actin cytoskeleton reorganization|uropod organization|blood vessel endothelial cell migration|establishment of meiotic spindle localization|platelet aggregation|negative regulation of actin filament severing|positive regulation of protein processing in phagocytic vesicle|actin filament polymerization|actin filament capping|",microfilament motor activity|actin binding|protein binding|calmodulin binding|ATP binding|ATPase activity|protein domain specific binding|actin-dependent ATPase activity|protein homodimerization activity|protein anchor|ADP binding|poly(A) RNA binding|actin filament binding|,291,1767,1.17E+13,79.3%
Q3UH59,0.000824395,-0.259666667,37.59933536,1.549,0.000173807,7.538166528,-1.0275,-1.468,-0.607,0.387,0.556,0.6015,Q3UH59,Myh10,Q3UH59_Myh10,Q3UH59,Myh10,1,592,213,157,Q3UH59|Q61879|Q5SV64|Q8BXF2,MOUSE,234472.2,69.1,1,1.2,2936.96,2220.49,,2013,Myosin-10,stress fiber|nucleus|cytoplasm|mitochondrion|cell cortex|actin cytoskeleton|myosin complex|myosin II complex|axon|growth cone|midbody|cleavage furrow|actomyosin|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|myosin II filament|spindle|plasma membrane|neuromuscular junction|,"mitotic cytokinesis|in utero embryonic development|neuron migration|plasma membrane repair|exocytosis|substrate-dependent cell migration, cell extension|nuclear migration|axonogenesis|axon guidance|brain development|adult heart development|metabolic process|cell proliferation|regulation of cell shape|fourth ventricle development|lateral ventricle development|third ventricle development|cerebellar Purkinje cell layer development|actin cytoskeleton organization|actin filament-based movement|myofibril assembly|actomyosin structure organization|neuron projection development|neuromuscular process controlling balance|cardiac myofibril assembly|ventricular cardiac muscle cell development|retina development in camera-type eye|",microfilament motor activity|protein binding|ATP binding|actin-dependent ATPase activity|ADP binding|actin filament binding|,157,592,1.32E+12,57.4%
E9QPE7,0.029503854,-0.0875,19.22406864,0.903333333,0.011956199,3.428981761,-0.6755,-0.88,-0.062,-0.023,0.757,0.3585,E9QPE7,Myh11,E9QPE7_Myh11,E9QPE7,Myh11,1,32,166,8,E9QPE7|O08638-2,MOUSE,224209.2,67.4,1,1.3,2216.71,117.88,,1938,Myosin-11,myosin complex|extracellular exosome|,metabolic process|elastic fiber assembly|cardiac muscle fiber development|regulation of mitochondrion degradation|,motor activity|actin binding|ATP binding|structural constituent of muscle|,8,32,55300000000,4.0%
O08638,0.015569044,-0.004833333,22.56925136,0.519333333,0.005534455,4.037569177,-0.2795,-0.395,-0.119,0.105,0.515,0.1445,O08638,NotFound,O08638_NotFound,O08638,Myh11,1,4,156,3,O08638,MOUSE,227879.9,62.4,1,1.4,2034.9,27.82,,1972,Myosin-11,stress fiber|muscle myosin complex|brush border|myosin complex|myofibril|smooth muscle contractile fiber|myosin filament|melanosome|extracellular exosome|,smooth muscle contraction|metabolic process|skeletal muscle myosin thick filament assembly|elastic fiber assembly|cardiac muscle fiber development|activation of mitophagy in response to mitochondrial depolarization|,motor activity|actin binding|calmodulin binding|ATP binding|structural constituent of muscle|,3,4,130000000,0.6%
Q6URW6,0.000106306,-0.116166667,48.09655727,0.998,1.55004E-05,11.1357476,-0.6345,-0.762,-0.449,0.353,0.347,0.4485,Q6URW6,Myh14,Q6URW6_Myh14,Q6URW6,Myh14,1,127,81,60,Q6URW6|Q6URW6-3|K3W4R2|Q6URW6-2,MOUSE,229494.5,39.6,1,1.5,1078.8,790.1,,2000,Myosin-14,stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|,skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|,microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|,60,127,40700000000,32.8%
Q9JHU4,0.000369437,0.026,41.68900244,-0.502333333,6.77797E-05,-8.718037545,0.2395,0.267,0.325,-0.28,-0.181,-0.2145,Q9JHU4,Dync1h1,Q9JHU4_Dync1h1,Q9JHU4,Dync1h1,1,952,257,257,Q9JHU4,MOUSE,534774.4,52.4,2,2.1,3577.02,3577.02,,4644,Cytoplasmic dynein 1 heavy chain 1,cytoplasm|centrosome|cytoplasmic dynein complex|microtubule|membrane|filopodium|extracellular exosome|,cilium movement|transport|metabolic process|cytoplasmic mRNA processing body assembly|stress granule assembly|establishment of spindle localization|,microtubule motor activity|protein binding|ATP binding|ATPase activity|poly(A) RNA binding|dynein light intermediate chain binding|,257,952,1.37E+12,52.4%
A2ARV4,2.88919E-05,-0.238833333,54.84306779,2.224,3.27864E-06,14.19749123,-1.1675,-1.252,-1.633,0.926,0.631,1.0625,A2ARV4,Lrp2,A2ARV4_Lrp2,A2ARV4,Lrp2,1,1202,242,242,A2ARV4|A2ARV5|Q3V346,MOUSE,537969.9,54.9,3,3.1,3572.42,3572.42,,4660,Low-density lipoprotein receptor-related protein 2,lysosomal membrane|endosome|endoplasmic reticulum|Golgi apparatus|brush border|coated pit|membrane|integral component of membrane|apical plasma membrane|endocytic vesicle|brush border membrane|receptor complex|apical part of cell|extracellular exosome|,vitamin metabolic process|receptor-mediated endocytosis|cell proliferation|forebrain development|Wnt signaling pathway involved in dorsal/ventral axis specification|canonical Wnt signaling pathway|,receptor activity|calcium ion binding|protein binding|SH3 domain binding|Wnt-protein binding|Wnt-activated receptor activity|,242,1202,3.67E+12,54.9%
E9QPD7,0.005507227,0.04,28.1287501,-0.397666667,0.001538597,-5.146238045,0.1615,0.216,0.339,-0.152,-0.065,-0.2595,E9QPD7,Pcx,E9QPD7_Pcx,E9QPD7,Pcx,1,3978,124,124,E9QPD7|G5E8R3|Q05920,MOUSE,130571.1,87.9,4,4.1,1941.82,1941.82,,1179,Pyruvate carboxylase,mitochondrion|,pyruvate metabolic process|gluconeogenesis|negative regulation of gene expression|viral RNA genome packaging|positive regulation by host of viral release from host cell|,DNA binding|biotin carboxylase activity|pyruvate carboxylase activity|ATP binding|biotin binding|metal ion binding|,124,3978,4.12E+14,87.9%
P16546,1.3477E-05,-0.095,59.82850459,0.973666667,1.04028E-06,16.70781813,-0.6245,-0.618,-0.503,0.384,0.406,0.3855,P16546,NotFound,P16546_NotFound,P16546,Sptan1,1,331,139,139,A3KGU9|A3KGU7|P16546|E9Q447|A3KGU5|P16546-2|P08032,MOUSE,285391,55.8,5,5.1,1715.01,1715.01,,2472,"Spectrin alpha chain, non-erythrocytic 1",fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|paranode region of axon|myelin sheath|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|,actin filament capping|,actin binding|calcium ion binding|protein binding|calmodulin binding|spectrin binding|protein heterodimerization activity|,140,331,1.34E+11,55.8%
Q8CC88,0.005272859,0.044166667,28.34907269,-0.626,0.001462489,-5.211880573,0.6035,0.333,0.135,-0.339,-0.205,-0.2625,Q8CC88,Vwa8,Q8CC88_Vwa8,Q8CC88,Vwa8,1,439,111,42,Q8CC88|Q8CC88-3,MOUSE,214501.4,56,6,6.1,1604,583.09,,1905,von Willebrand factor A domain-containing protein 8,extracellular region|mitochondrion|,metabolic process|,ATP binding|ATPase activity|,111,439,7.19E+11,56.0%
