Brain_Searched, 126:127, XBirA_2:No_BirA_6	Brain_Searched, 126:128, XBirA_2:No_BirA_5	Brain_Searched, 126:129, XBirA_2:XBirA_3	Brain_Searched, 126:130, XBirA_2:XBirA_1	Brain_Searched, 126:131, XBirA_2:No_BirA_4	Brain_Searched, 127:126, No_BirA_6:XBirA_2	Brain_Searched, 127:128, No_BirA_6:No_BirA_5	Brain_Searched, 127:129, No_BirA_6:XBirA_3	Brain_Searched, 127:130, No_BirA_6:XBirA_1	Brain_Searched, 127:131, No_BirA_6:No_BirA_4	Brain_Searched, 128:126, No_BirA_5:XBirA_2	Brain_Searched, 128:127, No_BirA_5:No_BirA_6	Brain_Searched, 128:129, No_BirA_5:XBirA_3	Brain_Searched, 128:130, No_BirA_5:XBirA_1	Brain_Searched, 128:131, No_BirA_5:No_BirA_4	Brain_Searched, 129:126, XBirA_3:XBirA_2	Brain_Searched, 129:127, XBirA_3:No_BirA_6	Brain_Searched, 129:128, XBirA_3:No_BirA_5	Brain_Searched, 129:130, XBirA_3:XBirA_1	Brain_Searched, 129:131, XBirA_3:No_BirA_4	Brain_Searched, 130:126, XBirA_1:XBirA_2	Brain_Searched, 130:127, XBirA_1:No_BirA_6	Brain_Searched, 130:128, XBirA_1:No_BirA_5	Brain_Searched, 130:129, XBirA_1:XBirA_3	Brain_Searched, 130:131, XBirA_1:No_BirA_4	Brain_Searched, 131:126, No_BirA_4:XBirA_2	Brain_Searched, 131:127, No_BirA_4:No_BirA_6	Brain_Searched, 131:128, No_BirA_4:No_BirA_5	Brain_Searched, 131:129, No_BirA_4:XBirA_3	Brain_Searched, 131:130, No_BirA_4:XBirA_1	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Brain_Searched unique_peptides	Brain_Searched numSpectra	Brain_Searched totalIntensity	Brain_Searched pct_cov
-0.744	-0.321	-0.121	0.087	-0.117	0.744	0.402	0.613	0.82	0.627	0.321	-0.402	0.204	0.418	0.228	0.121	-0.613	-0.204	0.199	-0.016	-0.087	-0.82	-0.418	-0.199	-0.198	0.117	-0.627	-0.228	0.016	0.198	Q9QXS1-8	Q9QXS1-8	Plec	1	2955	552	4	Q9QXS1-8|Q9QXS1-7|Q9QXS1-6|Q9QXS1|Q9QXS1-2|Q9QXS1-14|Q9QXS1-4|Q9QXS1-16|Q9QXS1-5|Q9QXS1-3|Q9QXS1-9|Q9QXS1-10|Q9QXS1-15|E9Q3W4	MOUSE	523729.2	83.2	1	1.1	8187.4	59.83		4691	Isoform PLEC-0,1C,2A,3A of Plectin	cytoplasm|brush border|focal adhesion|hemidesmosome|sarcolemma|contractile fiber|intermediate filament cytoskeleton|extracellular exosome|	hemidesmosome assembly|	actin binding|protein binding|structural constituent of muscle|ankyrin binding|poly(A) RNA binding|	552	2955	6.58e+12	83.5%
-0.148	-0.0640000000000001	0.361	0.372	-0.069	0.148	0.079	0.519	0.525	0.08	0.0640000000000001	-0.079	0.46	0.467	0.0319999999999999	-0.361	-0.519	-0.46	0.012	-0.424	-0.372	-0.525	-0.467	-0.012	-0.414	0.069	-0.08	-0.0319999999999999	0.424	0.414	A3KGU9	A3KGU9	Sptan1	1	3092	463	1	A3KGU9|P08032	MOUSE	288453.6	94.7	2	2.1	7347.66	7.88		2498	Spectrin alpha chain, non-erythrocytic 1	fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|		calcium ion binding|protein binding|spectrin binding|protein heterodimerization activity|	464	3092	1.28e+13	94.7%
0.0349999999999999	-0.032	0.297	0.385	-0.129	-0.0349999999999999	-0.075	0.248	0.313	-0.178	0.032	0.075	0.4	0.447	-0.0930000000000001	-0.297	-0.248	-0.4	0.084	-0.442	-0.385	-0.313	-0.447	-0.084	-0.497	0.129	0.178	0.0930000000000001	0.442	0.497	P16546	P16546	Sptan1	1	81	461	4	P16546	MOUSE	285391	94.9	2	2.2	7345.44	91.58		2472	Spectrin alpha chain, non-erythrocytic 1	fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|paranode region of axon|myelin sheath|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|	actin filament capping|	actin binding|calcium ion binding|protein binding|calmodulin binding|spectrin binding|protein heterodimerization activity|	4	81	5.01e+10	1.7%
-0.00900000000000012	0.011	0.381	0.441	0.002	0.00900000000000012	0.042	0.35	0.452	0.0649999999999999	-0.011	-0.042	0.323	0.449	0.002	-0.381	-0.35	-0.323	0.035	-0.335	-0.441	-0.452	-0.449	-0.035	-0.42	-0.002	-0.0649999999999999	-0.002	0.335	0.42	E9Q447	E9Q447	Sptan1	1	15	457	2	E9Q447	MOUSE	286196	94.6	2	2.3	7260.55	40.95		2478	Spectrin alpha chain, non-erythrocytic 1	fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|		calcium ion binding|protein binding|spectrin binding|protein heterodimerization activity|	2	15	2.75e+10	0.7%
-0.345	-0.35	0.086	-0.014	0.077	0.345	-0.029	0.448	0.317	0.421	0.35	0.029	0.465	0.362	0.489	-0.086	-0.448	-0.465	-0.119	-0.02	0.014	-0.317	-0.362	0.119	0.075	-0.077	-0.421	-0.489	0.02	-0.075	Q3UH59	Q3UH59	Myh10	1	3396	410	5	Q3UH59|Q61879|Q8BXF2|E9Q264	MOUSE	234472.2	87.3	3	3.1	6447.05	84.75		2013	Myosin-10	stress fiber|nucleus|cytoplasm|mitochondrion|cell cortex|actin cytoskeleton|myosin complex|myosin II complex|axon|growth cone|midbody|cleavage furrow|actomyosin|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|myosin II filament|spindle|plasma membrane|neuromuscular junction|	mitotic cytokinesis|in utero embryonic development|neuron migration|plasma membrane repair|exocytosis|substrate-dependent cell migration, cell extension|nuclear migration|axonogenesis|axon guidance|brain development|adult heart development|metabolic process|cell proliferation|regulation of cell shape|fourth ventricle development|lateral ventricle development|third ventricle development|cerebellar Purkinje cell layer development|actin cytoskeleton organization|actin filament-based movement|myofibril assembly|actomyosin structure organization|neuron projection development|neuromuscular process controlling balance|cardiac myofibril assembly|ventricular cardiac muscle cell development|retina development in camera-type eye|	microfilament motor activity|protein binding|ATP binding|actin-dependent ATPase activity|ADP binding|actin filament binding|	411	3396	2.66e+13	87.3%
-0.369	-0.201	0.143	0.00700000000000001	0.119	0.369	0.118	0.581	0.38	0.411	0.201	-0.118	0.386	0.199	0.482	-0.143	-0.581	-0.386	-0.246	-0.032	-0.00700000000000001	-0.38	-0.199	0.246	0.071	-0.119	-0.411	-0.482	0.032	-0.071	Q5SV64	Q5SV64	Myh10	1	40	409	5	Q5SV64	MOUSE	233437.7	89	3	3.2	6434.61	88.9		2007	Myosin-10	stress fiber|nucleus|cytoplasm|mitochondrion|cell cortex|actin cytoskeleton|myosin complex|myosin II complex|axon|growth cone|midbody|cleavage furrow|actomyosin|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|myosin II filament|spindle|plasma membrane|neuromuscular junction|	mitotic cytokinesis|in utero embryonic development|neuron migration|plasma membrane repair|exocytosis|substrate-dependent cell migration, cell extension|nuclear migration|axonogenesis|axon guidance|brain development|adult heart development|metabolic process|cell proliferation|regulation of cell shape|fourth ventricle development|lateral ventricle development|third ventricle development|cerebellar Purkinje cell layer development|actin cytoskeleton organization|actin filament-based movement|myofibril assembly|actomyosin structure organization|neuron projection development|neuromuscular process controlling balance|cardiac myofibril assembly|ventricular cardiac muscle cell development|retina development in camera-type eye|	microfilament motor activity|protein binding|ATP binding|actin-dependent ATPase activity|ADP binding|actin filament binding|	5	40	2.96e+11	3.6%
-0.346	-0.256	0.25	0.123	0.185	0.346	0.083	0.634	0.481	0.532	0.256	-0.083	0.536	0.396	0.467	-0.25	-0.634	-0.536	-0.138	-0.1	-0.123	-0.481	-0.396	0.138	0.052	-0.185	-0.532	-0.467	0.1	-0.052	Q8VDD5	Q8VDD5	Myh9	1	1851	338	268	Q8VDD5|F2Z494	MOUSE	227566.2	84.8	3	3.3	5250.34	4245.82		1960	Myosin-9	stress fiber|ruffle|uropod|nucleus|cytoplasm|actomyosin contractile ring|cytosol|plasma membrane|brush border|cell-cell adherens junction|cell cortex|actin cytoskeleton|membrane|myosin complex|myosin II complex|cortical cytoskeleton|cell leading edge|cleavage furrow|actomyosin|protein complex|extracellular exosome|myosin II filament|immunological synapse|spindle|plasma membrane|focal adhesion|COP9 signalosome|integrin complex|neuromuscular junction|	meiotic spindle organization|cell morphogenesis involved in differentiation|cytokinesis|angiogenesis|in utero embryonic development|establishment of T cell polarity|membrane protein ectodomain proteolysis|phagocytosis, engulfment|cell adhesion|myoblast fusion|regulation of cell shape|protein transport|single organismal cell-cell adhesion|actin filament-based movement|platelet formation|monocyte differentiation|actomyosin structure organization|actin cytoskeleton reorganization|uropod organization|blood vessel endothelial cell migration|establishment of meiotic spindle localization|platelet aggregation|negative regulation of actin filament severing|positive regulation of protein processing in phagocytic vesicle|actin filament polymerization|actin filament capping|	microfilament motor activity|actin binding|protein binding|calmodulin binding|ATP binding|ATPase activity|protein domain specific binding|actin-dependent ATPase activity|protein homodimerization activity|protein anchor|ADP binding|poly(A) RNA binding|actin filament binding|	268	1851	5.74e+12	73.2%
-0.862	-0.617	0.211	0.672	0.279	0.862	0.268	1.177	1.626	1.026	0.617	-0.268	0.856	1.37	0.842	-0.211	-1.177	-0.856	0.424	0.001	-0.672	-1.626	-1.37	-0.424	-0.4	-0.279	-1.026	-0.842	-0.001	0.4	E9QPE7	E9QPE7	Myh11	1	48	238	15	E9QPE7	MOUSE	224209.2	76.7	3	3.4	3471.77	232.68		1938	Myosin-11	myosin complex|extracellular exosome|	metabolic process|elastic fiber assembly|cardiac muscle fiber development|regulation of mitochondrion degradation|	motor activity|actin binding|ATP binding|structural constituent of muscle|	15	48	4.93e+10	5.7%
-0.555	-0.401	0.189	0.4	0.13	0.555	0.047	0.787	0.989	0.961	0.401	-0.047	0.632	0.809	0.652	-0.189	-0.787	-0.632	0.027	-0.063	-0.4	-0.989	-0.809	-0.027	-0.198	-0.13	-0.961	-0.652	0.063	0.198	O08638	O08638	Myh11	1	14	223	6	O08638	MOUSE	227879.9	73.2	3	3.5	3200.65	82.77		1972	Myosin-11	stress fiber|muscle myosin complex|brush border|myosin complex|myofibril|smooth muscle contractile fiber|myosin filament|melanosome|extracellular exosome|	smooth muscle contraction|metabolic process|skeletal muscle myosin thick filament assembly|elastic fiber assembly|cardiac muscle fiber development|activation of mitophagy in response to mitochondrial depolarization|	motor activity|actin binding|calmodulin binding|ATP binding|structural constituent of muscle|	6	14	5.78e+09	2.4%
-0.758	-0.353	0.333	0.131	-0.014	0.758	0.252	1.106	0.941	0.664	0.353	-0.252	0.779	0.569	0.398	-0.333	-1.106	-0.779	-0.131	-0.32	-0.131	-0.941	-0.569	0.131	-0.077	0.014	-0.664	-0.398	0.32	0.077	Q6URW6-3	Q6URW6-3	Myh14	1	20	193	6	Q6URW6-3	MOUSE	232587.9	72.4	3	3.6	2948.81	99.52		2000	Isoform 3 of Myosin-14	stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|	skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|	microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|	6	20	5.51e+09	4.1%
