"","id","adj.P.Val.XBirA.over.No_BirA","AveExpr.XBirA.over.No_BirA","Log.P.Value.XBirA.over.No_BirA","logFC.XBirA.over.No_BirA","P.Value.XBirA.over.No_BirA","t.XBirA.over.No_BirA","Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian","Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian","Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian","Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian","Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian","Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian","id.query","id.mapped","id.concat","id.1","geneSymbol","numColumnsProteinObserved","numSpectraProteinObserved","numPepsUnique","numPepsUniqueSubgroupSpecificCI","accession_numbers","species","protein_mw","percentCoverage","groupNum","subgroupNum","scoreUnique","scoreUniqueSubgroupSpecificCI","orfCategory","sequenceLength","entry_name","cellular_component","biological_process","molecular_function","Proteome.unique_peptides","Proteome.numSpectra","Proteome.totalIntensity","Proteome.pct_cov"
"1626","Q8BH24",1.29736e-05,-0.948,60.14218376,3.921666667,9.67791e-07,17.14052417,-2.5405,-2.74,-3.446,1.114,0.842,1.0825,"Q8BH24","Tm9sf4","Q8BH24_Tm9sf4","Q8BH24","Tm9sf4",1,13,7,7,"Q8BH24","MOUSE",75490.6,9.6,1381,1381.1,91.96,91.96,NA,643,"Transmembrane 9 superfamily member 4","integral component of membrane|","","",7,13,1.17e+09,"9.6%"
"3435","D3YZW1",0.000635384,-0.753666667,38.87510405,3.609,0.000129566,7.91351615,-1.9375,-2.047,-3.69,1.224,0.773,1.1555,"D3YZW1","Srgap1","D3YZW1_Srgap1","D3YZW1","Srgap1",1,4,2,2,"D3YZW1|Q91Z69|F8VPQ4|Q812A2|E9QN14","MOUSE",125010.8,1.8,3367,3367.1,13.53,13.53,NA,1085,"SLIT-ROBO Rho GTPase-activating protein 1","cytoplasm|","Rho protein signal transduction|cell migration|negative regulation of cell migration|positive regulation of GTPase activity|","GTPase activator activity|protein binding|Rho GTPase binding|Rac GTPase binding|",2,4,3.44e+10,"1.8%"
"3322","Q3UVD5",0.001191457,-0.787666667,35.72915286,3.457,0.000267353,7.014232612,-1.8095,-2.003,-3.736,0.822,0.754,1.2465,"Q3UVD5","Lgr6","Q3UVD5_Lgr6","Q3UVD5","Lgr6",1,7,2,2,"Q3UVD5","MOUSE",105806,1.6,3130,3130.1,16.19,16.19,NA,967,"Leucine-rich repeat-containing G-protein coupled receptor 6","nucleoplasm|cytoplasm|plasma membrane|integral component of membrane|vesicle|","G-protein coupled receptor signaling pathway|Wnt signaling pathway|positive regulation of Wnt signaling pathway|positive regulation of cell migration|","protein-hormone receptor activity|",2,7,6.21e+09,"1.6%"
"525","Q6XLQ8",1.23741e-05,-0.553,60.54638244,3.451,8.81783e-07,17.38748802,-2.0655,-2.206,-2.564,1.379,0.776,1.3625,"Q6XLQ8","Calu","Q6XLQ8_Calu","Q6XLQ8","Calu",1,8,15,2,"Q6XLQ8","MOUSE",37231.2,53.6,397,397.2,232.64,29.22,NA,315,"Calumenin","endoplasmic reticulum|membrane|","","calcium ion binding|",2,8,8.91e+10,"6.9%"
"374","P57759",3.19504e-06,-0.672333333,72.23190199,3.389,5.9815e-08,26.2249568,-2.2075,-2.318,-2.575,1.171,0.81,1.0855,"P57759","Erp29","P57759_Erp29","P57759","Erp29",1,134,23,23,"P57759|D6RG87|F8WIM7|F8WJI4","MOUSE",28879.8,69,286,286.1,328.94,328.94,NA,262,"Endoplasmic reticulum resident protein 29","endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|cell surface|membrane|transport vesicle|melanosome|extracellular exosome|","activation of MAPK activity|positive regulation of protein phosphorylation|ER to Golgi vesicle-mediated transport|protein secretion|positive regulation of gene expression|negative regulation of gene expression|negative regulation of protein secretion|regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway|","protein homodimerization activity|chaperone binding|",23,134,1.46e+12,"69.0%"
"872","Q61335",0.0001532,-0.722833333,46.17332426,3.382,2.41361e-05,10.38158187,-1.8895,-2.144,-3.208,1.065,0.779,1.0605,"Q61335","Bcap31","Q61335_Bcap31","Q61335","Bcap31",1,71,14,14,"Q61335","MOUSE",28013.1,27.3,697,697.1,186.06,186.06,NA,245,"B-cell receptor-associated protein 31","Golgi membrane|mitochondrion|endoplasmic reticulum|lipid particle|cytosol|integral component of plasma membrane|membrane|clathrin-coated vesicle|Golgi cisterna membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|Sec61 translocon complex|","intracellular protein transport|ER to Golgi vesicle-mediated transport|positive regulation of cytosolic calcium ion concentration|spermatogenesis|negative regulation of endoplasmic reticulum calcium ion concentration|calcium-mediated signaling using intracellular calcium source|positive regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of mitochondrial calcium ion concentration|protein localization to endoplasmic reticulum exit site|positive regulation of ER-associated ubiquitin-dependent protein catabolic process|positive regulation of retrograde protein transport, ER to cytosol|positive regulation of intrinsic apoptotic signaling pathway|","protein binding|protein complex binding|MHC class I protein binding|",14,71,1.56e+11,"27.3%"
"38","P09103",1.31561e-06,-0.719166667,85.44964239,3.374666667,2.85125e-09,41.08879537,-2.3355,-2.425,-2.459,0.937,0.854,1.1135,"P09103","P4hb","P09103_P4hb","P09103","P4hb",1,562,71,28,"P09103|E9Q8G8","MOUSE",57456.8,85.8,22,22.1,1101.29,454.21,NA,509,"Protein disulfide-isomerase","endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum-Golgi intermediate compartment|focal adhesion|external side of plasma membrane|procollagen-proline 4-dioxygenase complex|endoplasmic reticulum chaperone complex|melanosome|extracellular exosome|","protein folding|peptidyl-proline hydroxylation to 4-hydroxy-L-proline|response to endoplasmic reticulum stress|cell redox homeostasis|cellular response to hypoxia|regulation of oxidative stress-induced intrinsic apoptotic signaling pathway|","protein disulfide isomerase activity|integrin binding|protein binding|enzyme binding|poly(A) RNA binding|protein heterodimerization activity|procollagen-proline 4-dioxygenase activity|peptidyl-proline 4-dioxygenase activity|",71,562,6.94e+12,"85.8%"
"2692","Q91YY2",0.000607394,-0.69,39.12011167,3.343,0.000122458,7.987341962,-1.7905,-1.872,-3.422,1.058,0.843,1.0435,"Q91YY2","B4galt3","Q91YY2_B4galt3","Q91YY2","B4galt3",1,6,2,2,"Q91YY2|A0A0A6YXE7","MOUSE",44368.6,6,2421,2421.1,31.67,31.67,NA,395,"Beta-1,4-galactosyltransferase 3","cytoplasm|Golgi apparatus|integral component of membrane|Golgi cisterna membrane|extracellular exosome|","protein glycosylation|","beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity|N-acetyllactosamine synthase activity|metal ion binding|",2,6,1.84e+08,"6.0%"
"2588","Q64735",1.94211e-05,-0.814833333,57.17012109,3.327333333,1.91862e-06,15.42511983,-2.1805,-2.252,-3.003,0.767,0.973,0.8065,"Q64735","Cr1l","Q64735_Cr1l","Q64735","Cr1l",1,4,3,3,"Q64735|Q64735-2|A0A0A6YY75|A0A0A6YXN9","MOUSE",55016.8,4.9,2317,2317.1,34.74,34.74,NA,483,"Complement component receptor 1-like protein","external side of plasma membrane|integral component of membrane|receptor complex|","in utero embryonic development|complement activation, classical pathway|female pregnancy|regulation of complement activation|innate immune response|negative regulation of complement activation|","",3,4,6.02e+09,"4.9%"
"49","P27773",9.50082e-06,-0.492833333,62.39352248,3.304666667,5.76299e-07,18.5603826,-1.9865,-2.105,-2.344,1.424,0.782,1.2725,"P27773","Pdia3","P27773_Pdia3","P27773","Pdia3",1,470,62,62,"P27773|A5D7E8|P38657","MOUSE",57133.7,77.2,32,32.1,961.05,961.05,NA,505,"Protein disulfide-isomerase A3","nucleus|endoplasmic reticulum|endoplasmic reticulum lumen|smooth endoplasmic reticulum|focal adhesion|cell surface|melanosome|myelin sheath|extracellular exosome|","protein folding|response to endoplasmic reticulum stress|cell redox homeostasis|positive regulation of extrinsic apoptotic signaling pathway|","protein disulfide isomerase activity|protein binding|poly(A) RNA binding|",62,470,7.99e+12,"77.2%"
