R126127,R126128,R126131,R129127,R129128,R129131,R130127,R130128,R130131,id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Brain_Searched.unique_peptides,Brain_Searched.numSpectra,Brain_Searched.totalIntensity,Brain_Searched.pct_cov,adj.P.Val.xBirA.over.NoBirA,AveExpr.xBirA.over.NoBirA,Log.P.Value.xBirA.over.NoBirA,logFC.xBirA.over.NoBirA,P.Value.xBirA.over.NoBirA,t.xBirA.over.NoBirA,Brain_Searched..127.126.127.128.129.130.131..No_BirA_6.multimedian,Brain_Searched..128.126.127.128.129.130.131..No_BirA_5.multimedian,Brain_Searched..131.126.127.128.129.130.131..No_BirA_4.multimedian,Brain_Searched..126.126.127.128.129.130.131..XBirA_2.multimedian,Brain_Searched..129.126.127.128.129.130.131..XBirA_3.multimedian,Brain_Searched..130.126.127.128.129.130.131..XBirA_1.multimedian,PCorNC,ES_score,signalP,TM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.158,-0.091,-0.233,-0.129,-0.398,-0.548,-0.122,-0.408,-0.533,Q8C8R3-2,Q8C8R3,Ank2,1,1350,263,11,Q8C8R3-2,MOUSE,431269.8,71.7,8,8.1,4099.83,166.58,NA,3898,Isoform 2 of Ankyrin-2,intracellular|cytoplasm|cytoskeleton|plasma membrane|integral component of plasma membrane|intercalated disc|basolateral plasma membrane|apical plasma membrane|Z disc|T-tubule|M band|A band|sarcolemma|costamere|postsynaptic membrane|perinuclear region of cytoplasm|neuronal postsynaptic density|,regulation of heart rate|atrial septum development|cellular calcium ion homeostasis|protein localization|positive regulation of gene expression|regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion|regulation of cardiac muscle contraction by calcium ion signaling|regulation of protein stability|T-tubule organization|protein localization to cell surface|cellular protein localization|protein localization to M-band|protein localization to T-tubule|regulation of apoptotic process|positive regulation of potassium ion transport|protein stabilization|regulation of calcium ion transport|positive regulation of calcium ion transport|regulation of cardiac muscle contraction|cardiac muscle contraction|regulation of ventricular cardiac muscle cell membrane repolarization|protein localization to endoplasmic reticulum|protein localization to plasma membrane|protein targeting to plasma membrane|regulation of cardiac muscle cell contraction|ventricular cardiac muscle cell action potential|atrial cardiac muscle cell action potential|SA node cell action potential|regulation of cardiac muscle cell membrane potential|atrial cardiac muscle cell to AV node cell communication|SA node cell to atrial cardiac muscle cell communication|regulation of heart rate by cardiac conduction|regulation of AV node cell action potential|regulation of SA node cell action potential|regulation of atrial cardiac muscle cell action potential|positive regulation of potassium ion transmembrane transporter activity|regulation of calcium ion transmembrane transporter activity|positive regulation of calcium ion transmembrane transporter activity|regulation of cation channel activity|positive regulation of cation channel activity|,"protein binding|potassium channel regulator activity|protein kinase binding|spectrin binding|protein binding, bridging|ion channel binding|ATPase binding|",263,1350,2.32E+12,0.717,0.323289945,0.085,10.48055283,-0.258,0.08952508,-1.943468389,-0.003,0.238,0.407,0.145,-0.137,-0.14,undefined,5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.458,0.49,0.77,-0.89,-0.429,0.066,-0.652,0.342,0.666,Q8C8R3-4,Q8C8R3,Ank2,1,5,261,2,Q8C8R3-4|Q8C8R3-3,MOUSE,435314,70.9,8,8.2,4067.93,16.22,NA,3898,Isoform 4 of Ankyrin-2,intracellular|cytoplasm|cytoskeleton|plasma membrane|integral component of plasma membrane|intercalated disc|basolateral plasma membrane|apical plasma membrane|Z disc|T-tubule|M band|A band|sarcolemma|costamere|postsynaptic membrane|perinuclear region of cytoplasm|neuronal postsynaptic density|,regulation of heart rate|atrial septum development|cellular calcium ion homeostasis|protein localization|positive regulation of gene expression|regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion|regulation of cardiac muscle contraction by calcium ion signaling|regulation of protein stability|T-tubule organization|protein localization to cell surface|cellular protein localization|protein localization to M-band|protein localization to T-tubule|regulation of apoptotic process|positive regulation of potassium ion transport|protein stabilization|regulation of calcium ion transport|positive regulation of calcium ion transport|regulation of cardiac muscle contraction|cardiac muscle contraction|regulation of ventricular cardiac muscle cell membrane repolarization|protein localization to endoplasmic reticulum|protein localization to plasma membrane|protein targeting to plasma membrane|regulation of cardiac muscle cell contraction|ventricular cardiac muscle cell action potential|atrial cardiac muscle cell action potential|SA node cell action potential|regulation of cardiac muscle cell membrane potential|atrial cardiac muscle cell to AV node cell communication|SA node cell to atrial cardiac muscle cell communication|regulation of heart rate by cardiac conduction|regulation of AV node cell action potential|regulation of SA node cell action potential|regulation of atrial cardiac muscle cell action potential|positive regulation of potassium ion transmembrane transporter activity|regulation of calcium ion transmembrane transporter activity|positive regulation of calcium ion transmembrane transporter activity|regulation of cation channel activity|positive regulation of cation channel activity|,"protein binding|potassium channel regulator activity|protein kinase binding|spectrin binding|protein binding, bridging|ion channel binding|ATPase binding|",2,5,2.99E+08,0.002,0.982125714,0.147166667,0.191573861,0.015,0.956847252,0.055949251,0.712,-0.025,-0.268,0.446,-0.212,0.23,undefined,5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.667,-0.56,-0.342,0.246,-0.987,-0.772,0.421,-0.683,-0.445,S4R2D6,S4R2D6,Ank2,1,5,40,2,S4R2D6|Q8C8R3-6,MOUSE,53110.7,77.9,8,8.7,631.01,18.95,NA,489,Ankyrin-2,cytoplasm|plasma membrane|Z disc|M band|perinuclear region of cytoplasm|neuronal postsynaptic density|,protein localization|T-tubule organization|cellular protein localization|regulation of apoptotic process|cardiac muscle contraction|protein localization to plasma membrane|protein targeting to plasma membrane|regulation of cardiac muscle cell membrane potential|regulation of cation channel activity|,protein binding|potassium channel regulator activity|,2,5,3.30E+08,0.044,0.657762956,-0.0865,4.604437235,-0.282333333,0.346382766,-1.004788946,-0.636,0.459,0.341,-0.05,-0.483,-0.15,undefined,5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
