R128126,R128127,R128131,R129126,R129127,R129131,R130126,R130127,R130131,id,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Proteome.unique_peptides,Proteome.numSpectra,Proteome.totalIntensity,Proteome.pct_cov,adj.P.Val.XBirA.over.No_BirA,AveExpr.XBirA.over.No_BirA,Log.P.Value.XBirA.over.No_BirA,logFC.XBirA.over.No_BirA,P.Value.XBirA.over.No_BirA,t.XBirA.over.No_BirA,Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian,Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian,Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian,Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian,Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian,Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian,PCorNC,ES_score,signalP,TM
1.542,1.912,0.875,1.695,2.0775,0.9985,1.725,2.108,1.0315,Q8VDD5,Q8VDD5,Myh9,1,1767,290,234,Q8VDD5|F2Z494|Q02566|A2AQP0|P13541|P13542|E9Q264,MOUSE,227566.2,79.3,1,1.1,4186.95,3444.79,NA,1960,Myosin-9,stress fiber|ruffle|uropod|nucleus|cytoplasm|actomyosin contractile ring|cytosol|plasma membrane|brush border|cell-cell adherens junction|cell cortex|actin cytoskeleton|membrane|myosin complex|myosin II complex|cortical cytoskeleton|cell leading edge|cleavage furrow|actomyosin|protein complex|extracellular exosome|myosin II filament|immunological synapse|spindle|plasma membrane|focal adhesion|COP9 signalosome|integrin complex|neuromuscular junction|,"meiotic spindle organization|cell morphogenesis involved in differentiation|cytokinesis|angiogenesis|in utero embryonic development|establishment of T cell polarity|membrane protein ectodomain proteolysis|phagocytosis, engulfment|cell adhesion|myoblast fusion|regulation of cell shape|protein transport|single organismal cell-cell adhesion|actin filament-based movement|platelet formation|monocyte differentiation|actomyosin structure organization|actin cytoskeleton reorganization|uropod organization|blood vessel endothelial cell migration|establishment of meiotic spindle localization|platelet aggregation|negative regulation of actin filament severing|positive regulation of protein processing in phagocytic vesicle|actin filament polymerization|actin filament capping|",microfilament motor activity|actin binding|protein binding|calmodulin binding|ATP binding|ATPase activity|protein domain specific binding|actin-dependent ATPase activity|protein homodimerization activity|protein anchor|ADP binding|poly(A) RNA binding|actin filament binding|,291,1767,1.17E+13,0.793,0.001467873,-0.297333333,34.74618125,1.539666667,0.00033526,6.750718568,-1.1785,-1.489,-0.534,0.361,0.513,0.5435,NC,9,NA,NA
1.412,1.96,0.967,1.552,2.0675,1.0835,1.611,2.129,1.1215,Q3UH59,Q3UH59,Myh10,1,592,213,157,Q3UH59|Q61879|Q5SV64|Q8BXF2,MOUSE,234472.2,69.1,1,1.2,2936.96,2220.49,NA,2013,Myosin-10,stress fiber|nucleus|cytoplasm|mitochondrion|cell cortex|actin cytoskeleton|myosin complex|myosin II complex|axon|growth cone|midbody|cleavage furrow|actomyosin|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|myosin II filament|spindle|plasma membrane|neuromuscular junction|,"mitotic cytokinesis|in utero embryonic development|neuron migration|plasma membrane repair|exocytosis|substrate-dependent cell migration, cell extension|nuclear migration|axonogenesis|axon guidance|brain development|adult heart development|metabolic process|cell proliferation|regulation of cell shape|fourth ventricle development|lateral ventricle development|third ventricle development|cerebellar Purkinje cell layer development|actin cytoskeleton organization|actin filament-based movement|myofibril assembly|actomyosin structure organization|neuron projection development|neuromuscular process controlling balance|cardiac myofibril assembly|ventricular cardiac muscle cell development|retina development in camera-type eye|",microfilament motor activity|protein binding|ATP binding|actin-dependent ATPase activity|ADP binding|actin filament binding|,157,592,1.32E+12,0.574,0.000824395,-0.259666667,37.59933536,1.549,0.000173807,7.538166528,-1.0275,-1.468,-0.607,0.387,0.556,0.6015,undefined,9,NA,NA
0.966,1.145,0.803,0.971,1.0975,0.7345,1.11,1.188,0.8775,Q6URW6,Q6URW6,Myh14,1,127,81,60,Q6URW6|Q6URW6-3|K3W4R2|Q6URW6-2,MOUSE,229494.5,39.6,1,1.5,1078.8,790.1,NA,2000,Myosin-14,stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|,skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|,microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|,60,127,4.07E+10,0.328,0.000106306,-0.116166667,48.09655727,0.998,1.55E-05,11.1357476,-0.6345,-0.762,-0.449,0.353,0.347,0.4485,NC,9,NA,NA
2.156,2.243,2.459,1.744,1.9195,2.1085,2.244,2.394,2.5765,A2ARV4,A2ARV4,Lrp2,1,1202,242,242,A2ARV4|A2ARV5|Q3V346,MOUSE,537969.9,54.9,3,3.1,3572.42,3572.42,NA,4660,Low-density lipoprotein receptor-related protein 2,lysosomal membrane|endosome|endoplasmic reticulum|Golgi apparatus|brush border|coated pit|membrane|integral component of membrane|apical plasma membrane|endocytic vesicle|brush border membrane|receptor complex|apical part of cell|extracellular exosome|,vitamin metabolic process|receptor-mediated endocytosis|cell proliferation|forebrain development|Wnt signaling pathway involved in dorsal/ventral axis specification|canonical Wnt signaling pathway|,receptor activity|calcium ion binding|protein binding|SH3 domain binding|Wnt-protein binding|Wnt-activated receptor activity|,242,1202,3.67E+12,0.549,2.89E-05,-0.238833333,54.84306779,2.224,3.28E-06,14.19749123,-1.1675,-1.252,-1.633,0.926,0.631,1.0625,undefined,9,TRUE,TRUE
1.014,1.03,0.877,1.002,1.0345,0.8805,1.046,1.031,0.8995,P16546,P16546,Sptan1,1,331,139,139,A3KGU9|A3KGU7|P16546|E9Q447|A3KGU5|P16546-2|P08032,MOUSE,285391,55.8,5,5.1,1715.01,1715.01,NA,2472,"Spectrin alpha chain, non-erythrocytic 1",fascia adherens|microtubule cytoskeleton|membrane|lateral plasma membrane|Z disc|cortical cytoskeleton|cuticular plate|paranode region of axon|myelin sheath|intracellular membrane-bounded organelle|extracellular exosome|extracellular vesicle|,actin filament capping|,actin binding|calcium ion binding|protein binding|calmodulin binding|spectrin binding|protein heterodimerization activity|,140,331,1.34E+11,0.558,1.35E-05,-0.095,59.82850459,0.973666667,1.04E-06,16.70781813,-0.6245,-0.618,-0.503,0.384,0.406,0.3855,undefined,9,NA,NA
1.529,1.464,1.471,1.527,1.4805,1.4835,1.474,1.438,1.4245,V9GX76,V9GX76,Myo6,1,435,93,3,V9GX76|E9Q174|V9GXM4|E9Q3L1|Q64331,MOUSE,150710.4,67.3,12,12.1,1346.5,31.11,NA,1294,Unconventional myosin-VI,"ruffle|nucleus|nucleoplasm|cytoplasm|Golgi apparatus|plasma membrane|vesicle membrane|membrane|cytoplasmic membrane-bounded vesicle|myosin complex|DNA-directed RNA polymerase II, holoenzyme|axon|filamentous actin|nuclear membrane|neuronal cell body|synapse|perinuclear region of cytoplasm|extracellular exosome|clathrin-coated endocytic vesicle|","protein targeting|endocytosis|synaptic transmission|synapse assembly|sensory perception of sound|locomotory behavior|metabolic process|glutamate secretion|dendrite development|DNA damage response, signal transduction by p53 class mediator|inner ear morphogenesis|auditory receptor cell differentiation|positive regulation of transcription from RNA polymerase II promoter|regulation of synaptic plasticity|inner ear development|regulation of secretion|cellular response to electrical stimulus|",motor activity|protein binding|ATP binding|actin filament binding|,94,435,1.70E+12,0.673,2.52E-06,-0.1885,74.16393931,1.501333333,3.83E-08,27.53002663,-0.9595,-0.893,-0.965,0.548,0.6,0.5385,undefined,9,NA,NA
2.209,2.304,2.415,1.75,1.9175,1.9815,2.23,2.379,2.4235,Q9JLB4,Q9JLB4,Cubn,1,337,92,92,Q9JLB4,MOUSE,407932.7,29.5,14,14.1,1293.13,1293.13,NA,3623,Cubilin,cytoplasm|lysosomal membrane|endosome|endoplasmic reticulum|Golgi apparatus|brush border|coated pit|endosome membrane|apical plasma membrane|endocytic vesicle|apical part of cell|extracellular exosome|,receptor-mediated endocytosis|cholesterol metabolic process|lipoprotein transport|,receptor activity|calcium ion binding|protein binding|cobalamin binding|protein homodimerization activity|,92,337,3.91E+11,0.295,1.47E-05,-0.2185,59.21518287,2.202,1.20E-06,16.58679017,-1.2025,-1.254,-1.502,0.961,0.63,1.0565,undefined,9,TRUE,NA
0.733,0.814,0.6,0.666,0.7315,0.5405,0.79,0.834,0.5975,Q62261,Q62261,Sptbn1,1,262,101,94,Q62261|Q62261-2|Q3UGX2|E9Q397|P15508,MOUSE,275074,46.5,15,15.1,1248.73,1153.22,NA,2363,"Spectrin beta chain, non-erythrocytic 1",nucleus|nucleolus|cytoplasm|plasma membrane|spectrin|membrane|axolemma|cortical cytoskeleton|M band|cuticular plate|extracellular exosome|neuronal postsynaptic density|,mitotic cytokinesis|plasma membrane organization|common-partner SMAD protein phosphorylation|SMAD protein import into nucleus|Golgi to plasma membrane protein transport|actin filament capping|membrane assembly|protein targeting to plasma membrane|positive regulation of interleukin-2 secretion|regulation of protein localization to plasma membrane|positive regulation of protein localization to plasma membrane|,actin binding|structural constituent of cytoskeleton|protein binding|calmodulin binding|phospholipid binding|ankyrin binding|poly(A) RNA binding|GTPase binding|,103,262,1.10E+11,0.465,0.00014106,-0.073166667,46.62820675,0.709333333,2.17E-05,10.44595841,-0.4545,-0.512,-0.317,0.283,0.251,0.3105,NC,9,NA,NA
-0.522,-0.204,0.201,-0.611,-0.2825,0.0895,-0.469,-0.14,0.2375,Q9JIL4,Q9JIL4,Pdzk1,1,181,50,2,Q9JIL4,MOUSE,56897,84.9,55,55.1,713.25,30.82,NA,519,Na(+)/H(+) exchange regulatory cofactor NHE-RF3,cytoplasm|plasma membrane|brush border membrane|extracellular exosome|,transport|carnitine transport|positive regulation of ion transmembrane transport|regulation of anion transport|establishment of protein localization to plasma membrane|positive regulation of protein targeting to membrane|,protein binding|PDZ domain binding|,50,181,2.44E+11,0.849,0.418465487,0.029333333,4.829165355,-0.175666667,0.328914837,-1.053615798,0.4455,0.154,-0.248,-0.047,-0.135,0.0065,undefined,6,NA,NA
0.374,1.636,0.735,0.138,1.2575,0.5095,0.375,1.418,0.7615,A0A0R4J1V0,A0A0R4J1V0,Pdzk1,1,10,50,3,A0A0R4J1V0,MOUSE,56896,84.9,55,55.2,712.96,40.63,NA,519,Na(+)/H(+) exchange regulatory cofactor NHE-RF3,NA,NA,NA,3,10,1.20E+10,0.046,0.045487461,-0.19,16.801997,0.716333333,0.020883356,3.013056192,-0.0815,-1.097,-0.466,0.192,0.079,0.2335,undefined,6,NA,NA
