Liver_Searched, 126:127, No_BirA_4:No_BirA_5	Liver_Searched, 126:128, No_BirA_4:XBirA_2	Liver_Searched, 126:129, No_BirA_4:No_BirA_6	Liver_Searched, 126:130, No_BirA_4:XBirA_3	Liver_Searched, 126:131, No_BirA_4:XBirA_1	Liver_Searched, 127:126, No_BirA_5:No_BirA_4	Liver_Searched, 127:128, No_BirA_5:XBirA_2	Liver_Searched, 127:129, No_BirA_5:No_BirA_6	Liver_Searched, 127:130, No_BirA_5:XBirA_3	Liver_Searched, 127:131, No_BirA_5:XBirA_1	Liver_Searched, 128:126, XBirA_2:No_BirA_4	Liver_Searched, 128:127, XBirA_2:No_BirA_5	Liver_Searched, 128:129, XBirA_2:No_BirA_6	Liver_Searched, 128:130, XBirA_2:XBirA_3	Liver_Searched, 128:131, XBirA_2:XBirA_1	Liver_Searched, 129:126, No_BirA_6:No_BirA_4	Liver_Searched, 129:127, No_BirA_6:No_BirA_5	Liver_Searched, 129:128, No_BirA_6:XBirA_2	Liver_Searched, 129:130, No_BirA_6:XBirA_3	Liver_Searched, 129:131, No_BirA_6:XBirA_1	Liver_Searched, 130:126, XBirA_3:No_BirA_4	Liver_Searched, 130:127, XBirA_3:No_BirA_5	Liver_Searched, 130:128, XBirA_3:XBirA_2	Liver_Searched, 130:129, XBirA_3:No_BirA_6	Liver_Searched, 130:131, XBirA_3:XBirA_1	Liver_Searched, 131:126, XBirA_1:No_BirA_4	Liver_Searched, 131:127, XBirA_1:No_BirA_5	Liver_Searched, 131:128, XBirA_1:XBirA_2	Liver_Searched, 131:129, XBirA_1:No_BirA_6	Liver_Searched, 131:130, XBirA_1:XBirA_3	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Liver_Searched unique_peptides	Liver_Searched numSpectra	Liver_Searched totalIntensity	Liver_Searched pct_cov
0.052	0.176	0.847	-0.07	-0.033	-0.052	0.132	0.805	-0.122	-0.067	-0.176	-0.132	0.679	-0.246	-0.191	-0.847	-0.805	-0.679	-0.943	-0.859	0.07	0.122	0.246	0.943	0.032	0.033	0.067	0.191	0.859	-0.032	Q8VDD5	Q8VDD5	Myh9	1	2802	342	273	Q8VDD5|F2Z494|A2AQP0|B1AR69|E9Q264	MOUSE	227566.2	85	1	1.1	5253.84	4294.33		1960	Myosin-9	stress fiber|ruffle|uropod|nucleus|cytoplasm|actomyosin contractile ring|cytosol|plasma membrane|brush border|cell-cell adherens junction|cell cortex|actin cytoskeleton|membrane|myosin complex|myosin II complex|cortical cytoskeleton|cell leading edge|cleavage furrow|actomyosin|protein complex|extracellular exosome|myosin II filament|immunological synapse|spindle|plasma membrane|focal adhesion|COP9 signalosome|integrin complex|neuromuscular junction|	meiotic spindle organization|cell morphogenesis involved in differentiation|cytokinesis|angiogenesis|in utero embryonic development|establishment of T cell polarity|membrane protein ectodomain proteolysis|phagocytosis, engulfment|cell adhesion|myoblast fusion|regulation of cell shape|protein transport|single organismal cell-cell adhesion|actin filament-based movement|platelet formation|monocyte differentiation|actomyosin structure organization|actin cytoskeleton reorganization|uropod organization|blood vessel endothelial cell migration|establishment of meiotic spindle localization|platelet aggregation|negative regulation of actin filament severing|positive regulation of protein processing in phagocytic vesicle|actin filament polymerization|actin filament capping|	microfilament motor activity|actin binding|protein binding|calmodulin binding|ATP binding|ATPase activity|protein domain specific binding|actin-dependent ATPase activity|protein homodimerization activity|protein anchor|ADP binding|poly(A) RNA binding|actin filament binding|	343	2802	1.12e+13	85.0%
-1.065	-1.097	0.485	-0.391	-1.184	1.065	-0.111	1.585	0.659	-0.134	1.097	0.111	1.532	0.796	0.002	-0.485	-1.585	-1.532	-0.868	-1.697	0.391	-0.659	-0.796	0.868	-0.803	1.184	0.134	-0.002	1.697	0.803	E9QPE7	E9QPE7	Myh11	1	50	234	13	E9QPE7	MOUSE	224209.2	76.9	1	1.2	3358.94	219.28		1938	Myosin-11	myosin complex|extracellular exosome|	metabolic process|elastic fiber assembly|cardiac muscle fiber development|regulation of mitochondrion degradation|	motor activity|actin binding|ATP binding|structural constituent of muscle|	13	50	3.54e+10	5.6%
-0.555	-0.23	0.224	-0.292	-0.58	0.555	0.397	0.846	0.528	-0.091	0.23	-0.397	0.513	0.21	-0.411	-0.224	-0.846	-0.513	-0.532	-0.885	0.292	-0.528	-0.21	0.532	-0.458	0.58	0.091	0.411	0.885	0.458	O08638	O08638	Myh11	1	20	222	7	O08638	MOUSE	227879.9	73.1	1	1.3	3111.83	91.01		1972	Myosin-11	stress fiber|muscle myosin complex|brush border|myosin complex|myofibril|smooth muscle contractile fiber|myosin filament|melanosome|extracellular exosome|	smooth muscle contraction|metabolic process|skeletal muscle myosin thick filament assembly|elastic fiber assembly|cardiac muscle fiber development|activation of mitophagy in response to mitochondrial depolarization|	motor activity|actin binding|calmodulin binding|ATP binding|structural constituent of muscle|	7	20	8.62e+09	2.4%
-0.285	0.247	0.766	-0.204	-0.141	0.285	0.533	1.098	0.097	0.168	-0.247	-0.533	0.512	-0.455	-0.365	-0.766	-1.098	-0.512	-1.021	-0.875	0.204	-0.097	0.455	1.021	0.056	0.141	-0.168	0.365	0.875	-0.056	Q3UH59	Q3UH59	Myh10	1	311	182	113	Q3UH59|Q61879|Q5SV64|Q8BXF2	MOUSE	234472.2	65.7	1	1.4	2489.89	1586.46		2013	Myosin-10	stress fiber|nucleus|cytoplasm|mitochondrion|cell cortex|actin cytoskeleton|myosin complex|myosin II complex|axon|growth cone|midbody|cleavage furrow|actomyosin|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|myosin II filament|spindle|plasma membrane|neuromuscular junction|	mitotic cytokinesis|in utero embryonic development|neuron migration|plasma membrane repair|exocytosis|substrate-dependent cell migration, cell extension|nuclear migration|axonogenesis|axon guidance|brain development|adult heart development|metabolic process|cell proliferation|regulation of cell shape|fourth ventricle development|lateral ventricle development|third ventricle development|cerebellar Purkinje cell layer development|actin cytoskeleton organization|actin filament-based movement|myofibril assembly|actomyosin structure organization|neuron projection development|neuromuscular process controlling balance|cardiac myofibril assembly|ventricular cardiac muscle cell development|retina development in camera-type eye|	microfilament motor activity|protein binding|ATP binding|actin-dependent ATPase activity|ADP binding|actin filament binding|	113	311	1.15e+11	48.6%
-0.027	-0.054	0.389	-0.338	-0.348	0.027	-0.025	0.213	-0.151	-0.305	0.054	0.025	0.29	-0.176	-0.321	-0.389	-0.213	-0.29	-0.554	-0.664	0.338	0.151	0.176	0.554	-0.143	0.348	0.305	0.321	0.664	0.143	Q6URW6	Q6URW6	Myh14	1	9	140	3	Q6URW6|K3W4R2	MOUSE	229494.5	56.5	1	1.5	1974.38	42.03		2000	Myosin-14	stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|	skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|	microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|	3	9	6.95e+08	1.0%
0.07	-0.134	0.464	-0.198	-0.396	-0.07	-0.278	0.81	-0.338	-0.533	0.134	0.278	0.59	-0.054	-0.314	-0.464	-0.81	-0.59	-0.613	-0.86	0.198	0.338	0.054	0.613	-0.271	0.396	0.533	0.314	0.86	0.271	Q6URW6-2	Q6URW6-2	Myh14	1	6	139	2	Q6URW6-2|Q6URW6-3	MOUSE	228667.6	56.3	1	1.6	1954.93	22.58		2000	Isoform 2 of Myosin-14	stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|	skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|	microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|	2	6	5.41e+08	0.6%
0.012	0.414	0.631	0.355	0.516	-0.012	0.387	0.65	0.346	0.554	-0.414	-0.387	0.228	-0.053	0.125	-0.631	-0.65	-0.228	-0.268	-0.097	-0.355	-0.346	0.053	0.268	0.186	-0.516	-0.554	-0.125	0.097	-0.186	Q8C196	Q8C196	Cps1	1	3698	193	193	Q8C196	MOUSE	165813.2	88	2	2.1	3323.4	3323.4		1500	Carbamoyl-phosphate synthase [ammonia], mitochondrial	nucleolus|cytoplasm|mitochondrion|mitochondrial inner membrane|mitochondrial nucleoid|protein complex|	urea cycle|glycogen catabolic process|'de novo' pyrimidine nucleobase biosynthetic process|proteolysis|arginine biosynthetic process|glutamine metabolic process|midgut development|response to toxic substance|response to zinc ion|response to amine|triglyceride catabolic process|response to food|response to lipopolysaccharide|response to drug|response to starvation|response to amino acid|cellular response to fibroblast growth factor stimulus|positive regulation of vasodilation|nitric oxide metabolic process|homocysteine metabolic process|anion homeostasis|response to growth hormone|hepatocyte differentiation|carbamoyl phosphate biosynthetic process|cellular response to cAMP|cellular response to glucagon stimulus|cellular response to oleic acid|response to dexamethasone|	carbamoyl-phosphate synthase (ammonia) activity|carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity|endopeptidase activity|calcium ion binding|protein binding|ATP binding|phospholipid binding|glutamate binding|protein complex binding|modified amino acid binding|	193	3698	1.12e+14	88.0%
0.117	0.27	0.052	0.388	0.298	-0.117	0.149	-0.066	0.259	0.189	-0.27	-0.149	-0.191	0.119	0.025	-0.052	0.066	0.191	0.314	0.224	-0.388	-0.259	-0.119	-0.314	-0.083	-0.298	-0.189	-0.025	-0.224	0.083	Q9JHU4	Q9JHU4	Dync1h1	1	666	218	218	Q9JHU4	MOUSE	534774.4	51.4	3	3.1	3031.9	3031.9		4644	Cytoplasmic dynein 1 heavy chain 1	cytoplasm|centrosome|cytoplasmic dynein complex|microtubule|membrane|filopodium|extracellular exosome|	cilium movement|transport|metabolic process|cytoplasmic mRNA processing body assembly|stress granule assembly|establishment of spindle localization|	microtubule motor activity|protein binding|ATP binding|ATPase activity|poly(A) RNA binding|dynein light intermediate chain binding|	218	666	5.37e+11	51.4%
-0.297	-0.122	-0.019	-0.577	-0.613	0.297	0.162	0.248	-0.292	-0.319	0.122	-0.162	0.145	-0.426	-0.474	0.019	-0.248	-0.145	-0.536	-0.589	0.577	0.292	0.426	0.536	-0.041	0.613	0.319	0.474	0.589	0.041	Q9QXS1	Q9QXS1	Plec	1	575	232	227	Q9QXS1|Q9QXS1-2|Q9QXS1-8|Q9QXS1-7|Q9QXS1-6|Q9QXS1-14|Q9QXS1-4|Q9QXS1-16|Q9QXS1-5|Q9QXS1-3|Q9QXS1-13|Q9QXS1-11|Q9QXS1-12|Q9QXS1-9|Q9QXS1-10|Q9QXS1-15|E9Q3W4	MOUSE	536118	52.8	4	4.1	2963.28	2894.71		4691	Plectin	cytoplasm|brush border|focal adhesion|hemidesmosome|sarcolemma|contractile fiber|intermediate filament cytoskeleton|extracellular exosome|	hemidesmosome assembly|	actin binding|protein binding|structural constituent of muscle|ankyrin binding|poly(A) RNA binding|	232	575	1.92e+11	53.0%
-0.103	-0.093	-0.371	-0.432	-0.551	0.103	0.007	-0.248	-0.324	-0.41	0.093	-0.007	-0.169	-0.302	-0.347	0.371	0.248	0.169	-0.128	-0.196	0.432	0.324	0.302	0.128	-0.082	0.551	0.41	0.347	0.196	0.082	Q8R0W0	Q8R0W0	Eppk1	1	136	68	65	Q8R0W0|E9QPN6|Q3ULM0	MOUSE	727450.5	12.4	4	4.2	817.32	764.05		6548	Epiplakin	cytoplasm|cytoskeleton|		poly(A) RNA binding|	65	136	2.29e+10	12.1%
