accession_number,geneSymbol,signalP,TM,,,
A0A1W2P6U8,4932415D10Rik,NA,NA,,,
F8VQ07,5830473C10Rik,YES,NA,,,
Q19LI2,A1bg,YES,NA,,,
Q7SIH1,A2M,YES,NA,,,
F1MB32,A2ML1,YES,NA,,,
Q6P542,Abcf1,NA,NA,,,
Q59IW6,Abi3bp,YES,NA,,,
Q5SWU9,Acaca,NA,NA,,,
E9Q4Z2,Acacb,NA,NA,,,
P50544,Acadvl,NA,NA,,,
Q2XU92,Acsbg2,NA,NA,,,
P68134,Acta1,NA,NA,,,
P60710,Actb,NA,NA,,,
Q8BFZ3,Actbl2,NA,NA,,,
P63260,Actg1,NA,NA,,,
Q769J6,Adamts13,NA,NA,,,
Q7TSK7,Adamtsl2,YES,NA,,,
G5E8Q8,Adgrf5,YES,YES,,,
Q923X1,Adgrl4,YES,YES,,,
Q60994,Adipoq,YES,NA,,,
Q3V384,Afg1l,NA,NA,,,
O89020,Afm,YES,NA,,,
Q3UTR7,Agt,YES,NA,,,
E9Q616,Ahnak,NA,NA,,,
P29699,Ahsg,YES,NA,,,
A2AS37,AI182371,YES,NA,,,
Q70FJ1,Akap9,NA,NA,,,
P07724,Alb,YES,NA,,,
Q3U367,Aldh9a1,NA,NA,,,
E9QNX4,Alpk1,NA,NA,,,
Q07456,Ambp,YES,NA,,,
P00687,Amy1,YES,NA,,,
O08538,Angpt1,YES,NA,,,
Q9R182,Angptl3,YES,NA,,,
Q8R0Z6,Angptl6,YES,NA,,,
Q9CR42,Ankrd1,NA,NA,,,
P10107,Anxa1,NA,NA,,,
D3YTR0,Apc2,NA,NA,,,
P12246,Apcs,YES,NA,,,
Q00623,Apoa1,YES,NA,,,
P09813,Apoa2,YES,NA,,,
P06728,Apoa4,YES,NA,,,
Q8C7G5,Apoa5,YES,NA,,,
E9Q414,Apob,YES,NA,,,
P34928,Apoc1,YES,NA,,,
Q05020,Apoc2,YES,NA,,,
E9QP56,Apoc3,NA,NA,,,
Q61268,Apoc4,YES,NA,,,
P08226,Apoe,YES,NA,,,
Q91V80,Apof,YES,NA,,,
Q01339,Apoh,YES,NA,,,
Q9Z1R3,Apom,YES,NA,,,
F6VAN0,Atf6,NA,NA,,,
G3UX19,Atf6b,NA,NA,,,
E9PYT3,Atl3,NA,YES,,,
Q3TYU2,Atp13a5,NA,YES,,,
Q9WU60,Atrn,NA,YES,,,
Q64726,Azgp1,YES,NA,,,
P01887,B2m,YES,NA,,,
Q9Z222,B3GNT2,NA,NA,,,
Q3U129,B3gntl1,NA,NA,,,
Q09200,B4galnt1,YES,NA,,,
P15535,B4galt1,NA,NA,,,
Q8BWP8,B4gat1,NA,NA,,,
Q03311,Bche,YES,NA,,,
P28653,Bgn,YES,NA,,,
P98063,Bmp1,YES,NA,,,
E9PZ26,Brd1,NA,NA,,,
Q8CIF4,Btd,YES,NA,,,
P98086,C1qa,YES,NA,,,
P14106,C1qb,YES,NA,,,
Q02105,C1qc,YES,NA,,,
D3YZ61,C1qtnf3,YES,NA,,,
Q8CG16,C1ra,YES,NA,,,
Q3UZ09,C1rl,NA,NA,,,
E9Q6C2,C1s1,YES,NA,,,
Q8CG14,C1sa,YES,NA,,,
P21180,C2,YES,NA,,,
A0A0F6QNP7,C3,YES,NA,,,
P01029,C4b,YES,NA,,,
