PlexesSearchedTogether_correct, 126:127, NoBirA_6Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 126:128, NoBirA_6Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 126:129, NoBirA_6Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 126:130, NoBirA_6Combo:BirA/Cre_2Combo	PlexesSearchedTogether_correct, 126:131, NoBirA_6Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 127:126, BirA/Cre_3Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 127:128, BirA/Cre_3Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 127:129, BirA/Cre_3Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 127:130, BirA/Cre_3Combo:BirA/Cre_2Combo	PlexesSearchedTogether_correct, 127:131, BirA/Cre_3Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 128:126, NoBirA_4Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 128:127, NoBirA_4Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 128:129, NoBirA_4Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 128:130, NoBirA_4Combo:BirA/Cre_2Combo	PlexesSearchedTogether_correct, 128:131, NoBirA_4Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 129:126, NoBirA_5Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 129:127, NoBirA_5Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 129:128, NoBirA_5Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 129:130, NoBirA_5Combo:BirA/Cre_2Combo	PlexesSearchedTogether_correct, 129:131, NoBirA_5Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 130:126, BirA/Cre_2Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 130:127, BirA/Cre_2Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 130:128, BirA/Cre_2Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 130:129, BirA/Cre_2Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 130:131, BirA/Cre_2Combo:BirA/Cre_1Combo	PlexesSearchedTogether_correct, 131:126, BirA/Cre_1Combo:NoBirA_6Combo	PlexesSearchedTogether_correct, 131:127, BirA/Cre_1Combo:BirA/Cre_3Combo	PlexesSearchedTogether_correct, 131:128, BirA/Cre_1Combo:NoBirA_4Combo	PlexesSearchedTogether_correct, 131:129, BirA/Cre_1Combo:NoBirA_5Combo	PlexesSearchedTogether_correct, 131:130, BirA/Cre_1Combo:BirA/Cre_2Combo	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	PlexesSearchedTogether_correct unique_peptides	PlexesSearchedTogether_correct numSpectra	PlexesSearchedTogether_correct totalIntensity	PlexesSearchedTogether_correct pct_cov
-5.376	0.292	1.229	-4.83	-5.106	5.376	5.316	6.107	0.569	0.266	-0.292	-5.316	0.021	-4.791	-5.063	-1.229	-6.107	-0.021	-5.514	-5.828	4.83	-0.569	4.791	5.514	-0.307	5.106	-0.266	5.063	5.828	0.307	E9Q414	E9Q414	Apob	1	2206	277	277	E9Q414	MOUSE	510791.9	55.2	1	1.1	4364.47	4364.47		4505	Apolipoprotein B-100	extracellular region|cytoplasm|endoplasmic reticulum|Golgi apparatus|plasma membrane|vesicle membrane|actin cytoskeleton|vesicle lumen|mature chylomicron|very-low-density lipoprotein particle|low-density lipoprotein particle|intermediate-density lipoprotein particle|chylomicron|neuronal cell body|extracellular exosome|	in utero embryonic development|lipid metabolic process|triglyceride mobilization|spermatogenesis|nervous system development|cholesterol metabolic process|fertilization|response to virus|response to carbohydrate|post-embryonic development|response to selenium ion|positive regulation of gene expression|positive regulation of macrophage derived foam cell differentiation|positive regulation of lipid storage|positive regulation of cholesterol storage|lipid catabolic process|triglyceride catabolic process|cholesterol transport|sperm motility|response to lipopolysaccharide|cholesterol efflux|low-density lipoprotein particle remodeling|low-density lipoprotein particle clearance|lipoprotein metabolic process|lipoprotein biosynthetic process|lipoprotein catabolic process|cholesterol homeostasis|lipoprotein transport|regulation of cholesterol biosynthetic process|artery morphogenesis|cellular response to tumor necrosis factor|cellular response to prostaglandin stimulus|	phospholipid binding|heparin binding|cholesterol transporter activity|lipase binding|low-density lipoprotein particle receptor binding|	277	2206	2.74e+12	55.2%
-5.558	0.312	0.928	-5.117	-5.603	5.558	5.24	6.145	0.481	-0.087	-0.312	-5.24	0.189	-4.845	-5.347	-0.928	-6.145	-0.189	-5.54	-6.075	5.117	-0.481	4.845	5.54	-0.541	5.603	0.087	5.347	6.075	0.541	P01027	P01027	C3	1	2121	185	162	P01027|P01027-2|Q2UVX4|G3X7A5	MOUSE	188021	90.3	2	2.1	3125.9	2801.99		1663	Complement C3	extracellular space|extracellular exosome|blood microparticle|	positive regulation of type IIa hypersensitivity|positive regulation of protein phosphorylation|positive regulation of activation of membrane attack complex|tolerance induction|fatty acid metabolic process|inflammatory response|complement activation|complement activation, alternative pathway|complement activation, classical pathway|blood coagulation|positive regulation of vascular endothelial growth factor production|positive regulation of glucose transport|regulation of triglyceride biosynthetic process|positive regulation of lipid storage|negative regulation of endopeptidase activity|response to magnesium ion|response to estradiol|response to progesterone|positive regulation of G-protein coupled receptor protein signaling pathway|positive regulation of angiogenesis|positive regulation of developmental growth|positive regulation of phagocytosis|response to glucocorticoid|positive regulation of ERK1 and ERK2 cascade|positive regulation of apoptotic cell clearance|	endopeptidase inhibitor activity|protein binding|lipid binding|C5L2 anaphylatoxin chemotactic receptor binding|cofactor binding|	186	2121	6.9e+12	90.3%
						5.157		0.365	-0.259		-5.157		-4.764	-5.646							-0.365	4.764		-0.624		0.259	5.646		0.624	A0A0F6QNP7	A0A0F6QNP7	C3	1	2	26	1	A0A0F6QNP7	BOVIN	188719.1	10	2	2.2	348.51	7.96		1661	Complement component 3				1	2	17800000	0.6%
-5.409	0.038	0.542	-5.036	-5.136	5.409	5.313	5.894	0.1	0.199	-0.038	-5.313	0.187	-5.106	-5.063	-0.542	-5.894	-0.187	-5.569	-5.651	5.036	-0.1	5.106	5.569	0.1	5.136	-0.199	5.063	5.651	-0.1	Q61838	Q61838	Pzp	1	4113	148	143	Q61838	MOUSE	167218.8	75.7	3	3.1	2782.24	2702.38		1495	Pregnancy zone protein	extracellular region|extracellular space|	embryo implantation|negative regulation of endopeptidase activity|	serine-type endopeptidase inhibitor activity|protein complex binding|	148	4113	1.91e+14	75.7%
-6.428	-0.579	-1.419	-2.933	-2.86	6.428	4.466	4.055	3.509	3.333	0.579	-4.466	2.313	0.045	-0.251	1.419	-4.055	-2.313	-1.66	-1.772	2.933	-3.509	-0.045	1.66	0.012	2.86	-3.333	0.251	1.772	-0.012	F1MI18	F1MI18		1	8	9	4	F1MI18|F1MJK3	BOVIN	167182.2	6.9	3	3.2	108.18	28.32		1478	Uncharacterized protein				4	8	2.48e+08	3.9%
-3.172	2.075	2.6	-3.682	-1.496	3.172	5.168	5.205	-0.475	1.623	-2.075	-5.168	-0.021	-5.605	-3.655	-2.6	-5.205	0.021	-5.729	-3.798	3.682	0.475	5.605	5.729	2.107	1.496	-1.623	3.655	3.798	-2.107	A0A087WSN6	A0A087WSN6	Fn1	1	1003	120	120	A0A087WSN6|B9EHT6|A0A087WR50|Q3UHL6|P11276|B7ZNJ1|A0A087WS56|Q4KL80	MOUSE	256658.4	60.7	4	4.1	1990.99	1990.99		2296	Fibronectin	fibrinogen complex|proteinaceous extracellular matrix|basement membrane|basal lamina|extracellular space|endoplasmic reticulum-Golgi intermediate compartment|apical plasma membrane|extracellular matrix|extracellular exosome|blood microparticle|extracellular matrix|	regulation of protein phosphorylation|cell-substrate junction assembly|cell adhesion|cell-matrix adhesion|calcium-independent cell-matrix adhesion|positive regulation of cell proliferation|positive regulation of gene expression|positive regulation of peptidase activity|peptide cross-linking|integrin activation|substrate adhesion-dependent cell spreading|endodermal cell differentiation|wound healing|positive regulation of axon extension|positive regulation of fibroblast proliferation|regulation of ERK1 and ERK2 cascade|positive regulation of substrate-dependent cell migration, cell attachment to substrate|negative regulation of transforming growth factor-beta secretion|	protease binding|integrin binding|protein binding|peptidase activator activity|	120	1003	9.56e+11	60.7%
-5.669	0.186	1.054	-5.215	-5.224	5.669	5.494	6.545	0.481	0.447	-0.186	-5.494	-0.078	-5.072	-5.158	-1.054	-6.545	0.078	-6.054	-6.056	5.215	-0.481	5.072	6.054	-0.018	5.224	-0.447	5.158	6.056	0.018	P06684	P06684	C5	1	1072	131	131	P06684|A0A0J9YUU3	MOUSE	190586.2	61	5	5.1	1982.7	1982.7		1680	Complement C5	membrane attack complex|extracellular space|extracellular exosome|	in utero embryonic development|inflammatory response|complement activation, alternative pathway|complement activation, classical pathway|positive regulation of vascular endothelial growth factor production|negative regulation of macrophage chemotaxis|negative regulation of endopeptidase activity|cytolysis|positive regulation of angiogenesis|positive regulation of chemokine secretion|activation of mitophagy in response to mitochondrial depolarization|	endopeptidase inhibitor activity|	131	1072	1.8e+12	61.0%
-5.753	-0.064	0.724	-5.191	-5.237	5.753	5.459	6.117	0.502	0.454	0.064	-5.459	0.301	-5.032	-5.091	-0.724	-6.117	-0.301	-5.663	-5.632	5.191	-0.502	5.032	5.663	-0.02	5.237	-0.454	5.091	5.632	0.02	P28665	P28665	Mug1	1	1351	108	52	P28665	MOUSE	166721	62.1	6	6.1	1825.68	971.3		1476	Murinoglobulin-1	extracellular space|	embryo implantation|negative regulation of endopeptidase activity|	serine-type endopeptidase inhibitor activity|	108	1351	3.13e+12	62.1%
-4.427	-0.541	1.089	-4.628	-4.997	4.427	4.03	5.836	0.003	-0.277	0.541	-4.03	0.048	-3.562	-3.791	-1.089	-5.836	-0.048	-5.541	-5.818	4.628	-0.003	3.562	5.541	-0.247	4.997	0.277	3.791	5.818	0.247	P28666	P28666	Mug2	1	30	63	15	P28666	MOUSE	163805.4	39.2	6	6.2	912.37	179.67		1451	Murinoglobulin-2	extracellular space|	negative regulation of endopeptidase activity|	serine-type endopeptidase inhibitor activity|	15	30	1.47e+09	11.5%
-6.055		1.362	-5.672	-5.506	6.055	7.343	5.177	0.383	0.548		-7.343		-7.202	-8.389	-1.362	-5.177		-4.553	-4.524	5.672	-0.383	7.202	4.553	-0.025	5.506	-0.548	8.389	4.524	0.025	A0A0N4SVU1	A0A0N4SVU1	Gm7298	1	6	40	2	A0A0N4SVU1	MOUSE	166767.7	24.3	6	6.3	566.2	14.9		1476	Predicted gene 7298				2	6	99800000	1.2%
