id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,Amanda_newDatabase..126.126.127.128.129.130.131..NoBirA_6.multimedian,Amanda_newDatabase..128.126.127.128.129.130.131..NoBirA_4.multimedian,Amanda_newDatabase..129.126.127.128.129.130.131..NoBirA_5.multimedian,Amanda_newDatabase..127.126.127.128.129.130.131..BirA.Cre_3.multimedian,Amanda_newDatabase..130.126.127.128.129.130.131..BirA.Cre_2.multimedian,Amanda_newDatabase..131.126.127.128.129.130.131..BirA.Cre_1.multimedian,id.query,id.mapped,id.concat,accession_number,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,Amanda_newDatabase.unique_peptides,Amanda_newDatabase.numSpectra,Amanda_newDatabase.totalIntensity,Amanda_newDatabase.pct_cov
E9Q414,0.604460486,-0.02875,4.101129623,0.2555,0.388943965,0.928661363,-0.4825,-0.207,0.22,0.212,-0.11,0.195,E9Q414,Apob,E9Q414_Apob,E9Q414,Apob,1,1087,250,250,E9Q414,MOUSE,510791.9,51.4,1,1.1,3841.73,3841.73,,4505,Apolipoprotein B-100,extracellular region|cytoplasm|endoplasmic reticulum|Golgi apparatus|plasma membrane|vesicle membrane|actin cytoskeleton|vesicle lumen|mature chylomicron|very-low-density lipoprotein particle|low-density lipoprotein particle|intermediate-density lipoprotein particle|chylomicron|neuronal cell body|extracellular exosome|,in utero embryonic development|lipid metabolic process|triglyceride mobilization|spermatogenesis|nervous system development|cholesterol metabolic process|fertilization|response to virus|response to carbohydrate|post-embryonic development|response to selenium ion|positive regulation of gene expression|positive regulation of macrophage derived foam cell differentiation|positive regulation of lipid storage|positive regulation of cholesterol storage|lipid catabolic process|triglyceride catabolic process|cholesterol transport|sperm motility|response to lipopolysaccharide|cholesterol efflux|low-density lipoprotein particle remodeling|low-density lipoprotein particle clearance|lipoprotein metabolic process|lipoprotein biosynthetic process|lipoprotein catabolic process|cholesterol homeostasis|lipoprotein transport|regulation of cholesterol biosynthetic process|artery morphogenesis|cellular response to tumor necrosis factor|cellular response to prostaglandin stimulus|,phospholipid binding|heparin binding|cholesterol transporter activity|lipase binding|low-density lipoprotein particle receptor binding|,250,1087,1.13E+12,51.4%
P01027,0.315406172,-0.09575,10.15797667,0.578166667,0.096427817,1.969906794,-0.7755,-0.188,-0.191,0.192,-0.107,0.495,P01027,C3,P01027_C3,P01027,C3,1,1123,179,156,P01027|P01027-2|Q2UVX4|G3X7A5,MOUSE,188021,88.2,2,2.1,2935.15,2624.27,,1663,Complement C3,extracellular space|extracellular exosome|blood microparticle|,"positive regulation of type IIa hypersensitivity|positive regulation of protein phosphorylation|positive regulation of activation of membrane attack complex|tolerance induction|fatty acid metabolic process|inflammatory response|complement activation|complement activation, alternative pathway|complement activation, classical pathway|blood coagulation|positive regulation of vascular endothelial growth factor production|positive regulation of glucose transport|regulation of triglyceride biosynthetic process|positive regulation of lipid storage|negative regulation of endopeptidase activity|response to magnesium ion|response to estradiol|response to progesterone|positive regulation of G-protein coupled receptor protein signaling pathway|positive regulation of angiogenesis|positive regulation of developmental growth|positive regulation of phagocytosis|response to glucocorticoid|positive regulation of ERK1 and ERK2 cascade|positive regulation of apoptotic cell clearance|",endopeptidase inhibitor activity|protein binding|lipid binding|C5L2 anaphylatoxin chemotactic receptor binding|cofactor binding|,180,1123,3.95E+12,88.2%
A0A0F6QNP7,0.174726314,-0.25775,15.86810269,1.343,0.025893439,3.460361,,-1.265,,-0.017,-0.066,0.317,A0A0F6QNP7,NotFound,A0A0F6QNP7_NotFound,A0A0F6QNP7,C3,1,1,25,1,A0A0F6QNP7,BOVIN,188719.1,9.4,2,2.2,329.19,6.23,,1661,Complement component 3,,,,1,1,11900000,0.6%
Q61838,0.555101425,-0.11475,4.774939855,0.316833333,0.333047375,1.052747207,-0.7935,-0.149,0.123,-0.024,0.075,0.08,Q61838,NotFound,Q61838_NotFound,Q61838,Pzp,1,2114,146,141,Q61838,MOUSE,167218.8,73.9,3,3.1,2637.49,2559.86,,1495,Pregnancy zone protein,extracellular region|extracellular space|,embryo implantation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|protein complex binding|,146,2114,9.17E+13,73.9%
F1MI18,0.425473432,0.798916667,7.021109564,-1.309166667,0.198558756,-1.448206582,1.1515,2.572,0.637,1.938,-0.906,-0.599,F1MI18,NotFound,F1MI18_NotFound,F1MI18,,1,5,9,4,F1MI18|F1MJK3,BOVIN,167182.2,6.9,3,3.2,102.8,25.17,,1478,Uncharacterized protein,,,,4,5,120000000,3.9%
A0A087WSN6,0.758326556,0.756583333,2.104406305,-0.429833333,0.615969728,-0.529223248,2.5565,0.425,-0.067,0.734,1.324,-0.433,A0A087WSN6,Fn1,A0A087WSN6_Fn1,A0A087WSN6,Fn1,1,488,113,113,A0A087WSN6|B9EHT6|A0A087WR50|Q3UHL6|P11276|B7ZNJ1|A0A087WS56|Q4KL80,MOUSE,256658.4,59.1,4,4.1,1819.32,1819.32,,2296,Fibronectin,fibrinogen complex|proteinaceous extracellular matrix|basement membrane|basal lamina|extracellular space|endoplasmic reticulum-Golgi intermediate compartment|apical plasma membrane|extracellular matrix|extracellular exosome|blood microparticle|extracellular matrix|,"regulation of protein phosphorylation|cell-substrate junction assembly|cell adhesion|cell-matrix adhesion|calcium-independent cell-matrix adhesion|positive regulation of cell proliferation|positive regulation of gene expression|positive regulation of peptidase activity|peptide cross-linking|integrin activation|substrate adhesion-dependent cell spreading|endodermal cell differentiation|wound healing|positive regulation of axon extension|positive regulation of fibroblast proliferation|regulation of ERK1 and ERK2 cascade|positive regulation of substrate-dependent cell migration, cell attachment to substrate|negative regulation of transforming growth factor-beta secretion|",protease binding|integrin binding|protein binding|peptidase activator activity|,113,488,3.79E+11,59.1%
P06684,0.315406172,-0.161416667,10.11393677,0.4895,0.097410623,1.962587349,-0.6375,-0.123,-0.458,0.278,-0.044,0.016,P06684,Hc,P06684_Hc,P06684,C5,1,530,117,117,P06684|A0A0J9YUU3,MOUSE,190586.2,56.2,5,5.1,1757.91,1757.91,,1680,Complement C5,membrane attack complex|extracellular space|extracellular exosome|,"in utero embryonic development|inflammatory response|complement activation, alternative pathway|complement activation, classical pathway|positive regulation of vascular endothelial growth factor production|negative regulation of macrophage chemotaxis|negative regulation of endopeptidase activity|cytolysis|positive regulation of angiogenesis|positive regulation of chemokine secretion|activation of mitophagy in response to mitochondrial depolarization|",endopeptidase inhibitor activity|,117,530,7.19E+11,56.2%
P28665,0.745307288,0.005583333,2.299802656,0.2015,0.588870413,0.571201141,-0.7275,0.04,0.402,0.329,-0.09,0.08,P28665,Mug1,P28665_Mug1,P28665,Mug1,1,702,103,50,P28665,MOUSE,166721,61.1,6,6.1,1699.07,904.45,,1476,Murinoglobulin-1,extracellular space|,embryo implantation|negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|,103,702,1.54E+12,61.1%
P28666,0.604895102,-0.0513,4.087057174,0.32325,0.390206305,0.940504528,0.0685,-0.559,,-0.153,0.011,0.376,P28666,Mug2,P28666_Mug2,P28666,Mug2,1,16,54,9,P28666,MOUSE,163805.4,34.1,6,6.2,783.79,109.44,,1451,Murinoglobulin-2,extracellular space|,negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|,9,16,364000000,7.0%
A0A0N4SVU1,0.529819388,-0.010916667,5.122017819,0.285833333,0.307466793,1.115243605,-0.4475,-0.005,-0.009,0.386,0.014,-0.004,A0A0N4SVU1,NotFound,A0A0N4SVU1_NotFound,A0A0N4SVU1,Gm7298,1,3,36,1,A0A0N4SVU1,MOUSE,166767.7,23.6,6,6.3,505.96,8.37,,1476,Predicted gene 7298,,,,1,3,79800000,1.2%
