Liver_Searched, 126:127, No_BirA_4:No_BirA_5	Liver_Searched, 126:128, No_BirA_4:XBirA_2	Liver_Searched, 126:129, No_BirA_4:No_BirA_6	Liver_Searched, 126:130, No_BirA_4:XBirA_3	Liver_Searched, 126:131, No_BirA_4:XBirA_1	Liver_Searched, 127:126, No_BirA_5:No_BirA_4	Liver_Searched, 127:128, No_BirA_5:XBirA_2	Liver_Searched, 127:129, No_BirA_5:No_BirA_6	Liver_Searched, 127:130, No_BirA_5:XBirA_3	Liver_Searched, 127:131, No_BirA_5:XBirA_1	Liver_Searched, 128:126, XBirA_2:No_BirA_4	Liver_Searched, 128:127, XBirA_2:No_BirA_5	Liver_Searched, 128:129, XBirA_2:No_BirA_6	Liver_Searched, 128:130, XBirA_2:XBirA_3	Liver_Searched, 128:131, XBirA_2:XBirA_1	Liver_Searched, 129:126, No_BirA_6:No_BirA_4	Liver_Searched, 129:127, No_BirA_6:No_BirA_5	Liver_Searched, 129:128, No_BirA_6:XBirA_2	Liver_Searched, 129:130, No_BirA_6:XBirA_3	Liver_Searched, 129:131, No_BirA_6:XBirA_1	Liver_Searched, 130:126, XBirA_3:No_BirA_4	Liver_Searched, 130:127, XBirA_3:No_BirA_5	Liver_Searched, 130:128, XBirA_3:XBirA_2	Liver_Searched, 130:129, XBirA_3:No_BirA_6	Liver_Searched, 130:131, XBirA_3:XBirA_1	Liver_Searched, 131:126, XBirA_1:No_BirA_4	Liver_Searched, 131:127, XBirA_1:No_BirA_5	Liver_Searched, 131:128, XBirA_1:XBirA_2	Liver_Searched, 131:129, XBirA_1:No_BirA_6	Liver_Searched, 131:130, XBirA_1:XBirA_3	id	accession_number	geneSymbol	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	orfCategory	sequenceLength	entry_name	cellular_component	biological_process	molecular_function	Liver_Searched unique_peptides	Liver_Searched numSpectra	Liver_Searched totalIntensity	Liver_Searched pct_cov
0.074	0.0795	0.889	-0.147	-0.0055	-0.074	0.028	0.802	-0.231	-0.0865	-0.0795	-0.028	0.778	-0.214	-0.0645	-0.889	-0.802	-0.778	-1.042	-0.8695	0.147	0.231	0.214	1.042	0.127	0.0055	0.0865	0.0645	0.8695	-0.127	Q8VDD5	Q8VDD5	Myh9	1	2802	342	273	Q8VDD5|F2Z494|A2AQP0|B1AR69|E9Q264	MOUSE	227566.2	85	1	1.1	5253.84	4294.33		1960	Myosin-9	stress fiber|ruffle|uropod|nucleus|cytoplasm|actomyosin contractile ring|cytosol|plasma membrane|brush border|cell-cell adherens junction|cell cortex|actin cytoskeleton|membrane|myosin complex|myosin II complex|cortical cytoskeleton|cell leading edge|cleavage furrow|actomyosin|protein complex|extracellular exosome|myosin II filament|immunological synapse|spindle|plasma membrane|focal adhesion|COP9 signalosome|integrin complex|neuromuscular junction|	meiotic spindle organization|cell morphogenesis involved in differentiation|cytokinesis|angiogenesis|in utero embryonic development|establishment of T cell polarity|membrane protein ectodomain proteolysis|phagocytosis, engulfment|cell adhesion|myoblast fusion|regulation of cell shape|protein transport|single organismal cell-cell adhesion|actin filament-based movement|platelet formation|monocyte differentiation|actomyosin structure organization|actin cytoskeleton reorganization|uropod organization|blood vessel endothelial cell migration|establishment of meiotic spindle localization|platelet aggregation|negative regulation of actin filament severing|positive regulation of protein processing in phagocytic vesicle|actin filament polymerization|actin filament capping|	microfilament motor activity|actin binding|protein binding|calmodulin binding|ATP binding|ATPase activity|protein domain specific binding|actin-dependent ATPase activity|protein homodimerization activity|protein anchor|ADP binding|poly(A) RNA binding|actin filament binding|	343	2802	1.12e+13	85.0%
-1.043	-1.1935	0.527	-0.468	-1.1565	1.043	-0.215	1.582	0.55	-0.1535	1.1935	0.215	1.631	0.828	0.1285	-0.527	-1.582	-1.631	-0.967	-1.7075	0.468	-0.55	-0.828	0.967	-0.708	1.1565	0.1535	-0.1285	1.7075	0.708	E9QPE7	E9QPE7	Myh11	1	50	234	13	E9QPE7	MOUSE	224209.2	76.9	1	1.2	3358.94	219.28		1938	Myosin-11	myosin complex|extracellular exosome|	metabolic process|elastic fiber assembly|cardiac muscle fiber development|regulation of mitochondrion degradation|	motor activity|actin binding|ATP binding|structural constituent of muscle|	13	50	3.54e+10	5.6%
-0.533	-0.3265	0.266	-0.369	-0.5525	0.533	0.293	0.843	0.419	-0.1105	0.3265	-0.293	0.612	0.242	-0.2845	-0.266	-0.843	-0.612	-0.631	-0.8955	0.369	-0.419	-0.242	0.631	-0.363	0.5525	0.1105	0.2845	0.8955	0.363	O08638	O08638	Myh11	1	20	222	7	O08638	MOUSE	227879.9	73.1	1	1.3	3111.83	91.01		1972	Myosin-11	stress fiber|muscle myosin complex|brush border|myosin complex|myofibril|smooth muscle contractile fiber|myosin filament|melanosome|extracellular exosome|	smooth muscle contraction|metabolic process|skeletal muscle myosin thick filament assembly|elastic fiber assembly|cardiac muscle fiber development|activation of mitophagy in response to mitochondrial depolarization|	motor activity|actin binding|calmodulin binding|ATP binding|structural constituent of muscle|	7	20	8.62e+09	2.4%
-0.263	0.1505	0.808	-0.281	-0.1135	0.263	0.429	1.095	-0.012	0.1485	-0.1505	-0.429	0.611	-0.423	-0.2385	-0.808	-1.095	-0.611	-1.12	-0.8855	0.281	0.012	0.423	1.12	0.151	0.1135	-0.1485	0.2385	0.8855	-0.151	Q3UH59	Q3UH59	Myh10	1	311	182	113	Q3UH59|Q61879|Q5SV64|Q8BXF2	MOUSE	234472.2	65.7	1	1.4	2489.89	1586.46		2013	Myosin-10	stress fiber|nucleus|cytoplasm|mitochondrion|cell cortex|actin cytoskeleton|myosin complex|myosin II complex|axon|growth cone|midbody|cleavage furrow|actomyosin|neuron projection|neuronal cell body|dendritic spine|extracellular exosome|myosin II filament|spindle|plasma membrane|neuromuscular junction|	mitotic cytokinesis|in utero embryonic development|neuron migration|plasma membrane repair|exocytosis|substrate-dependent cell migration, cell extension|nuclear migration|axonogenesis|axon guidance|brain development|adult heart development|metabolic process|cell proliferation|regulation of cell shape|fourth ventricle development|lateral ventricle development|third ventricle development|cerebellar Purkinje cell layer development|actin cytoskeleton organization|actin filament-based movement|myofibril assembly|actomyosin structure organization|neuron projection development|neuromuscular process controlling balance|cardiac myofibril assembly|ventricular cardiac muscle cell development|retina development in camera-type eye|	microfilament motor activity|protein binding|ATP binding|actin-dependent ATPase activity|ADP binding|actin filament binding|	113	311	1.15e+11	48.6%
-0.005	-0.1505	0.431	-0.415	-0.3205	0.005	-0.129	0.21	-0.26	-0.3245	0.1505	0.129	0.389	-0.144	-0.1945	-0.431	-0.21	-0.389	-0.653	-0.6745	0.415	0.26	0.144	0.653	-0.048	0.3205	0.3245	0.1945	0.6745	0.048	Q6URW6	Q6URW6	Myh14	1	9	140	3	Q6URW6|K3W4R2	MOUSE	229494.5	56.5	1	1.5	1974.38	42.03		2000	Myosin-14	stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|	skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|	microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|	3	9	6.95e+08	1.0%
0.092	-0.2305	0.506	-0.275	-0.3685	-0.092	-0.382	0.807	-0.447	-0.5525	0.2305	0.382	0.689	-0.022	-0.1875	-0.506	-0.807	-0.689	-0.712	-0.8705	0.275	0.447	0.022	0.712	-0.176	0.3685	0.5525	0.1875	0.8705	0.176	Q6URW6-2	Q6URW6-2	Myh14	1	6	139	2	Q6URW6-2|Q6URW6-3	MOUSE	228667.6	56.3	1	1.6	1954.93	22.58		2000	Isoform 2 of Myosin-14	stress fiber|cytoplasm|brush border|membrane|myosin complex|myosin II complex|axon|growth cone|actomyosin|myelin sheath|extracellular exosome|myosin II filament|	skeletal muscle contraction|skeletal muscle tissue development|sensory perception of sound|metabolic process|regulation of cell shape|neuronal action potential|actin filament-based movement|actomyosin structure organization|mitochondrion morphogenesis|vocalization behavior|	microfilament motor activity|calmodulin binding|ATP binding|actin-dependent ATPase activity|actin filament binding|actin-dependent ATPase activity|actin filament binding|	2	6	5.41e+08	0.6%
0.034	0.3175	0.673	0.278	0.5435	-0.034	0.283	0.647	0.237	0.5345	-0.3175	-0.283	0.327	-0.021	0.2515	-0.673	-0.647	-0.327	-0.367	-0.1075	-0.278	-0.237	0.021	0.367	0.281	-0.5435	-0.5345	-0.2515	0.1075	-0.281	Q8C196	Q8C196	Cps1	1	3698	193	193	Q8C196	MOUSE	165813.2	88	2	2.1	3323.4	3323.4		1500	Carbamoyl-phosphate synthase [ammonia], mitochondrial	nucleolus|cytoplasm|mitochondrion|mitochondrial inner membrane|mitochondrial nucleoid|protein complex|	urea cycle|glycogen catabolic process|'de novo' pyrimidine nucleobase biosynthetic process|proteolysis|arginine biosynthetic process|glutamine metabolic process|midgut development|response to toxic substance|response to zinc ion|response to amine|triglyceride catabolic process|response to food|response to lipopolysaccharide|response to drug|response to starvation|response to amino acid|cellular response to fibroblast growth factor stimulus|positive regulation of vasodilation|nitric oxide metabolic process|homocysteine metabolic process|anion homeostasis|response to growth hormone|hepatocyte differentiation|carbamoyl phosphate biosynthetic process|cellular response to cAMP|cellular response to glucagon stimulus|cellular response to oleic acid|response to dexamethasone|	carbamoyl-phosphate synthase (ammonia) activity|carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity|endopeptidase activity|calcium ion binding|protein binding|ATP binding|phospholipid binding|glutamate binding|protein complex binding|modified amino acid binding|	193	3698	1.12e+14	88.0%
0.139	0.1735	0.094	0.311	0.3255	-0.139	0.045	-0.069	0.15	0.1695	-0.1735	-0.045	-0.092	0.151	0.1515	-0.094	0.069	0.092	0.215	0.2135	-0.311	-0.15	-0.151	-0.215	0.012	-0.3255	-0.1695	-0.1515	-0.2135	-0.012	Q9JHU4	Q9JHU4	Dync1h1	1	666	218	218	Q9JHU4	MOUSE	534774.4	51.4	3	3.1	3031.9	3031.9		4644	Cytoplasmic dynein 1 heavy chain 1	cytoplasm|centrosome|cytoplasmic dynein complex|microtubule|membrane|filopodium|extracellular exosome|	cilium movement|transport|metabolic process|cytoplasmic mRNA processing body assembly|stress granule assembly|establishment of spindle localization|	microtubule motor activity|protein binding|ATP binding|ATPase activity|poly(A) RNA binding|dynein light intermediate chain binding|	218	666	5.37e+11	51.4%
-0.275	-0.2185	0.023	-0.654	-0.5855	0.275	0.058	0.245	-0.401	-0.3385	0.2185	-0.058	0.244	-0.394	-0.3475	-0.023	-0.245	-0.244	-0.635	-0.5995	0.654	0.401	0.394	0.635	0.054	0.5855	0.3385	0.3475	0.5995	-0.054	Q9QXS1	Q9QXS1	Plec	1	575	232	227	Q9QXS1|Q9QXS1-2|Q9QXS1-8|Q9QXS1-7|Q9QXS1-6|Q9QXS1-14|Q9QXS1-4|Q9QXS1-16|Q9QXS1-5|Q9QXS1-3|Q9QXS1-13|Q9QXS1-11|Q9QXS1-12|Q9QXS1-9|Q9QXS1-10|Q9QXS1-15|E9Q3W4	MOUSE	536118	52.8	4	4.1	2963.28	2894.71		4691	Plectin	cytoplasm|brush border|focal adhesion|hemidesmosome|sarcolemma|contractile fiber|intermediate filament cytoskeleton|extracellular exosome|	hemidesmosome assembly|	actin binding|protein binding|structural constituent of muscle|ankyrin binding|poly(A) RNA binding|	232	575	1.92e+11	53.0%
-0.081	-0.1895	-0.329	-0.509	-0.5235	0.081	-0.097	-0.251	-0.433	-0.4295	0.1895	0.097	-0.07	-0.27	-0.2205	0.329	0.251	0.07	-0.227	-0.2065	0.509	0.433	0.27	0.227	0.013	0.5235	0.4295	0.2205	0.2065	-0.013	Q8R0W0	Q8R0W0	Eppk1	1	136	68	65	Q8R0W0|E9QPN6|Q3ULM0	MOUSE	727450.5	12.4	4	4.2	817.32	764.05		6548	Epiplakin	cytoplasm|cytoskeleton|		poly(A) RNA binding|	65	136	2.29e+10	12.1%
