"","id","adj.P.Val.xBirA.over.NoBirA","AveExpr.xBirA.over.NoBirA","Log.P.Value.xBirA.over.NoBirA","logFC.xBirA.over.NoBirA","P.Value.xBirA.over.NoBirA","t.xBirA.over.NoBirA","Liver_Searched..126.126.127.128.129.130.131..No_BirA_4.multimedian","Liver_Searched..127.126.127.128.129.130.131..No_BirA_5.multimedian","Liver_Searched..129.126.127.128.129.130.131..No_BirA_6.multimedian","Liver_Searched..128.126.127.128.129.130.131..XBirA_2.multimedian","Liver_Searched..130.126.127.128.129.130.131..XBirA_3.multimedian","Liver_Searched..131.126.127.128.129.130.131..XBirA_1.multimedian","id.query","id.mapped","id.concat","accession_number","geneSymbol","numColumnsProteinObserved","numSpectraProteinObserved","numPepsUnique","numPepsUniqueSubgroupSpecificCI","accession_numbers","species","protein_mw","percentCoverage","groupNum","subgroupNum","scoreUnique","scoreUniqueSubgroupSpecificCI","orfCategory","sequenceLength","entry_name","cellular_component","biological_process","molecular_function","Liver_Searched.unique_peptides","Liver_Searched.numSpectra","Liver_Searched.totalIntensity","Liver_Searched.pct_cov"
"72","Q8BHN3",4.02341e-05,-0.9545,71.69069755,3.863666667,6.77533e-08,26.87317831,-2.675,-2.81,-3.174,0.865,1.008,1.059,"Q8BHN3","Ganab","Q8BHN3_Ganab","Q8BHN3","Ganab",1,11,60,2,"Q8BHN3","MOUSE",107365.6,62,47,47.2,921.27,33.49,NA,944,"Neutral alpha-glucosidase AB","endoplasmic reticulum|Golgi apparatus|membrane|glucosidase II complex|melanosome|extracellular exosome|","N-glycan processing|","protein binding|glucosidase activity|carbohydrate binding|glucan 1,3-alpha-glucosidase activity|poly(A) RNA binding|",2,11,1.17e+10,"5.0%"
"1051","Q8VC81",8.03584e-05,-0.604,64.70693215,3.246666667,3.38304e-07,20.91880865,-2.28,-2.377,-2.025,0.824,1.295,0.939,"Q8VC81","Pla2g12b","Q8VC81_Pla2g12b","Q8VC81","Pla2g12b",1,35,11,11,"Q8VC81|Q99P27","MOUSE",22577.4,71.7,819,819.1,176.24,176.24,NA,195,"Group XIIB phospholipase A2-like protein","extracellular region|","lipid catabolic process|cholesterol homeostasis|triglyceride homeostasis|","phospholipase A2 activity|calcium ion binding|",11,35,1.48e+10,"71.7%"
"46","P09103",2.00376e-05,-0.6745,82.49969266,3.189666667,5.62381e-09,38.42576622,-2.214,-2.234,-2.36,0.882,0.895,0.984,"P09103","P4hb","P09103_P4hb","P09103","P4hb",1,503,74,72,"P09103|P05307|A6H7J6|E9Q8G8","MOUSE",57456.8,85.8,28,28.1,1178.33,1157.15,NA,509,"Protein disulfide-isomerase","endoplasmic reticulum|endoplasmic reticulum lumen|endoplasmic reticulum-Golgi intermediate compartment|focal adhesion|external side of plasma membrane|procollagen-proline 4-dioxygenase complex|endoplasmic reticulum chaperone complex|melanosome|extracellular exosome|","protein folding|peptidyl-proline hydroxylation to 4-hydroxy-L-proline|response to endoplasmic reticulum stress|cell redox homeostasis|cellular response to hypoxia|regulation of oxidative stress-induced intrinsic apoptotic signaling pathway|","protein disulfide isomerase activity|integrin binding|protein binding|enzyme binding|poly(A) RNA binding|protein heterodimerization activity|procollagen-proline 4-dioxygenase activity|peptidyl-proline 4-dioxygenase activity|",74,503,1.86e+12,"85.8%"
"3317","A2ARZ3",0.000181344,-0.539,57.61832927,3.17,1.73048e-06,16.19505956,-1.787,-2.361,-2.224,0.748,1.273,1.117,"A2ARZ3","NotFound","A2ARZ3_NotFound","A2ARZ3","Fsip2",1,8,2,2,"A2ARZ3","MOUSE",790434.4,0.3,3074,3074.1,16.63,16.63,NA,6995,"Fibrous sheath-interacting protein 2","mitochondrion|motile cilium|","","protein binding|",2,8,1.59e+10,"0.3%"
"428","O08795-2",4.02341e-05,-0.661666667,71.90707457,3.104666667,6.44603e-08,27.0820387,-2.036,-2.199,-2.407,0.821,0.882,0.969,"O08795","Prkcsh","O08795-2_Prkcsh","O08795-2","Prkcsh",1,143,25,25,"O08795-2|O08795","MOUSE",60528.5,41.6,298,298.1,391.14,391.14,NA,521,"Isoform 2 of Glucosidase 2 subunit beta","endoplasmic reticulum|","in utero embryonic development|liver development|N-glycan processing|nitrogen compound metabolic process|negative regulation of neuron projection development|protein heterooligomerization|renal system development|","RNA binding|protein kinase C binding|calcium ion binding|protein binding|ion channel binding|phosphoprotein binding|",25,143,3.41e+11,"41.6%"
"926","P24668",3.85613e-05,-0.605666667,74.04006926,2.98,3.94451e-08,28.88930502,-1.985,-2.015,-2.287,0.893,0.892,0.868,"P24668","M6pr","P24668_M6pr","P24668","M6pr",1,39,13,13,"P24668","MOUSE",31685.3,47.1,710,710.1,197.86,197.86,NA,278,"Cation-dependent mannose-6-phosphate receptor","lysosomal membrane|endosome|late endosome|membrane|integral component of membrane|perinuclear region of cytoplasm|","intracellular protein transport|mannose transport|","mannose transmembrane transporter activity|",13,39,4.01e+10,"47.1%"
"87","Q8VCT4",9.63218e-05,-0.415833333,62.4587172,2.863,5.67712e-07,19.29223839,-1.782,-1.872,-1.888,0.77,1.325,0.952,"Q8VCT4","Ces1d","Q8VCT4_Ces1d","Q8VCT4","Ces1d",1,318,50,47,"Q8VCT4","MOUSE",62071.9,72.5,56,56.1,883.52,834.41,NA,565,"Carboxylesterase 1D","endoplasmic reticulum|endoplasmic reticulum lumen|lipid particle|cytosol|","acyl-CoA metabolic process|response to toxic substance|lipid catabolic process|short-chain fatty acid catabolic process|epithelial cell differentiation|very-low-density lipoprotein particle assembly|acylglycerol catabolic process|","sterol esterase activity|triglyceride lipase activity|fatty-acyl-ethyl-ester synthase activity|carboxylic ester hydrolase activity|",50,318,9.17e+11,"72.5%"
"2916","Q8C341-2",0.015939601,-0.679166667,29.65523,2.859666667,0.001082622,5.579503545,-1.724,-1.242,-3.361,0.602,0.764,0.886,"Q8C341","Suco","Q8C341-2_Suco","Q8C341-2","Suco",1,2,2,2,"Q8C341-2|Q8C341","MOUSE",140779.6,2.4,2611,2611.1,25.88,25.88,NA,1250,"Isoform 2 of SUN domain-containing ossification factor","rough endoplasmic reticulum|membrane|integral component of membrane|rough endoplasmic reticulum membrane|","multicellular organismal development|positive regulation of collagen biosynthetic process|positive regulation of osteoblast differentiation|regulation of bone remodeling|","",2,2,27800000,"2.4%"
"938","Q3TMX5",8.03584e-05,-0.519166667,65.41693977,2.832333333,2.8728e-07,21.45967986,-2.064,-1.735,-2.007,0.755,0.846,1.09,"Q3TMX5","Manf","Q3TMX5_Manf","Q3TMX5","Manf",1,61,13,13,"Q3TMX5|Q80ZP8|Q9CXI5","MOUSE",20843.8,49.7,720,720.1,195.89,195.89,NA,179,"Arginine-rich, mutated in early stage tumors, isoform CRA_b","extracellular space|nucleus|endoplasmic reticulum|perinuclear region of cytoplasm|","vasoconstriction of artery involved in ischemic response to lowering of systemic arterial blood pressure|","poly(A) RNA binding|",13,61,5.69e+10,"49.7%"
"3133","Q9EPR2",5.50868e-05,-0.453,68.40477047,2.749333333,1.44385e-07,23.88934723,-1.929,-1.764,-1.79,0.729,1.088,0.948,"Q9EPR2","Pla2g12a","Q9EPR2_Pla2g12a","Q9EPR2","Pla2g12a",1,4,2,2,"Q9EPR2|Q9EPR2-2","MOUSE",22117.7,11.4,2847,2847.1,20.6,20.6,NA,192,"Group XIIA secretory phospholipase A2","extracellular region|intracellular|endoplasmic reticulum|Golgi apparatus|","phospholipid metabolic process|lipid catabolic process|","phospholipase A2 activity|calcium ion binding|",2,4,1.96e+08,"11.4%"
