"","id","adj.P.Val.xBirACre.over.NoBirA","AveExpr.xBirACre.over.NoBirA","Log.P.Value.xBirACre.over.NoBirA","logFC.xBirACre.over.NoBirA","P.Value.xBirACre.over.NoBirA","t.xBirACre.over.NoBirA","PlexesSearchedTogether_correct..126.126.127.128.129.130.131..NoBirA_6Combo.multimedian","PlexesSearchedTogether_correct..128.126.127.128.129.130.131..NoBirA_4Combo.multimedian","PlexesSearchedTogether_correct..129.126.127.128.129.130.131..NoBirA_5Combo.multimedian","PlexesSearchedTogether_correct..127.126.127.128.129.130.131..BirA.Cre_3Combo.multimedian","PlexesSearchedTogether_correct..130.126.127.128.129.130.131..BirA.Cre_2Combo.multimedian","PlexesSearchedTogether_correct..131.126.127.128.129.130.131..BirA.Cre_1Combo.multimedian","id.query","id.mapped","id.concat","accession_number","geneSymbol","numColumnsProteinObserved","numSpectraProteinObserved","numPepsUnique","numPepsUniqueSubgroupSpecificCI","accession_numbers","species","protein_mw","percentCoverage","groupNum","subgroupNum","scoreUnique","scoreUniqueSubgroupSpecificCI","orfCategory","sequenceLength","entry_name","cellular_component","biological_process","molecular_function","PlexesSearchedTogether_correct.unique_peptides","PlexesSearchedTogether_correct.numSpectra","PlexesSearchedTogether_correct.totalIntensity","PlexesSearchedTogether_correct.pct_cov"
"1","E9Q414",0.00010426,-1.0185,50.46101528,4.295666667,8.99287e-06,10.63278084,-3.717,-2.784,-2.998,1.353,0.912,1.123,"E9Q414","Apob","E9Q414_Apob","E9Q414","Apob",1,2206,277,277,"E9Q414","MOUSE",510791.9,55.2,1,1.1,4364.47,4364.47,NA,4505,"Apolipoprotein B-100","extracellular region|cytoplasm|endoplasmic reticulum|Golgi apparatus|plasma membrane|vesicle membrane|actin cytoskeleton|vesicle lumen|mature chylomicron|very-low-density lipoprotein particle|low-density lipoprotein particle|intermediate-density lipoprotein particle|chylomicron|neuronal cell body|extracellular exosome|","in utero embryonic development|lipid metabolic process|triglyceride mobilization|spermatogenesis|nervous system development|cholesterol metabolic process|fertilization|response to virus|response to carbohydrate|post-embryonic development|response to selenium ion|positive regulation of gene expression|positive regulation of macrophage derived foam cell differentiation|positive regulation of lipid storage|positive regulation of cholesterol storage|lipid catabolic process|triglyceride catabolic process|cholesterol transport|sperm motility|response to lipopolysaccharide|cholesterol efflux|low-density lipoprotein particle remodeling|low-density lipoprotein particle clearance|lipoprotein metabolic process|lipoprotein biosynthetic process|lipoprotein catabolic process|cholesterol homeostasis|lipoprotein transport|regulation of cholesterol biosynthetic process|artery morphogenesis|cellular response to tumor necrosis factor|cellular response to prostaglandin stimulus|","phospholipid binding|heparin binding|cholesterol transporter activity|lipase binding|low-density lipoprotein particle receptor binding|",277,2206,2.74e+12,"55.2%"
"2","P01027",0.00010426,-1.061833333,49.00568511,4.511666667,1.25728e-05,10.13781395,-4.049,-2.806,-3.098,1.259,0.923,1.4,"P01027","C3","P01027_C3","P01027","C3",1,2121,185,162,"P01027|P01027-2|Q2UVX4|G3X7A5","MOUSE",188021,90.3,2,2.1,3125.9,2801.99,NA,1663,"Complement C3","extracellular space|extracellular exosome|blood microparticle|","positive regulation of type IIa hypersensitivity|positive regulation of protein phosphorylation|positive regulation of activation of membrane attack complex|tolerance induction|fatty acid metabolic process|inflammatory response|complement activation|complement activation, alternative pathway|complement activation, classical pathway|blood coagulation|positive regulation of vascular endothelial growth factor production|positive regulation of glucose transport|regulation of triglyceride biosynthetic process|positive regulation of lipid storage|negative regulation of endopeptidase activity|response to magnesium ion|response to estradiol|response to progesterone|positive regulation of G-protein coupled receptor protein signaling pathway|positive regulation of angiogenesis|positive regulation of developmental growth|positive regulation of phagocytosis|response to glucocorticoid|positive regulation of ERK1 and ERK2 cascade|positive regulation of apoptotic cell clearance|","endopeptidase inhibitor activity|protein binding|lipid binding|C5L2 anaphylatoxin chemotactic receptor binding|cofactor binding|",186,2121,6.9e+12,"90.3%"
"3","Q61838",0.00010426,-1.049,46.69646995,4.296666667,2.1397e-05,9.393865295,-4.033,-2.664,-2.895,1.133,1.166,0.999,"Q61838","NotFound","Q61838_NotFound","Q61838","Pzp",1,4113,148,143,"Q61838","MOUSE",167218.8,75.7,3,3.1,2782.24,2702.38,NA,1495,"Pregnancy zone protein","extracellular region|extracellular space|","embryo implantation|negative regulation of endopeptidase activity|","serine-type endopeptidase inhibitor activity|protein complex binding|",148,4113,1.91e+14,"75.7%"
"4","A0A087WSN6",0.002281433,-0.128833333,27.52963818,3.663,0.001766185,4.812491675,-0.763,-1.973,-3.145,1.991,2.597,0.52,"A0A087WSN6","Fn1","A0A087WSN6_Fn1","A0A087WSN6","Fn1",1,1003,120,120,"A0A087WSN6|B9EHT6|A0A087WR50|Q3UHL6|P11276|B7ZNJ1|A0A087WS56|Q4KL80","MOUSE",256658.4,60.7,4,4.1,1990.99,1990.99,NA,2296,"Fibronectin","fibrinogen complex|proteinaceous extracellular matrix|basement membrane|basal lamina|extracellular space|endoplasmic reticulum-Golgi intermediate compartment|apical plasma membrane|extracellular matrix|extracellular exosome|blood microparticle|extracellular matrix|","regulation of protein phosphorylation|cell-substrate junction assembly|cell adhesion|cell-matrix adhesion|calcium-independent cell-matrix adhesion|positive regulation of cell proliferation|positive regulation of gene expression|positive regulation of peptidase activity|peptide cross-linking|integrin activation|substrate adhesion-dependent cell spreading|endodermal cell differentiation|wound healing|positive regulation of axon extension|positive regulation of fibroblast proliferation|regulation of ERK1 and ERK2 cascade|positive regulation of substrate-dependent cell migration, cell attachment to substrate|negative regulation of transforming growth factor-beta secretion|","protease binding|integrin binding|protein binding|peptidase activator activity|",120,1003,9.56e+11,"60.7%"
"5","P06684",0.00010426,-1.156833333,48.99099206,4.518333333,1.26154e-05,10.13292232,-3.961,-2.685,-3.602,1.368,1,0.939,"P06684","Hc","P06684_Hc","P06684","C5",1,1072,131,131,"P06684|A0A0J9YUU3","MOUSE",190586.2,61,5,5.1,1982.7,1982.7,NA,1680,"Complement C5","membrane attack complex|extracellular space|extracellular exosome|","in utero embryonic development|inflammatory response|complement activation, alternative pathway|complement activation, classical pathway|positive regulation of vascular endothelial growth factor production|negative regulation of macrophage chemotaxis|negative regulation of endopeptidase activity|cytolysis|positive regulation of angiogenesis|positive regulation of chemokine secretion|activation of mitophagy in response to mitochondrial depolarization|","endopeptidase inhibitor activity|",131,1072,1.8e+12,"61.0%"
"6","P28665",0.000110858,-1.039666667,45.56277301,4.314,2.77794e-05,9.046238818,-4.033,-2.53,-3.027,1.4,1,0.952,"P28665","Mug1","P28665_Mug1","P28665","Mug1",1,1351,108,52,"P28665","MOUSE",166721,62.1,6,6.1,1825.68,971.3,NA,1476,"Murinoglobulin-1","extracellular space|","embryo implantation|negative regulation of endopeptidase activity|","serine-type endopeptidase inhibitor activity|",108,1351,3.13e+12,"62.1%"
"7","P28666",0.00010426,-1.043,55.34681111,4.271333333,2.91957e-06,12.45699338,-3.306,-3.068,-3.162,1,1.033,1.245,"P28666","Mug2","P28666_Mug2","P28666","Mug2",1,30,63,15,"P28666","MOUSE",163805.4,39.2,6,6.2,912.37,179.67,NA,1451,"Murinoglobulin-2","extracellular space|","negative regulation of endopeptidase activity|","serine-type endopeptidase inhibitor activity|",15,30,1.47e+09,"11.5%"
"8","A0A0N4SVU1",0.00010426,-1.105333333,47.14357143,4.464,1.93038e-05,9.534082687,-4.155,-2.717,-3.14,1.394,1.028,0.958,"A0A0N4SVU1","NotFound","A0A0N4SVU1_NotFound","A0A0N4SVU1","Gm7298",1,6,40,2,"A0A0N4SVU1","MOUSE",166767.7,24.3,6,6.3,566.2,14.9,NA,1476,"Predicted gene 7298","","","",2,6,99800000,"1.2%"
"9","P01029",0.00010426,-0.913333333,47.12443807,4.058666667,1.9389e-05,9.528045382,-3.612,-2.752,-2.464,1.284,0.924,1.14,"P01029","C4b","P01029_C4b","P01029","C4b",1,1089,116,116,"P01029|E1BH06|F1MVK1|P01030","MOUSE",194566.4,62.3,7,7.1,1704.26,1704.26,NA,1738,"Complement C4-B","extracellular space|","inflammatory response|complement activation, classical pathway|negative regulation of endopeptidase activity|innate immune response|","endopeptidase inhibitor activity|",116,1089,1.63e+12,"62.3%"
"10","Q921I1",0.00010838,-1.069666667,45.83073397,4.626666667,2.61172e-05,9.127394203,-4.196,-2.494,-3.459,1.454,1.363,0.914,"Q921I1","Trf","Q921I1_Trf","Q921I1","Tf",1,1784,90,87,"Q921I1|E9Q035|Q29443|E9Q939","MOUSE",78890.5,82.2,8,8.1,1669.13,1617.66,NA,697,"Serotransferrin","extracellular space|endosome|early endosome|late endosome|coated pit|basal plasma membrane|cell surface|membrane|cytoplasmic membrane-bounded vesicle|apical plasma membrane|vesicle coat|endocytic vesicle|vesicle|basal part of cell|perinuclear region of cytoplasm|recycling endosome|extracellular exosome|blood microparticle|dense body|","iron ion transport|cellular iron ion homeostasis|actin filament organization|activation of JUN kinase activity|ferric iron transport|osteoclast differentiation|positive regulation of phosphorylation|positive regulation of bone resorption|positive regulation of transcription, DNA-templated|SMAD protein signal transduction|ERK1 and ERK2 cascade|positive regulation of cell motility|","protein binding|ferric iron binding|ferric iron transmembrane transporter activity|",90,1784,2.9e+13,"82.2%"
